Pm_gene_id,Nn_target_id,Naja_vg_1,Naja_vg_2,Naja_vg_3,Naja_vg_4,Naja_vg_5,Naja_vg_6,Naja_liv_1,Naja_liv_2,Naja_kid_1,Naja_kid_2,Naja_pan_1,Naja_pan_2,Naja_sg_1
107299314,Nana00029,6.57803,2.32924,8.54353,8.46239,14.7801,2.23337,4.87392,5.92838,5.12599,6.5542,5.17812,4.20975,8.34684
107289560,Nana00035,110.853,216.831,190.409,140.829,244.966,77.1959,234.392,271.525,301.195,287.333,119.621,71.278,188.175
107289559,Nana00040,17.988,12.1662,38.8455,34.9473,34.6184,21.4758,35.0124,6.4112,63.8343,37.789,16.3964,7.6514,38.7956
107289568,Nana00055,18.8187,7.92775,31.7964,20.6066,32.505,3.8681,51.6563,33.3247,50.5225,41.2999,22.134,7.50662,40.5599
107289567,Nana00056,0.104499,0,0.088067,0,0.418688,0,0.484327,0.245442,0.312942,0.397976,0.953016,0.0803918,0.473934
107296193,Nana00067,3.06534,1.68118,4.66627,3.44669,4.83519,0.637144,6.4849,4.22415,15.2375,11.2008,5.89558,2.00764,9.08025
107296195,Nana00071,0.188987,0,0.149315,0.15146,0.298147,0.0778622,0,0.0624211,0.106117,0.47233,0.293784,0.0545209,0.482125
107296196,Nana00073,16.6123,9.83733,23.5248,16.1968,43.0038,14.8219,29.0566,59.6223,40,51.8133,26.2189,25.855,31.8822
107296197,Nana00075,0.285881,0.39636,0.206509,0.2793,0.220902,0.0897389,0.694041,0.143885,0.214031,1.04987,0.355526,0.0942558,0.756323
107296963,Nana00082,0.0504298,0.0339471,0.0796748,0.0483166,0.288629,0,2528,860.694,75.5199,106.814,5.18804,4.10565,0.0284949
107300068,Nana00083,1.08558,0.852745,2.49673,2.02967,2.8791,0.692527,67.8428,28.8329,12.4743,8.50208,5.74859,6.69194,0.77822
107300069,Nana00084,6.12834,5.16729,8.32642,5.61617,11.4063,4.30834,21.6368,16.3875,34.1249,20.8259,9.14132,6.0336,12.6265
107299932,Nana00085,2.56669,0.271746,2.61193,3.01148,18.1251,1.98804,0.624538,8.86191,38.2496,24.6147,0.0159599,0.0592371,11.9463
107300212,Nana00087,0,0,0,0,0,0,0,0,0,0,0,0,0.0936218
107299586,Nana00101,122.872,7.06402,152.085,128.873,286.98,95.6032,5.0454,12.743,31.8641,48.7471,18.2545,19.9372,184.266
107298394,Nana00102,6.37806,10.6735,10.2985,7.36365,16.3301,1.7811,8.27731,6.57608,6.77887,6.76223,2.93004,1.0737,21.7299
107296084,Nana00107,1.24027,0.895312,0.997729,0.86748,1.62631,2.22976,44.8944,156.706,16.0809,8.69545,4.34681,1.43122,0.511362
107300370,Nana00111,4.05886,0.853717,3.80748,6.02274,2.42047,3.98283,7.08293,11.4942,6.83446,10.1571,2.94914,3.77992,7.60485
107297585,Nana00118,8.2678,10.8089,8.97058,9.95787,8.32841,1.98587,8.06719,6.78092,11.0515,13.0984,4.82878,3.86263,13.4351
107299005,Nana00119,5.91822,5.16642,8.31548,8.73858,13.9676,1.43719,9.18731,12.4553,7.92873,11.422,6.85952,3.93756,14.2362
107298013,Nana00121,9.01122,5.94767,13.0145,14.554,23.9227,1.88936,13.2308,10.8653,15.1409,14.0155,8.32644,2.38135,27.6096
107298273,Nana00122,0.327425,0.216662,0.103477,0.209926,1.03309,6.07042,1.89691,12.6891,4.22856,22.7377,1.06888,1.79472,35.0823
107299333,Nana00129,2.48746,4.04094,2.69526,2.19393,11.7222,3.73058,9.82078,14.5597,8.3064,10.1123,3.82997,2.58186,7.49105
107299335,Nana00130,10.4977,18.4373,11.4606,17.1594,17.1212,8.07291,25.1677,21.9196,43.1369,47.1905,10.2285,4.77299,25.9294
107297144,Nana00139,0,0,0,0,0,0,0,0,0,0,0,0,0
107297143,Nana00140,0,0,0,0,0,0,0,0,0,0,0,0,0
107297141,Nana00141,4.90365,2.79642,12.3797,8.27709,40.7995,11.3684,24.8481,9.49709,16.6775,21.9943,19.1405,5.35285,57.4158
107297140,Nana00142,11.9858,5.8524,36.8896,15.1306,14.7883,17.245,29.1199,13.7094,14.8737,11.2554,8.00415,2.65254,42.5936
107296321,Nana00148,0,0.0450912,0,0,0,0,0,0,0,0,0,0,0.0965777
107296942,Nana00149,0.609219,0.284561,0.407717,0.459526,1.11995,0,50.2431,60.2557,118.561,90.6908,0.311967,0.165415,0.487586
107296941,Nana00150,0,0,0.0618681,0,0.0294133,0,1.58781,0.560385,1.53892,2.02697,0,0,0
107297795,Nana00154,7.55686,0.444487,9.12827,9.47473,26.5432,2.76747,4.28073,9.61413,12.2581,9.83304,7.30942,1.16271,14.4706
107297793,Nana00156,2.8397,0.648888,5.37171,3.40554,11.7377,1.07736,3.40868,12.1639,7.3416,14.1798,6.09755,7.54394,5.46657
114923497,Nana00164,10.0356,1.31617,14.1721,15.7089,27.0594,5.66185,87.6823,48.0182,27.769,35.6373,12.1993,6.83364,25.8325
107298519,Nana00165,10.4148,5.01377,16.4161,15.3958,23.2092,9.16611,97.0543,63.34,143.156,91.8024,13.2585,6.49292,25.8313
107299136,Nana00168,4.72218,1.49217,7.27884,5.41512,3.54272,1.13616,2.73258,0.916997,5.38765,6.12303,2.34836,0.960691,6.49565
107299134,Nana00173,0.15057,0,2.1318,0.772295,0.687734,2.58063,14.9341,5.67609,11.4982,8.1714,4.19442,1.80701,4.30213
107299133,Nana00177,0.165144,0.218556,0.424713,0.423523,0.845818,0.54431,0.956749,2.18183,0.463644,1.32902,0.209797,0.0952845,0.855922
107300284,Nana00184,8.3092,10.0197,7.08235,8.59178,10.4198,15.4714,5.52664,6.16828,4.25116,6.00098,4.04864,2.22785,5.92309
107295179,Nana00187,0.163062,0.0507765,0.315259,0.295188,0.495758,0,0.933572,0.236553,0.344695,0.438357,0.620286,0.0664116,0.47852
107295180,Nana00191,3.57134,4.80096,7.37074,4.85582,8.5156,5.10795,9.59691,5.62524,29.301,31.9183,8.01991,4.09797,17.2011
107295178,Nana00193,4.5862,15.1032,11.3929,8.82124,19.5503,38.1416,10.7515,8.78343,21.6194,32.4444,9.28471,7.50766,17.4137
107295177,Nana00194,3.6052,3.25542,5.58207,4.48544,8.28693,1.4435,8.35027,7.48065,8.78863,6.76725,3.99001,2.07129,7.25811
107299555,Nana00195,0.19315,0,0,0,1.47037,0,27.1544,81.432,0.578423,0.551695,3.04258,0.148591,2.62797
107296467,Nana00207,16.9555,1.3634,24.3098,23.8884,36.1168,5.0933,5.17263,3.32708,6.74874,7.35645,4.48412,0.89161,25.3082
107297563,Nana00223,0.808716,0.285407,0.77242,0.783515,0.410427,0.236934,6.58016,6.14162,41.5751,58.4158,1.29628,0.165907,1.91538
107296622,Nana00230,0,0,0,0,0,0,0,0,0,0,0,0,0
107297893,Nana00239,0.98386,3.1628,2.38836,1.33273,3.44854,0.792931,2.66682,1.79992,2.51467,3.16172,2.07394,0.593497,3.25134
107297894,Nana00241,3.44942,6.03159,5.96189,6.05985,6.87653,1.31518,15.2519,29.4036,18.4643,20.7282,11.4852,3.95552,10.8418
107298702,Nana00248,13.603,16.6914,21.4759,15.5319,55.9172,17.7183,8.42483,27.1494,17.9755,22.4169,11.6779,10.2594,17.9923
107298701,Nana00252,1.30698,1.67306,2.4363,0.776807,1.60299,1.96335,2.37797,0.989751,3.13954,3.71462,1.71128,0.195458,3.618
107302794,Nana00260,10.9153,15.6416,10.6972,9.41061,23.5964,14.998,12.4874,9.06511,12.6671,7.32436,6.62714,3.48199,10.7732
107294212,Nana00265,0,0,0,0,0,0,0,0,0,0,0,0,0
107298293,Nana00267,2.73275,3.57195,4.09428,4.84527,24.2096,0,7.03645,4.69505,4.54652,5.20372,3.18871,0.700774,10.7107
107293715,Nana00269,3.30655,4.24548,5.01921,4.45067,22.2899,0.476665,9.4753,5.07199,6.26016,5.67046,3.05748,0.986144,12.6707
107294871,Nana00275,0,0,0,0,0,0,0,0.0345865,0.0881966,0.0560808,0.146503,0.226568,0
107294872,Nana00276,4.00648,8.73317,7.74602,5.94333,32.1992,12.1696,8.37426,24.0791,13.0568,13.6876,6.05717,2.99155,14.7858
107294876,Nana00279,0,0,0,0,0,0,0,0,0,0,0,0,0
107294873,Nana00282,0.249071,0,1.73172,0.798451,0.748449,2.87326,51.37,141.388,121.114,76.1223,3.87185,1.29338,13.1317
107297780,Nana00290,0,0,0,0,0,0,0,0,1.77294,3.25677,0,0,0
107300701,Nana00294,3.33615,1.12727,5.50346,5.64319,15.0446,1.78606,11.5144,15.2964,10.1502,17.301,14.5358,13.8701,6.49212
107295364,Nana00302,2.26759,0,7.76736,2.62631,15.6502,0.482188,46.1071,36.0793,7.55741,6.68586,3.09291,0.844098,17.2509
107298682,Nana00304,2.19908,0.62926,3.60639,1.37182,8.5013,1.56716,19.2825,12.9825,5.07266,2.03716,2.06959,0,7.41272
107294095,Nana00311,1.4285,0.051973,2.90419,2.05206,6.92117,0.482927,30.3508,10.2299,4.87329,4.30458,1.23318,0.509824,9.12802
107294098,Nana00318,4.09955,6.33986,9.3166,4.01643,29.3995,1.5182,3.20231,9.73254,6.31086,5.52586,5.27011,2.23247,6.8939
107294099,Nana00319,1.38679,1.73441,2.82152,1.9135,3.48064,0.540926,2.54814,2.19718,2.76457,2.97668,1.53074,0.568152,3.14474
107294097,Nana00321,0,0,0,0,0,0,0,0,1.04347,2.15638,0.433325,0,0.921827
107294096,Nana00324,3.13326,1.44735,4.29956,5.53929,10.3454,0.468597,7.85651,3.28469,9.38314,8.55909,4.6786,2.17065,10.0067
107298675,Nana00325,1.23486,3.18876,2.95451,1.63751,6.32808,2.5413,1.87052,2.30261,2.75997,2.27112,1.93271,0.486576,5.05404
107300712,Nana00326,0,0,0,0,0,0,0,1.89576,0,0,0,0,0
107296074,Nana00329,5.69826,2.05324,6.12586,7.69977,11.3789,2.52522,6.74675,3.03666,10.3785,13.1165,5.51432,3.75746,11.586
107296075,Nana00332,30.2567,61.7485,69.211,38.259,87.9538,55.119,58.1991,33.4721,61.2573,48.8481,29.553,17.3585,75.1061
107297226,Nana00339,2.41985,4.29949,4.97002,4.1613,3.90956,1.75627,2.7348,1.88068,7.09281,10.1088,3.61044,2.10198,9.03791
107297225,Nana00341,7.88869,33.9045,16.9826,12.3189,49.6166,38.8727,39.4581,52.4899,38.857,42.7225,19.7181,10.7256,21.0768
107284209,Nana00351,4.26493,3.6891,7.82285,9.86541,18.7297,0.918766,1.16276,2.45521,7.63824,15.6057,4.71461,2.18736,9.98741
107284219,Nana00352,5.92558,11.5059,10.9279,9.29342,8.80641,5.06472,6.48763,3.33869,7.92258,8.94114,6.24826,3.07177,10.8565
107296712,Nana00353,13.9489,10.5879,20.0744,19.0583,18.8389,4.31907,7.47188,4.37373,14.2125,14.1098,8.87725,3.54162,21.1135
107296711,Nana00354,3.24973,1.8678,4.77393,5.20475,6.89376,1.67172,7.12829,4.93836,11.4387,11.6764,7.61072,2.78955,16.2363
107296714,Nana00359,0.411856,0,1.28629,0.372789,1.92194,15.4911,8.98282,4.56645,2.55745,1.66078,6.74887,0.0559136,17.7999
107296713,Nana00360,0.36615,0.12922,0.0617148,0.250405,0.557468,0.321819,0,0.0859995,0.0548252,0.313751,0.0607133,0,1.93736
107299958,Nana00372,0.0533145,0,0.0918979,0,0,0,0.171257,0,1.20775,0.317318,0.414791,0,0.0844726
107296204,Nana00373,0.0147628,0.0520999,0,0.0126201,0.165616,0,0.0912289,0.034674,0.13263,0.154612,0.0611973,0.0227142,0.535627
107297926,Nana00375,5.35125,0.341301,11.4755,6.71303,8.385,2.63502,9.5621,10.5623,21.2577,22.0617,10.0064,5.17818,13.0119
107297484,Nana00382,5.42343,4.0902,8.5652,5.22056,16.0561,4.01587,24.723,10.8886,17.1203,27.4594,15.7806,9.97917,27.0228
107295194,Nana00390,0,0,0,0,0,0,0,0.0367318,0.234168,0,0.570496,0.0962486,0.472845
107293647,Nana00401,0.0943612,0.499521,0.108441,0.241996,0.350573,0.113095,0.636131,1.02756,0.19267,0.0735067,0.89612,0.19798,0.31124
107298070,Nana00407,0,0,0,0,0,0,0,0,0,0,0,0,0
107300299,Nana00413,1.51917,0.344659,6.03562,2.89419,7.96491,0.524558,0.368812,0.242124,1.98225,2.25226,0.413838,0.250437,15.5842
107294008,Nana00433,2.48274,3.43432,4.38444,3.15158,5.50354,2.79622,6.6786,3.28561,9.07894,8.71287,3.44442,1.06537,8.88346
107294007,Nana00435,0.517787,0.365468,3.28147,0.849857,1.27794,17.4302,6.11152,0.656721,1.75219,2.60297,7.05744,0.302736,69.4944
107294004,Nana00439,8.98243,3.0367,14.6624,17.008,10.9229,5.76438,0.259385,0.603841,7.85618,33.2696,2.80137,4.47228,35.1856
107302348,Nana00447,30.1725,73.2704,55.2419,43.7665,70.9858,23.1519,63.8044,68.0741,85.3612,97.1256,43.426,22.6592,70.7856
107302350,Nana00448,7.11707,5.99328,14.006,10.6089,44.2676,4.33752,32.4476,79.8594,31.655,35.3089,41.1437,25.917,11.2677
107302216,Nana00451,0.796199,0.227829,1.0337,1.04855,2.40548,0,1.29655,0.682323,13.4362,4.79424,1.76624,1.29126,3.4158
107292007,Nana00453,0.143732,0.526759,0.265555,0.21266,0.844423,0.874591,0.640539,0.37005,0.744978,1.07373,0.61874,0.242412,2.38681
107292008,Nana00458,1.46409,2.23711,2.90339,2.01041,4.13645,1.96439,7.93605,5.2159,14.2386,9.58105,3.56086,2.13499,2.17376
107297546,Nana00466,1.55984,33.7377,2.00684,1.73978,2.49617,2.25117,3.42222,9.50296,2.21814,6.57228,3.77636,1.10551,4.8159
107297548,Nana00467,6.36408,29.082,11.2006,5.46141,17.9547,26.226,16.3365,13.027,10.9172,9.70366,5.49701,2.64761,15.7919
107297549,Nana00468,5.12359,5.13566,7.93112,7.40007,6.75522,5.11589,9.0818,3.87745,15.9312,12.2464,9.07022,2.26368,10.1989
107297547,Nana00471,0.963762,1.07654,2.17956,1.64398,3.26804,0.699421,2.66368,1.0825,4.6172,3.30841,1.62739,0.693813,3.98999
107300191,Nana00472,0.0680121,0,0.42988,0.348844,0.408747,1.12083,1.7337,0.359422,1.06929,1.65124,1.18413,0.313932,2.93032
107298582,Nana00474,3.2668,17.4839,7.44452,5.76258,24.8043,15.1294,14.7433,12.6361,12.2543,21.928,14.2537,10.3291,16.2007
107298583,Nana00475,0.156092,0.868319,0.127087,0.142483,0.0763198,0.226717,1.07904,0.44274,0.867547,1.03527,1.67139,0.122117,1.25386
107293122,Nana00481,4.1423,4.54081,9.05414,6.08245,10.2466,4.9666,11.0475,5.54754,58.1053,66.5721,17.2023,5.7811,24.4535
107294827,Nana00489,0,0,0,0,0,0,0,0,0,0.513401,0,0,0.101898
107289166,Nana00494,0.176485,0.297229,0.268702,0.251991,0.698332,0.436216,0.111527,0.10642,6.5036,3.64919,0.568584,0.171236,0.75037
107289165,Nana00495,0,0,0,0,0,0,0,0,0,0,0,0,0
107289163,Nana00497,4.10828,11.5489,6.91023,6.06621,11.844,2.73959,3.93888,2.82752,15.4836,9.66303,5.87745,2.54968,9.44634
107296914,Nana00499,2.72341,11.3086,7.45925,4.33826,21.7695,11.3844,35.3621,33.8145,24.2736,20.4868,10.4069,6.84008,6.7014
107296912,Nana00501,13.2891,1.660274,25.31437,12.51894,34.54353,7.58127,9.18731,6.27195,11.29582,10.1689,9.2213,3.00392,12.25755
107296918,Nana00505,0,0,0,0,0,0,0,0,0,0,0,0,0
107300426,Nana00506,1.11784,6.41065,1.41309,2.15009,6.49419,1.22812,1.29523,1.31276,6.69516,1.86252,0.926775,0.21499,10.5619
107300617,Nana00507,0,0,0,0,0,0,0,0,0,0,0,0,0
107291854,Nana00508,0.0180798,0.239273,0.0228552,0,0.0434632,0,0.293283,0.541426,0.0609111,0.258207,0.179874,0,0.225492
114922656,Nana00518,0.0825667,0,0.20875,0.635245,0,0,0,0,0,0,0,0,0
107288933,Nana00537,0.00616177,0.0326186,0.124628,0.0158023,0,2.59956,0,0,0.636613,0.668796,0,0,3.99619
107288942,Nana00539,0,0,0,0,0.772703,0,1.48974,0.566216,2.64709,2.14223,0.799466,0.74183,0
107288937,Nana00545,1.29194,0.62038,2.94666,2.15536,2.99677,1.79618,4.0623,2.59414,5.71873,6.62321,2.58073,2.61049,3.74503
107288938,Nana00546,1.96101,10.4701,2.19408,1.1128,0.731795,0.864751,0.639178,0.420696,0.475954,0.893511,0.217521,0.0853936,0.785641
107288943,Nana00547,1.54756,0.468133,1.90042,1.98441,1.06294,0.582939,3.4838,3.11556,2.92964,7.57766,3.07931,0.765351,3.70984
107288939,Nana00548,23.6428,7.76189,44.8562,31.5229,13.5811,14.552,4.96433,2.37004,4.72345,10.8106,7.51309,1.62039,19.6089
107288940,Nana00549,2.96486,1.75085,6.20182,3.70587,3.81455,1.60922,9.72663,4.25869,14.3706,10.0093,6.68877,1.88105,8.36612
107295840,Nana00555,0.145521,0,0.476126,0.285388,0.102891,0.112855,0,0.0603164,0.480652,0.635706,0.510981,0.0592679,0.48528
107287096,Nana00559,5.79038,15.8289,9.2606,9.50918,14.5234,5.04971,6.25051,6.05542,9.39791,9.61639,6.30037,2.05024,15.0866
107287086,Nana00562,0.253447,0.521762,0.60518,0.541652,1.13393,4.26959,8.54892,11.236,22.2954,58.3561,6.1287,3.11965,12.6759
107287154,Nana00563,1.52276,3.11814,2.2216,2.04777,2.98927,0.872958,5.28272,2.31669,4.79973,6.1565,3.84171,1.34862,3.3841
