Orthogroup	G_gallus.pep	N_naja.pep
OG0000002	ENSGALG00000047440.1, ENSGALG00000051617.1, ENSGALG00000048623.1, ENSGALG00000051856.1, ENSGALG00000051327.1, ENSGALG00000049025.1, ENSGALG00000046947.1, ENSGALG00000048162.1	Nana24133-RA, Nana24135-RA
OG0000002	ENSGALG00000048259.1, ENSGALG00000054189.1, ENSGALG00000052804.1, ENSGALG00000048761.1, ENSGALG00000050278.1, ENSGALG00000051234.1, ENSGALG00000051509.1, ENSGALG00000049440.1, ENSGALG00000052651.1, ENSGALG00000046891.1, ENSGALG00000049650.1, ENSGALG00000053620.1, ENSGALG00000049984.1, ENSGALG00000052542.1, ENSGALG00000049115.1, ENSGALG00000051485.1, ENSGALG00000053832.1, ENSGALG00000054121.1, ENSGALG00000050397.1, ENSGALG00000052142.1, ENSGALG00000050095.1, ENSGALG00000053273.1, ENSGALG00000049747.1, ENSGALG00000048302.1, ENSGALG00000054060.1, ENSGALG00000047114.1, ENSGALG00000047960.1, ENSGALG00000049267.1, ENSGALG00000051440.1, ENSGALG00000051883.1, ENSGALG00000051177.1, ENSGALG00000055104.1, ENSGALG00000049061.1, ENSGALG00000047478.1, ENSGALG00000047299.1, ENSGALG00000047679.1, ENSGALG00000054433.1, ENSGALG00000052683.1, ENSGALG00000053392.1, ENSGALG00000054661.1, ENSGALG00000049726.1, ENSGALG00000048531.1, ENSGALG00000047227.1, ENSGALG00000053477.1, ENSGALG00000049676.1, ENSGALG00000054184.1, ENSGALG00000050813.1, ENSGALG00000049118.1, ENSGALG00000049938.1, ENSGALG00000052260.1, ENSGALG00000054437.1, ENSGALG00000047003.1, ENSGALG00000050958.1, ENSGALG00000048666.1, ENSGALG00000053328.1, ENSGALG00000051370.1, ENSGALG00000049823.1, ENSGALG00000047866.1, ENSGALG00000038257.2	Nana24143-RA, Nana24132-RA, Nana24136-RD, Nana24137-RA, Nana24145-RA, Nana24144-RA
OG0000002	ENSGALG00000054075.1, ENSGALG00000048983.1, ENSGALG00000054602.1, ENSGALG00000052269.1, ENSGALG00000054236.1	Nana38721-RA, Nana38722-RA, Nana38264-RA, Nana39072-RA
OG0000004	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1	Nana35137-RB
OG0000004	ENSGALG00000052004.1	Nana35122-RA
OG0000004	ENSGALG00000047343.1	Nana35137-RC, Nana39422-RA, Nana35139-RA
OG0000006	ENSGALG00000053518.1, ENSGALG00000051131.1, ENSGALG00000054482.1, ENSGALG00000047862.1, ENSGALG00000050362.1, ENSGALG00000044223.2, ENSGALG00000054140.1, ENSGALG00000053857.1, ENSGALG00000049917.1, ENSGALG00000051242.1, ENSGALG00000050565.1, ENSGALG00000050096.1, ENSGALG00000047006.1, ENSGALG00000048317.1, ENSGALG00000048076.1, ENSGALG00000048215.1, ENSGALG00000050636.1, ENSGALG00000052450.1, ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1, ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1	Nana07308-RA
OG0000008	ENSGALG00000026449.3	Nana08331-RA
OG0000008	ENSGALG00000045705.2	Nana29034-RA
OG0000009	ENSGALG00000031739.2	Nana23397-RA
