Orthogroup	H_sapiens.pep	M_musculus.pep
OG0000002	ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1	ENSMUSG00000076661.2
OG0000002	ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1, ENSG00000282150.1, ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1, ENSG00000281962.1, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1	ENSMUSG00000094134.2, ENSMUSG00000095571.2, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000095210.2, ENSMUSG00000095429.1, ENSMUSG00000103033.1, ENSMUSG00000076633.7, ENSMUSG00000094194.2, ENSMUSG00000076655.2, ENSMUSG00000096108.2, ENSMUSG00000094533.1
OG0000002	ENSG00000275316.3, ENSG00000211965.4, ENSG00000273539.3, ENSG00000211976.2, ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1, ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2	ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000087582.6, ENSMUSG00000096407.2, ENSMUSG00000076680.1, ENSMUSG00000094174.2, ENSMUSG00000076677.1, ENSMUSG00000076671.5, ENSMUSG00000076653.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076665.4
OG0000003	ENSG00000211626.2, ENSG00000211611.2, ENSG00000282210.1, ENSG00000225523.2	ENSMUSG00000076563.2
OG0000003	ENSG00000281759.1, ENSG00000282666.1, ENSG00000244575.3, ENSG00000282801.1, ENSG00000243466.1, ENSG00000276566.1, ENSG00000282758.1, ENSG00000241755.1, ENSG00000241244.1, ENSG00000240864.3, ENSG00000282282.1, ENSG00000240382.3, ENSG00000281978.1, ENSG00000242766.1, ENSG00000243290.3, ENSG00000278857.1, ENSG00000282694.3, ENSG00000239819.2, ENSG00000281078.1, ENSG00000283113.2, ENSG00000240671.4, ENSG00000242580.1, ENSG00000242371.1, ENSG00000282120.1, ENSG00000282163.1, ENSG00000239855.1, ENSG00000231292.6, ENSG00000251546.1	ENSMUSG00000076564.2, ENSMUSG00000076570.6, ENSMUSG00000076534.6, ENSMUSG00000096422.2, ENSMUSG00000095007.1, ENSMUSG00000076526.6, ENSMUSG00000076538.1, ENSMUSG00000079543.3
OG0000003	ENSG00000282811.1, ENSG00000239975.2, ENSG00000242076.2	ENSMUSG00000098814.2, ENSMUSG00000105630.1, ENSMUSG00000076522.2, ENSMUSG00000096490.1, ENSMUSG00000094902.2, ENSMUSG00000094420.2, ENSMUSG00000076512.2, ENSMUSG00000094345.2, ENSMUSG00000095771.2, ENSMUSG00000091008.1, ENSMUSG00000096515.5, ENSMUSG00000096461.5, ENSMUSG00000095737.5, ENSMUSG00000076523.2
OG0000003	ENSG00000282447.1, ENSG00000244437.1, ENSG00000224041.3, ENSG00000243063.1, ENSG00000282310.1, ENSG00000233999.3, ENSG00000275777.3, ENSG00000228325.5, ENSG00000282402.1, ENSG00000239951.1, ENSG00000211625.2, ENSG00000282823.1, ENSG00000211632.4, ENSG00000241351.3	ENSMUSG00000076572.6
OG0000003	ENSG00000211598.2	ENSMUSG00000094797.1, ENSMUSG00000076594.2, ENSMUSG00000095630.2, ENSMUSG00000096844.1, ENSMUSG00000095794.2, ENSMUSG00000094930.2, ENSMUSG00000076578.3, ENSMUSG00000076587.3, ENSMUSG00000076576.2, ENSMUSG00000076583.1, ENSMUSG00000076580.3, ENSMUSG00000104769.1, ENSMUSG00000076586.2, ENSMUSG00000076581.1, ENSMUSG00000076589.2, ENSMUSG00000094356.2, ENSMUSG00000096594.2, ENSMUSG00000076577.2, ENSMUSG00000076575.6
OG0000004	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2	ENSMUSG00000076934.2, ENSMUSG00000076940.3
OG0000004	ENSG00000169575.5	ENSMUSG00000059280.4, ENSMUSG00000059305.12
