logFC..venom...liver,logFC..venom...kidney,logFC..venom...heart,logCPM,F,PValue,genes,description
20.86381191,15.05251808,11.62278024,12.38228886,18.84269486,0.000218465,107291731,parvalbumin beta
20.02243247,16.48703614,10.59334096,11.5414113,21.99663877,0.000114905,107297964,troponin I2 fast skeletal type
19.63685519,19.63685519,15.66071263,11.15493697,14.75967118,0.001416789,107291352,basic phospholipase A2 homolog G6K49
19.52635947,17.88197743,15.94062653,11.04450416,16.70027363,0.000356667,107286299,submaxillary gland androgen regulated protein 3A
19.47535472,19.47535472,19.47535472,10.99342666,11.98875073,0.006800042,107291353,basic phospholipase A2 trimucrotoxin
19.38848028,19.38848028,19.38848028,10.90656234,11.48875045,0.007540083,107300928,zinc metalloproteinase/disintegrin-like
19.26325062,19.26325062,15.71629376,10.78137258,15.8302246,0.001127412,107298297,zinc metalloproteinase/disintegrin-like
19.21825995,19.21825995,17.00829794,10.73637281,16.2078647,0.001043343,107298300,zinc metalloproteinase/disintegrin-like
18.93349326,13.89918664,11.12798033,10.45237236,10.76854843,0.001927798,107289616,L-amino-acid oxidase
18.78618885,18.26069431,16.2547327,12.71333792,21.12441837,4.97E-05,107298299,zinc metalloproteinase/disintegrin
18.5608012,9.676192483,18.5608012,10.08077999,10.93234441,0.003655324,107297785,zinc metalloproteinase-disintegrin-like VMP-III
18.54847756,18.54847756,11.80747849,10.06712954,30.51859246,0.000119034,107297688,CAVP-target protein
18.51995948,18.51995948,18.51995948,10.03818496,11.82175237,0.007035881,107298193,zinc metalloproteinase-disintegrin-like HR1b
18.42811362,18.42811362,12.16990371,9.946669101,16.48103124,0.000987402,107296050,natriuretic peptide C
18.42407217,14.04544967,12.43760451,9.942659505,17.44905101,0.000298822,107298282,zinc metalloproteinase-disintegrin-like HV1
18.32591,18.32591,18.32591,9.84418123,12.50494601,0.006135048,107301955,zinc metalloproteinase/disintegrin-like
17.75935157,13.75716231,9.966980345,9.279389165,24.55532214,7.21E-05,107302251,troponin T fast skeletal muscle isoforms-like
17.56762284,17.56762284,17.56762284,9.086146608,13.98845303,0.004651424,107291355,acidic phospholipase A2 1
17.50965157,17.50965157,15.32220377,9.02822627,12.43008541,0.002453212,107301016,uncharacterized LOC107301016
17.46984414,17.46984414,17.46984414,8.988411006,10.86426678,0.008625049,107293726,cysteine-rich venom protein
16.6727997,16.6727997,12.70229053,8.19206783,11.54462104,0.003090095,107287548,snake venom serine proteinase 11
16.56718663,16.56718663,14.37877814,8.086381082,13.43489931,0.001917551,107298828,uncharacterized LOC107298828
16.37931578,16.37931578,16.37931578,7.898633996,10.38252122,0.00961023,107298829,zinc metalloproteinase/disintegrin-like HR1a
