Orthogroup	P_Mucros.pep	N_naja.pep
OG0000002	XP_015685264.1, XP_029141702.1	Nana38722-RA, Nana38264-RA
OG0000002	XP_029142661.1	Nana39072-RA
OG0000002	XP_029141924.1	Nana24128-RA
OG0000002	XP_029141923.1	Nana24149-RA
OG0000004	XP_029142696.1	Nana39422-RA
OG0000006	XP_029139985.1, XP_029141493.1	Nana07050-RA
OG0000006	XP_029140115.1	Nana07308-RA
OG0000007	XP_029140244.1, XP_029140245.1, XP_015679667.1, XP_029140003.1, XP_029140241.1, XP_029140242.1, XP_029140238.1, XP_015679668.1, XP_015679669.1, XP_029140243.1, XP_029140513.1, XP_015674426.1, XP_029139651.1, XP_015669832.2, XP_029139650.1, XP_015684351.1, XP_029139648.1, XP_029142846.1, XP_029139646.1, XP_029139649.1, XP_029139645.1, XP_029140512.1, XP_029139647.1, XP_015674425.1, XP_029140516.1, XP_029140515.1, XP_015674421.1, XP_029140517.1, XP_029140514.1, XP_029141570.1, XP_029138827.1, XP_029138828.1, XP_029138826.1, XP_029138829.1, XP_029141572.1, XP_015684906.2, XP_029141571.1	Nana23478-RA
OG0000007	XP_029139023.1, XP_029142932.1, XP_029138837.1, XP_015665623.1	Nana38175-RA
OG0000008	XP_015678749.1	Nana24313-RA, Nana24068-RA, Nana24074-RA, Nana10430-RA
OG0000008	XP_015673915.1	Nana07832-RA
OG0000008	XP_015677647.1	Nana08331-RA
OG0000008	XP_015668418.1	Nana29034-RA
OG0000008	XP_015678750.1	Nana10428-RA
OG0000009	XP_015672562.1, XP_015672559.1, XP_015672561.1, XP_015665579.1, XP_015674575.1, XP_015674572.2, XP_015684098.2, XP_015684478.1, XP_015684097.1, XP_015684481.1, XP_015684482.1, XP_015684103.1, XP_029140184.1	Nana23397-RA
OG0000010	XP_015678744.1	Nana10431-RA, Nana10425-RA
OG0000010	XP_015675791.1	Nana24069-RA
OG0000014	XP_015680070.1	Nana09496-RA
OG0000014	XP_015669928.1, XP_015669926.1, XP_015683802.1	Nana24071-RA
