M_musculus.pep P_Mucros.pep
ENSMUSG00000060081.1 XP_015678749.1
ENSMUSG00000049932.3 XP_015668418.1
ENSMUSG00000067522.3 XP_015677980.2
ENSMUSG00000075208.6 XP_015683726.1
ENSMUSG00000051392.5 XP_015673205.2
ENSMUSG00000075155.2 XP_015673239.1
ENSMUSG00000016559.14 XP_015680070.1
ENSMUSG00000099583.2 XP_015678752.1
ENSMUSG00000060743.12 XP_015674626.1
ENSMUSG00000060678.5 XP_015686319.1
ENSMUSG00000074652.3 XP_015669261.1
ENSMUSG00000040752.16 XP_015677713.1
ENSMUSG00000045306.3 XP_015677304.1
ENSMUSG00000023004.8 XP_015672184.1
ENSMUSG00000043091.9 XP_015670229.1
ENSMUSG00000046834.7 XP_015683489.1
ENSMUSG00000061397.8 XP_015683491.1
ENSMUSG00000049382.10 XP_015672252.1
ENSMUSG00000023039.17 XP_015677400.1
ENSMUSG00000001525.10 XP_015681155.1
ENSMUSG00000036752.4 XP_015687129.1
ENSMUSG00000058672.7 XP_015669671.1
ENSMUSG00000062591.5 XP_015678223.1
ENSMUSG00000001473.7 XP_015672240.1
ENSMUSG00000016255.5 XP_015679451.1
ENSMUSG00000051965.8 XP_029142106.1
ENSMUSG00000068037.11 XP_029142247.1
ENSMUSG00000075318.13 XP_029141524.1
ENSMUSG00000064329.13 XP_015679123.1
ENSMUSG00000057182.15 XP_029141610.1
ENSMUSG00000075316.11 XP_015679120.1
ENSMUSG00000001027.7 XP_029143052.1
ENSMUSG00000022818.13 XP_015675899.1
ENSMUSG00000062825.15 XP_015670662.1
ENSMUSG00000029580.14 XP_015682953.1
ENSMUSG00000025350.15 XP_015679681.1
ENSMUSG00000067144.7 XP_015671903.1
ENSMUSG00000015656.17 XP_015676898.1
ENSMUSG00000059970.7 XP_015668814.1
ENSMUSG00000044737.6 XP_015672094.1
ENSMUSG00000062478.16 XP_015675839.1
ENSMUSG00000031502.11 XP_029139245.1
ENSMUSG00000031274.16 XP_029138764.1
ENSMUSG00000031503.13 XP_029139244.1
ENSMUSG00000067158.9 XP_029139815.1
ENSMUSG00000079465.8 XP_029140039.1
ENSMUSG00000016349.10 XP_015685683.1
ENSMUSG00000028464.16 XP_015671316.1
ENSMUSG00000030302.16 XP_029143067.1
ENSMUSG00000026235.14 XP_015673346.1
ENSMUSG00000028289.12 XP_029140096.1
ENSMUSG00000052504.7 XP_015675447.2
ENSMUSG00000028661.8 XP_029139330.1
ENSMUSG00000055540.15 XP_015679762.1
ENSMUSG00000039824.4 XP_015678396.1
ENSMUSG00000061086.12 XP_015687734.1
ENSMUSG00000059741.13 XP_015669788.1
ENSMUSG00000030246.11 XP_015682701.1
ENSMUSG00000046434.16 XP_015673749.1
ENSMUSG00000066392.12 XP_015674238.1
ENSMUSG00000058013.11 XP_015671863.1
ENSMUSG00000018398.18 XP_015682442.1
ENSMUSG00000037242.8 XP_015675783.1
ENSMUSG00000007041.9 XP_015678738.1
ENSMUSG00000024642.17 XP_015672138.1
ENSMUSG00000025821.9 XP_015684744.1
ENSMUSG00000045466.18 XP_029142411.1
ENSMUSG00000053141.16 XP_015677033.1
ENSMUSG00000033278.10 XP_015669757.1
ENSMUSG00000028909.17 XP_029139363.1
ENSMUSG00000019889.10 XP_029140019.1
ENSMUSG00000032297.11 XP_029141364.1
ENSMUSG00000001120.15 XP_015680915.1
ENSMUSG00000023809.10 XP_015673847.1
ENSMUSG00000003644.17 XP_029140470.1
ENSMUSG00000019577.6 XP_015667066.1
ENSMUSG00000038967.13 XP_015665901.1
ENSMUSG00000006494.11 XP_015676018.1
ENSMUSG00000048206.6 XP_015681515.1
ENSMUSG00000026203.16 XP_015672185.1
ENSMUSG00000039661.14 XP_015676537.1
ENSMUSG00000063821.6 XP_015671939.1
ENSMUSG00000029121.16 XP_015682850.1
ENSMUSG00000024501.20 XP_015676540.1
ENSMUSG00000054808.15 XP_015680285.1
ENSMUSG00000052374.16 XP_015674515.1
ENSMUSG00000006457.4 XP_015687228.1
ENSMUSG00000030972.6 XP_015681761.1
ENSMUSG00000047026.9 XP_015681941.1
ENSMUSG00000061099.12 XP_015677236.2
ENSMUSG00000011171.11 XP_015666971.1
ENSMUSG00000026387.15 XP_015681070.1
ENSMUSG00000032528.5 XP_015667884.1
ENSMUSG00000004654.6 XP_029139258.1
ENSMUSG00000030236.10 XP_029141321.1
ENSMUSG00000091043.2 XP_015676189.1
ENSMUSG00000026837.16 XP_015680736.1
ENSMUSG00000026509.15 XP_015672503.1
ENSMUSG00000058626.16 XP_015679176.1
ENSMUSG00000024942.17 XP_015679096.1
ENSMUSG00000011257.19 XP_015667139.1
ENSMUSG00000054582.4 XP_015671850.1
ENSMUSG00000030084.11 XP_029140806.1
ENSMUSG00000026640.12 XP_015672473.1
ENSMUSG00000029765.12 XP_015684318.1
ENSMUSG00000031398.13 XP_015670606.2
ENSMUSG00000026773.19 XP_015683273.2
ENSMUSG00000025648.18 XP_015677824.1
ENSMUSG00000056078.6 XP_015687365.1
ENSMUSG00000024781.16 XP_015678517.1
ENSMUSG00000040037.13 XP_029141374.1
ENSMUSG00000062257.13 XP_015674112.1
ENSMUSG00000021730.8 XP_015675393.1
ENSMUSG00000032338.9 XP_029141385.1
ENSMUSG00000028051.10 XP_015681863.1
ENSMUSG00000020331.9 XP_015680940.1
ENSMUSG00000048076.14 XP_015683210.1
ENSMUSG00000051853.10 XP_015683450.1
ENSMUSG00000029120.10 XP_015684024.2
ENSMUSG00000024500.20 XP_015676531.1
ENSMUSG00000041769.13 XP_015667869.1
ENSMUSG00000022052.9 XP_015679777.1
ENSMUSG00000004530.12 XP_029139939.1
ENSMUSG00000025499.18 XP_015671969.1
ENSMUSG00000030265.14 XP_015680441.1
ENSMUSG00000027852.14 XP_015667544.1
ENSMUSG00000031561.16 XP_015672863.1
ENSMUSG00000049336.16 XP_015674820.1
ENSMUSG00000048078.16 XP_015682229.1
ENSMUSG00000016150.15 XP_015672837.1
ENSMUSG00000042500.11 XP_015679641.1
ENSMUSG00000028842.15 XP_015679495.1
ENSMUSG00000033161.10 XP_015673566.1
ENSMUSG00000040907.15 XP_015683861.1
ENSMUSG00000007097.14 XP_015683080.1
ENSMUSG00000024867.14 XP_015679138.1
ENSMUSG00000028126.16 XP_029141710.1
ENSMUSG00000034902.17 XP_015666168.1
ENSMUSG00000016179.11 XP_015674986.1
ENSMUSG00000002012.13 XP_015670612.1
ENSMUSG00000039145.16 XP_015677956.1
ENSMUSG00000030272.15 XP_015683034.1
ENSMUSG00000022053.13 XP_015673987.1
ENSMUSG00000010476.14 XP_029139196.1
ENSMUSG00000021699.17 XP_029139831.1
ENSMUSG00000032177.17 XP_029139567.1
ENSMUSG00000028525.16 XP_015684967.1
ENSMUSG00000014158.12 XP_015671282.1
ENSMUSG00000055026.13 XP_015666876.1
ENSMUSG00000020436.17 XP_015672992.1
ENSMUSG00000024617.16 XP_029140602.1
ENSMUSG00000053819.16 XP_029139820.1
ENSMUSG00000057897.14 XP_029139719.1
ENSMUSG00000021820.18 XP_015677811.1
ENSMUSG00000021868.7 XP_015680421.1
ENSMUSG00000038838.15 XP_029141778.1
ENSMUSG00000007029.16 XP_015684700.1
ENSMUSG00000059895.13 XP_015677537.1
ENSMUSG00000029064.15 XP_015668680.1
ENSMUSG00000022139.17 XP_029142495.1
ENSMUSG00000018554.13 XP_015683714.1
ENSMUSG00000028639.14 XP_015675851.1
ENSMUSG00000019927.6 XP_015674324.1
ENSMUSG00000091896.8 XP_015668019.1
ENSMUSG00000078578.9 XP_015683878.1
ENSMUSG00000054008.9 XP_015675418.1
ENSMUSG00000068699.12 XP_015683242.1
ENSMUSG00000031328.16 XP_015670602.1
ENSMUSG00000061184.8 XP_015670647.1
ENSMUSG00000037974.16 XP_029140044.1
ENSMUSG00000029212.11 XP_015678419.1
ENSMUSG00000033676.13 XP_015666878.1
ENSMUSG00000010025.19 XP_029142387.1
ENSMUSG00000020458.16 XP_029143039.1
ENSMUSG00000024758.15 XP_015678307.2
ENSMUSG00000020143.15 XP_015669064.1
ENSMUSG00000044447.5 XP_029140427.1
ENSMUSG00000058325.6 XP_015673107.1
ENSMUSG00000006542.13 XP_015682858.1
ENSMUSG00000021700.10 XP_015670630.1
ENSMUSG00000003411.10 XP_015666407.1
ENSMUSG00000000628.10 XP_015666616.1
ENSMUSG00000030403.9 XP_015676145.1
ENSMUSG00000021262.15 XP_015675754.1
ENSMUSG00000014778.10 XP_029139221.1
ENSMUSG00000034295.10 XP_015672454.1
ENSMUSG00000022092.11 XP_015673469.1
ENSMUSG00000033569.17 XP_015679413.1
ENSMUSG00000028782.14 XP_015674516.1
ENSMUSG00000034730.17 XP_015681585.1
ENSMUSG00000038257.9 XP_015670377.1
ENSMUSG00000000263.15 XP_015677827.1
ENSMUSG00000018595.6 XP_015687890.1
ENSMUSG00000028307.9 XP_015683026.1
ENSMUSG00000049630.6 XP_015666713.1
ENSMUSG00000045532.5 XP_015670112.1
ENSMUSG00000001076.7 XP_015678280.1
ENSMUSG00000020354.15 XP_015677968.1
ENSMUSG00000033295.14 XP_029139042.1
ENSMUSG00000013236.17 XP_015683953.1
ENSMUSG00000028399.18 XP_015683998.1
ENSMUSG00000021000.17 XP_015674853.1
ENSMUSG00000020315.18 XP_015669178.1
ENSMUSG00000011751.16 XP_015669353.2
ENSMUSG00000067889.6 XP_015673162.2
ENSMUSG00000038459.10 XP_015670772.1
ENSMUSG00000047368.4 XP_015667968.1
ENSMUSG00000003346.14 XP_015665504.1
ENSMUSG00000023032.12 XP_029140923.1
ENSMUSG00000021733.11 XP_015667194.1
ENSMUSG00000026904.17 XP_029141470.1
ENSMUSG00000073702.11 XP_015672238.1
ENSMUSG00000015843.10 XP_015677141.1
ENSMUSG00000015846.15 XP_015677215.1
ENSMUSG00000028107.14 XP_015683377.1
ENSMUSG00000030515.9 XP_029141121.1
ENSMUSG00000022241.6 XP_015672504.1
ENSMUSG00000004113.18 XP_029142215.1
ENSMUSG00000034656.18 XP_015684484.1
