Orthogroup	P_Mucros.pep	P_troglodytes.pep
OG0000002	XP_015685264.1, XP_029141702.1, XP_029142661.1, XP_029141924.1, XP_029141923.1	ENSPTRG00000052778.1
OG0000004	XP_029142696.1	ENSPTRG00000050549.1, ENSPTRG00000046529.1
OG0000006	XP_015685540.1, XP_029142004.1	ENSPTRG00000047697.1, ENSPTRG00000011558.5, ENSPTRG00000011592.6, ENSPTRG00000039931.2
OG0000006	XP_029139985.1, XP_029141493.1	ENSPTRG00000010249.6
OG0000006	XP_029140115.1	ENSPTRG00000010599.6, ENSPTRG00000050695.1, ENSPTRG00000030267.3, ENSPTRG00000045846.1, ENSPTRG00000017606.5, ENSPTRG00000017609.5, ENSPTRG00000008322.3, ENSPTRG00000047228.1, ENSPTRG00000047693.1, ENSPTRG00000042406.2, ENSPTRG00000020717.6
OG0000008	XP_015678743.1	ENSPTRG00000004723.4, ENSPTRG00000052021.1
OG0000008	XP_015668418.1	ENSPTRG00000045799.1, ENSPTRG00000004369.4
OG0000008	XP_015678750.1	ENSPTRG00000046303.1, ENSPTRG00000043682.1, ENSPTRG00000047640.1, ENSPTRG00000049137.1, ENSPTRG00000045582.1, ENSPTRG00000043908.1, ENSPTRG00000029801.2, ENSPTRG00000042706.1, ENSPTRG00000044259.1, ENSPTRG00000044636.1, ENSPTRG00000045889.1, ENSPTRG00000044548.1, ENSPTRG00000017789.3
OG0000009	XP_015677980.2	ENSPTRG00000003691.3
OG0000009	XP_015684501.1, XP_015673238.1	ENSPTRG00000003646.4
OG0000009	XP_015677985.1	ENSPTRG00000003626.2
OG0000009	XP_015683726.1	ENSPTRG00000029960.3
OG0000009	XP_015672562.1, XP_015672559.1, XP_015672561.1	ENSPTRG00000029785.4
OG0000009	XP_015677981.1, XP_015677982.2	ENSPTRG00000003619.3
OG0000010	XP_015672062.1, XP_015681933.1, XP_015681932.1	ENSPTRG00000051324.1, ENSPTRG00000047357.1, ENSPTRG00000050958.1
OG0000010	XP_015675791.1	ENSPTRG00000047237.1, ENSPTRG00000046524.1
OG0000010	XP_015683800.1	ENSPTRG00000051703.1, ENSPTRG00000052585.1, ENSPTRG00000049674.1, ENSPTRG00000050249.1, ENSPTRG00000045223.1, ENSPTRG00000048874.1, ENSPTRG00000047324.1, ENSPTRG00000050454.1, ENSPTRG00000046214.1, ENSPTRG00000043345.1, ENSPTRG00000043707.1, ENSPTRG00000045140.1
OG0000013	XP_029141885.1, XP_029139675.1, XP_015669877.1, XP_015669871.1, XP_029139676.1, XP_015669872.1, XP_029139682.1, XP_015669863.1, XP_015669864.1, XP_029139677.1, XP_015669887.1, XP_015669873.1, XP_015668983.1, XP_015669884.2, XP_029139679.1	ENSPTRG00000023522.3, ENSPTRG00000017891.3, ENSPTRG00000030069.3
OG0000014	XP_015680071.1, XP_015680070.1	ENSPTRG00000043737.1
OG0000014	XP_015686318.1	ENSPTRG00000044185.1
OG0000015	XP_029141494.1, XP_029142842.1, XP_029142300.1, XP_015681564.2, XP_029141960.1, XP_015681563.1, XP_029142070.1, XP_029142071.1, XP_029142618.1, XP_015683643.1, XP_029142096.1, XP_029142472.1, XP_029142644.1, XP_015681576.1, XP_015684078.2, XP_015686359.1, XP_029142551.1, XP_015682087.2, XP_015682091.1, XP_015682088.2, XP_015682092.1, XP_015681575.1, XP_015683644.1, XP_015684435.1, XP_029142095.1, XP_015680096.1, XP_015683740.1, XP_029142552.1, XP_015684387.1, XP_015684316.1, XP_015684388.1, XP_029142094.1, XP_015684314.1, XP_029142617.1	ENSPTRG00000048595.1, ENSPTRG00000001746.7
OG0000018	XP_015686319.1	ENSPTRG00000001238.5
OG0000018	XP_015665997.1	ENSPTRG00000044430.1, ENSPTRG00000047949.1, ENSPTRG00000052794.1, ENSPTRG00000046404.1, ENSPTRG00000051784.1, ENSPTRG00000046786.1, ENSPTRG00000043887.1, ENSPTRG00000047281.1, ENSPTRG00000004722.5, ENSPTRG00000046932.1
OG0000021	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1	ENSPTRG00000008769.4, ENSPTRG00000008770.5, ENSPTRG00000008771.7, ENSPTRG00000008768.6
OG0000021	XP_015665771.1, XP_015665778.1	ENSPTRG00000008773.5
OG0000021	XP_015669261.1	ENSPTRG00000013428.6
OG0000021	XP_015677905.1, XP_015677906.1, XP_015677907.1	ENSPTRG00000015191.4
OG0000021	XP_015677713.1	ENSPTRG00000006175.6
OG0000023	XP_015680186.1, XP_015680187.1	ENSPTRG00000047914.1
OG0000023	XP_015680192.1, XP_015680188.1, XP_029141670.1	ENSPTRG00000041296.2
OG0000023	XP_015677303.2	ENSPTRG00000050187.1
OG0000023	XP_029140194.1, XP_015672569.2	ENSPTRG00000004413.3, ENSPTRG00000003695.4, ENSPTRG00000047267.1, ENSPTRG00000043210.1, ENSPTRG00000043163.1, ENSPTRG00000003692.4, ENSPTRG00000030829.4
OG0000023	XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1	ENSPTRG00000006083.2
OG0000025	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1	ENSPTRG00000023404.6, ENSPTRG00000018018.7, ENSPTRG00000023735.6, ENSPTRG00000051243.1, ENSPTRG00000018001.7
OG0000026	XP_029142608.1, XP_029142559.1, XP_015684188.2, XP_029142606.1	ENSPTRG00000017330.3, ENSPTRG00000045415.1, ENSPTRG00000032485.2, ENSPTRG00000028558.3, ENSPTRG00000017341.4, ENSPTRG00000017338.5, ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1, ENSPTRG00000017334.5, ENSPTRG00000032486.2, ENSPTRG00000017335.4, ENSPTRG00000017343.3, ENSPTRG00000050672.1
OG0000027	XP_015670228.1, XP_015681657.1	ENSPTRG00000004900.5, ENSPTRG00000012467.6, ENSPTRG00000043972.1, ENSPTRG00000047687.1, ENSPTRG00000049222.1
OG0000027	XP_015672184.1	ENSPTRG00000045808.1
OG0000027	XP_015684007.1, XP_015674309.1	ENSPTRG00000002253.4
OG0000027	XP_015679069.1, XP_015679074.1	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	XP_015672183.1, XP_015672182.1	ENSPTRG00000012949.6
OG0000027	XP_015670229.1	ENSPTRG00000048544.1
OG0000029	XP_015677404.1	ENSPTRG00000043894.1, ENSPTRG00000051265.1, ENSPTRG00000004979.4, ENSPTRG00000020404.6
OG0000029	XP_015683489.1	ENSPTRG00000004987.6, ENSPTRG00000046630.1
OG0000029	XP_015683491.1	ENSPTRG00000004993.4
OG0000029	XP_015668619.1, XP_029139397.1	ENSPTRG00000004984.3, ENSPTRG00000004982.5, ENSPTRG00000004985.4, ENSPTRG00000004991.5, ENSPTRG00000004990.3
OG0000029	XP_015672252.1	ENSPTRG00000046526.1, ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1, ENSPTRG00000044210.1
OG0000029	XP_015677400.1	ENSPTRG00000004969.4
OG0000031	XP_015669369.1, XP_015669367.1, XP_015669370.1, XP_015669368.1, XP_015669366.1, XP_029139546.1, XP_029139545.1, XP_029139547.1, XP_029139544.1, XP_029139542.1, XP_029139543.1	ENSPTRG00000011016.6
OG0000031	XP_015669360.1, XP_015669364.1, XP_015669371.1	ENSPTRG00000011014.4, ENSPTRG00000011015.7, ENSPTRG00000033800.3
