Orthogroup	G_gallus.pep	P_troglodytes.pep
OG0000002	ENSGALG00000047440.1, ENSGALG00000051617.1, ENSGALG00000048623.1, ENSGALG00000051856.1, ENSGALG00000051327.1, ENSGALG00000049025.1, ENSGALG00000046947.1, ENSGALG00000048162.1, ENSGALG00000048259.1, ENSGALG00000054189.1, ENSGALG00000052804.1, ENSGALG00000048761.1, ENSGALG00000050278.1, ENSGALG00000051234.1, ENSGALG00000051509.1, ENSGALG00000049440.1, ENSGALG00000052651.1, ENSGALG00000046891.1, ENSGALG00000049650.1, ENSGALG00000053620.1, ENSGALG00000049984.1, ENSGALG00000052542.1, ENSGALG00000049115.1, ENSGALG00000051485.1, ENSGALG00000053832.1, ENSGALG00000054121.1, ENSGALG00000050397.1, ENSGALG00000052142.1, ENSGALG00000050095.1, ENSGALG00000053273.1, ENSGALG00000049747.1, ENSGALG00000048302.1, ENSGALG00000054060.1, ENSGALG00000047114.1, ENSGALG00000047960.1, ENSGALG00000049267.1, ENSGALG00000051440.1, ENSGALG00000051883.1, ENSGALG00000051177.1, ENSGALG00000055104.1, ENSGALG00000049061.1, ENSGALG00000047478.1, ENSGALG00000047299.1, ENSGALG00000047679.1, ENSGALG00000054433.1, ENSGALG00000052683.1, ENSGALG00000053392.1, ENSGALG00000054661.1, ENSGALG00000049726.1, ENSGALG00000048531.1, ENSGALG00000047227.1, ENSGALG00000053477.1, ENSGALG00000049676.1, ENSGALG00000054184.1, ENSGALG00000050813.1, ENSGALG00000049118.1, ENSGALG00000049938.1, ENSGALG00000052260.1, ENSGALG00000054437.1, ENSGALG00000047003.1, ENSGALG00000050958.1, ENSGALG00000048666.1, ENSGALG00000053328.1, ENSGALG00000051370.1, ENSGALG00000049823.1, ENSGALG00000047866.1, ENSGALG00000038257.2, ENSGALG00000054075.1, ENSGALG00000048983.1, ENSGALG00000054602.1, ENSGALG00000052269.1, ENSGALG00000054236.1	ENSPTRG00000052778.1
OG0000004	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1, ENSPTRG00000051891.1, ENSPTRG00000051783.1, ENSPTRG00000052542.1, ENSPTRG00000050807.1, ENSPTRG00000043596.1, ENSPTRG00000046832.1, ENSPTRG00000049990.1, ENSPTRG00000043052.1, ENSPTRG00000048142.1, ENSPTRG00000051542.1, ENSPTRG00000046255.1, ENSPTRG00000051793.1, ENSPTRG00000045803.1, ENSPTRG00000046633.1, ENSPTRG00000043164.1, ENSPTRG00000049497.1, ENSPTRG00000043119.1, ENSPTRG00000047226.1
OG0000004	ENSGALG00000047343.1	ENSPTRG00000050549.1, ENSPTRG00000046529.1, ENSPTRG00000051256.1, ENSPTRG00000049144.1, ENSPTRG00000052875.1, ENSPTRG00000014125.2
OG0000006	ENSGALG00000051131.1	ENSPTRG00000010599.6, ENSPTRG00000050695.1
OG0000006	ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1	ENSPTRG00000030267.3
OG0000006	ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1	ENSPTRG00000020717.6
OG0000008	ENSGALG00000049859.1	ENSPTRG00000004723.4
OG0000008	ENSGALG00000054083.1, ENSGALG00000048212.1, ENSGALG00000052030.1, ENSGALG00000049268.1, ENSGALG00000052284.1, ENSGALG00000032645.2, ENSGALG00000031571.2	ENSPTRG00000052021.1
OG0000008	ENSGALG00000045705.2	ENSPTRG00000045799.1, ENSPTRG00000004369.4
OG0000009	ENSGALG00000043408.2	ENSPTRG00000046082.1, ENSPTRG00000045266.1, ENSPTRG00000003691.3, ENSPTRG00000003646.4
OG0000009	ENSGALG00000044550.2	ENSPTRG00000003626.2
OG0000009	ENSGALG00000031739.2	ENSPTRG00000029785.4
OG0000009	ENSGALG00000041249.2, ENSGALG00000038269.2	ENSPTRG00000003643.4
OG0000009	ENSGALG00000043910.2	ENSPTRG00000003619.3
OG0000010	ENSGALG00000036908.2	ENSPTRG00000051324.1, ENSPTRG00000047357.1, ENSPTRG00000050958.1
OG0000010	ENSGALG00000052649.1	ENSPTRG00000051650.1
OG0000010	ENSGALG00000031804.2	ENSPTRG00000047237.1, ENSPTRG00000046524.1
OG0000010	ENSGALG00000050350.1, ENSGALG00000051251.1, ENSGALG00000027571.3	ENSPTRG00000050454.1
OG0000010	ENSGALG00000050309.1	ENSPTRG00000046214.1, ENSPTRG00000043345.1
OG0000013	ENSGALG00000050513.1, ENSGALG00000052602.1, ENSGALG00000049479.1, ENSGALG00000053747.1, ENSGALG00000051173.1, ENSGALG00000053944.1, ENSGALG00000048833.1, ENSGALG00000043575.2, ENSGALG00000041504.3, ENSGALG00000051768.1, ENSGALG00000053894.1, ENSGALG00000048915.1, ENSGALG00000047841.1, ENSGALG00000039250.2, ENSGALG00000041951.2, ENSGALG00000054729.1, ENSGALG00000054864.1, ENSGALG00000051877.1, ENSGALG00000049816.1, ENSGALG00000053200.1, ENSGALG00000053420.1, ENSGALG00000047375.1, ENSGALG00000052630.1, ENSGALG00000051246.1, ENSGALG00000040481.2, ENSGALG00000054846.1, ENSGALG00000054897.1, ENSGALG00000046428.2, ENSGALG00000049748.1, ENSGALG00000045377.2, ENSGALG00000053395.1, ENSGALG00000049263.1, ENSGALG00000054611.1, ENSGALG00000046913.1, ENSGALG00000048999.1, ENSGALG00000048618.1, ENSGALG00000053470.1, ENSGALG00000049392.1, ENSGALG00000048175.1, ENSGALG00000047930.1, ENSGALG00000050222.1, ENSGALG00000050447.1, ENSGALG00000048938.1, ENSGALG00000048354.1, ENSGALG00000054311.1, ENSGALG00000048673.1, ENSGALG00000034369.2, ENSGALG00000049109.1, ENSGALG00000048811.1, ENSGALG00000045206.2, ENSGALG00000052981.1, ENSGALG00000049158.1, ENSGALG00000046143.2, ENSGALG00000036079.2, ENSGALG00000049531.1, ENSGALG00000036455.2, ENSGALG00000047178.1, ENSGALG00000048651.1, ENSGALG00000050209.1, ENSGALG00000052836.1, ENSGALG00000054533.1, ENSGALG00000055137.1, ENSGALG00000054884.1, ENSGALG00000049845.1, ENSGALG00000050259.1, ENSGALG00000046926.1, ENSGALG00000054852.1, ENSGALG00000047992.1, ENSGALG00000054226.1, ENSGALG00000051719.1, ENSGALG00000054705.1, ENSGALG00000054589.1, ENSGALG00000043510.2, ENSGALG00000049681.1, ENSGALG00000048180.1, ENSGALG00000050463.1, ENSGALG00000046814.1, ENSGALG00000043446.2, ENSGALG00000049458.1, ENSGALG00000054101.1, ENSGALG00000053077.1, ENSGALG00000052019.1, ENSGALG00000048784.1	ENSPTRG00000023522.3, ENSPTRG00000017891.3, ENSPTRG00000030069.3
OG0000014	ENSGALG00000054599.1, ENSGALG00000020078.6	ENSPTRG00000043737.1
