Orthogroup	C_familiaris.pep	H_sapiens.pep
OG0000002	ENSCAFG00000045680.1, ENSCAFG00000045676.1, ENSCAFG00000044771.1, ENSCAFG00000043189.1, ENSCAFG00000047549.1, ENSCAFG00000046465.1, ENSCAFG00000043645.1, ENSCAFG00000029624.2, ENSCAFG00000044861.1, ENSCAFG00000030894.2, ENSCAFG00000041353.1, ENSCAFG00000049081.1, ENSCAFG00000028509.2, ENSCAFG00000045080.1, ENSCAFG00000045461.1, ENSCAFG00000045835.1, ENSCAFG00000043363.1, ENSCAFG00000030900.2, ENSCAFG00000049690.1, ENSCAFG00000043408.1, ENSCAFG00000047346.1	ENSG00000277856.1, ENSG00000277836.1, ENSG00000270472.2
OG0000003	ENSCAFG00000047288.1	ENSG00000281759.1, ENSG00000282666.1, ENSG00000244575.3, ENSG00000282801.1, ENSG00000243466.1, ENSG00000276566.1, ENSG00000282758.1, ENSG00000241755.1, ENSG00000241244.1, ENSG00000240864.3, ENSG00000282282.1, ENSG00000240382.3, ENSG00000281978.1, ENSG00000242766.1, ENSG00000243290.3, ENSG00000278857.1, ENSG00000282694.3, ENSG00000239819.2, ENSG00000281078.1, ENSG00000283113.2, ENSG00000240671.4, ENSG00000242580.1, ENSG00000242371.1, ENSG00000282120.1, ENSG00000282163.1, ENSG00000239855.1, ENSG00000231292.6, ENSG00000251546.1
OG0000003	ENSCAFG00000023369.2	ENSG00000282447.1, ENSG00000244437.1, ENSG00000224041.3, ENSG00000243063.1, ENSG00000282310.1, ENSG00000233999.3, ENSG00000275777.3, ENSG00000228325.5, ENSG00000282402.1, ENSG00000239951.1, ENSG00000211625.2, ENSG00000282823.1, ENSG00000211632.4, ENSG00000241351.3
OG0000003	ENSCAFG00000007370.4, ENSCAFG00000007366.4	ENSG00000211598.2
OG0000004	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2
OG0000004	ENSCAFG00000013622.4	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2
OG0000004	ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3	ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2
OG0000004	ENSCAFG00000028850.2, ENSCAFG00000031273.2	ENSG00000211658.2, ENSG00000211661.2, ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3, ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2, ENSG00000211673.2, ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3
OG0000004	ENSCAFG00000049157.1, ENSCAFG00000043262.1, ENSCAFG00000044750.1, ENSCAFG00000043208.1, ENSCAFG00000048182.1, ENSCAFG00000042030.1, ENSCAFG00000041288.1	ENSG00000211643.2
OG0000004	ENSCAFG00000042398.1	ENSG00000211641.3, ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1
