Orthogroup	N_naja.pep	X_tropicalis.pep
OG0000000	Nana23384-RA	ENSXETG00000000667.1
OG0000002	Nana39702-RA, Nana24133-RA, Nana24135-RA, Nana24143-RA, Nana24132-RA, Nana24136-RD, Nana24137-RA, Nana24145-RA, Nana24144-RA, Nana38721-RA, Nana38722-RA, Nana38264-RA, Nana39072-RA, Nana24128-RA, Nana24149-RA, Nana24150-RA	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1
OG0000004	Nana34665-RF	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1
OG0000004	Nana35137-RB	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1
OG0000006	Nana07308-RA	ENSXETG00000009141.1
OG0000007	Nana23478-RA, Nana38175-RA	ENSXETG00000009627.1
OG0000008	Nana24313-RA	ENSXETG00000000565.1, ENSXETG00000000652.1, ENSXETG00000019718.1, ENSXETG00000000619.1, ENSXETG00000000587.1, ENSXETG00000000557.1
OG0000008	Nana08331-RA	ENSXETG00000001158.1
OG0000008	Nana29034-RA	ENSXETG00000017971.1, ENSXETG00000001657.1, ENSXETG00000001664.1, ENSXETG00000004749.1
OG0000008	Nana10428-RA	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1
OG0000009	Nana23397-RA	ENSXETG00000015160.1
OG0000010	Nana24069-RA	ENSXETG00000016136.1
OG0000010	Nana38982-RA	ENSXETG00000002946.1, ENSXETG00000017467.1, ENSXETG00000015942.1, ENSXETG00000014585.1, ENSXETG00000002797.1, ENSXETG00000004730.1, ENSXETG00000015228.1, ENSXETG00000016166.1, ENSXETG00000014659.1, ENSXETG00000016210.1, ENSXETG00000009411.1, ENSXETG00000009551.1, ENSXETG00000004096.1, ENSXETG00000009494.1
OG0000014	Nana30712-RB, Nana09496-RA	ENSXETG00000001142.1
