"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_kidn_1","Mus_kidn_2","Mus_kidn_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Canis_kidn_1","Canis_kidn_2","Canis_kidn_3"
"1",107282159,"delta-like 4 (Drosophila)",2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1,14.54951,12.2522,12.29532,2.851353,3.7226126,2.001685,2.325257,7.07337,19.58548
"2",107282160,"fibronectin leucine rich transmembrane protein 2",401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03,1.596682,1.531669,1.281155,1.081301,3.467618,2.063632,2.42463,0.0261156,2.44296
"3",107282165,"peroxisomal biogenesis factor 11 gamma",169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156,12.68437,10.0913,11.6358,16.71575466,25.08529,11.9639084,4.67996,6.74891,1.951628
"4",107282168,"phosphodiesterase 4C",10,20,16,6,10,18,7,13,6,13,27,6,14,7,4,12,3,14,8,4,5,14,10,20,46,19,24,2,40,5,30.089984,30.671552,31.517166,0.753052,1.796868,0.8331534,5.66893,2.652298,8.00738
"5",107282170,"GTP binding protein 3 (mitochondrial)",1,1,2,0,1,2,3,3,5,1,6,6,3,1,3,3,0,2,1,5,1,7,3,3,2,2,5,5,6,3,15.237062,13.876398,14.813021,11.800954,12.7758767,8.360635,5.83874,10.075,8.29655
"6",107282178,"microtubule associated protein 7",857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484,28.657693,26.0940769,28.37379,57.803049,12.80864764,30.24583013,31.873167,23.52227,11.57119
"7",107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",154,129,179,106,195,96,163,182,181,179,199,304,117,160,106,138,123,167,160,111,55,146,421,133,398,84,172,263,275,184,59.403123,50.586511,59.314399,50.28009,55.406773,21.304622,30.27564,41.50207,37.65649
"8",107282195,"hyaluronan and proteoglycan link protein 1",19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20,0.2734,0.298356,0.173956,0,0.352274,0.0108088,3.50274,37.8804,8.92216
"9",107282203,"zinc finger protein 511",48,47,62,36,40,42,16,38,29,13,45,41,27,22,23,11,15,27,62,21,30,38,98,45,49,34,27,23,45,38,28.143559,26.076125,23.368897,14.56293,31.2787,23.24065,21.00717,13.01787,12.572553
"10",107282204,"tubulin gamma complex associated protein 2",276,488,527,187,218,387,96,260,295,164,457,352,444,199,205,230,190,212,629,236,168,632,1132,599,419,299,283,158,431,154,13.31155,13.2333457,12.6305,47.776408,59.08253879,43.35415837,33.8405,27.96882,21.3057
