Orthogroup	A_carolinensis.pep	P_troglodytes.pep
OG0000002	ENSACAG00000026766.2, ENSACAG00000023814.1, ENSACAG00000002849.3, ENSACAG00000026037.1, ENSACAG00000028352.1, ENSACAG00000002838.3, ENSACAG00000002383.2, ENSACAG00000002854.2, ENSACAG00000025794.1, ENSACAG00000002852.2, ENSACAG00000029654.1, ENSACAG00000029467.1, ENSACAG00000028297.1, ENSACAG00000021119.2, ENSACAG00000028659.1, ENSACAG00000026924.1, ENSACAG00000002831.3, ENSACAG00000028838.1, ENSACAG00000021136.2	ENSPTRG00000052778.1
OG0000002	ENSACAG00000021075.3, ENSACAG00000029517.1, ENSACAG00000002908.3, ENSACAG00000002907.2, ENSACAG00000002835.2	ENSPTRG00000050534.1, ENSPTRG00000050506.1, ENSPTRG00000045804.1, ENSPTRG00000051498.1, ENSPTRG00000045574.1, ENSPTRG00000042773.1, ENSPTRG00000051095.1, ENSPTRG00000042561.2, ENSPTRG00000049279.1, ENSPTRG00000046634.1, ENSPTRG00000046669.1, ENSPTRG00000051561.1, ENSPTRG00000051773.1, ENSPTRG00000050166.1, ENSPTRG00000044091.1, ENSPTRG00000046896.1
OG0000003	ENSACAG00000028914.1, ENSACAG00000029605.1, ENSACAG00000002361.2, ENSACAG00000011105.3, ENSACAG00000029284.1, ENSACAG00000028797.1, ENSACAG00000028470.1, ENSACAG00000029588.1, ENSACAG00000002353.3	ENSPTRG00000043451.1
OG0000004	ENSACAG00000026467.2	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1
OG0000004	ENSACAG00000002800.3	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1, ENSPTRG00000051891.1, ENSPTRG00000051783.1, ENSPTRG00000052542.1, ENSPTRG00000050807.1, ENSPTRG00000043596.1, ENSPTRG00000046832.1, ENSPTRG00000049990.1
OG0000004	ENSACAG00000026036.1	ENSPTRG00000043052.1, ENSPTRG00000048142.1, ENSPTRG00000051542.1, ENSPTRG00000046255.1, ENSPTRG00000051793.1, ENSPTRG00000045803.1, ENSPTRG00000046633.1, ENSPTRG00000043164.1, ENSPTRG00000049497.1, ENSPTRG00000043119.1, ENSPTRG00000047226.1
OG0000004	ENSACAG00000026066.1, ENSACAG00000002794.2, ENSACAG00000025882.1, ENSACAG00000024510.1, ENSACAG00000024122.1, ENSACAG00000028919.1, ENSACAG00000024102.1, ENSACAG00000026893.2, ENSACAG00000026390.1, ENSACAG00000026712.1, ENSACAG00000022431.1, ENSACAG00000028258.1	ENSPTRG00000050549.1, ENSPTRG00000046529.1
OG0000004	ENSACAG00000028714.1, ENSACAG00000029428.1, ENSACAG00000023703.2, ENSACAG00000025642.1, ENSACAG00000029178.1, ENSACAG00000022774.2	ENSPTRG00000051256.1, ENSPTRG00000049144.1, ENSPTRG00000052875.1, ENSPTRG00000014125.2
OG0000006	ENSACAG00000028936.1	ENSPTRG00000047697.1, ENSPTRG00000011558.5, ENSPTRG00000011592.6, ENSPTRG00000039931.2, ENSPTRG00000023216.4, ENSPTRG00000052677.1, ENSPTRG00000048805.1, ENSPTRG00000010522.6, ENSPTRG00000050902.1, ENSPTRG00000010249.6
OG0000006	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1	ENSPTRG00000047228.1, ENSPTRG00000047693.1, ENSPTRG00000042406.2
OG0000008	ENSACAG00000015302.1	ENSPTRG00000004723.4, ENSPTRG00000052021.1
OG0000009	ENSACAG00000022740.1, ENSACAG00000023190.1	ENSPTRG00000003691.3
OG0000009	ENSACAG00000022706.1	ENSPTRG00000003646.4
OG0000009	ENSACAG00000007600.2	ENSPTRG00000029960.3
OG0000009	ENSACAG00000010890.2	ENSPTRG00000029785.4
OG0000009	ENSACAG00000020941.2	ENSPTRG00000003643.4
OG0000010	ENSACAG00000027274.1	ENSPTRG00000051650.1
OG0000010	ENSACAG00000003370.1	ENSPTRG00000047237.1, ENSPTRG00000046524.1
OG0000010	ENSACAG00000026549.1	ENSPTRG00000051703.1, ENSPTRG00000052585.1, ENSPTRG00000049674.1, ENSPTRG00000050249.1, ENSPTRG00000045223.1, ENSPTRG00000048874.1, ENSPTRG00000047324.1, ENSPTRG00000050454.1, ENSPTRG00000046214.1, ENSPTRG00000043345.1, ENSPTRG00000043707.1, ENSPTRG00000045140.1
OG0000013	ENSACAG00000010954.2, ENSACAG00000027007.1, ENSACAG00000024209.1, ENSACAG00000024155.2, ENSACAG00000022589.1, ENSACAG00000010940.2, ENSACAG00000010942.2, ENSACAG00000010938.2, ENSACAG00000022282.1, ENSACAG00000026301.1	ENSPTRG00000023522.3, ENSPTRG00000017891.3, ENSPTRG00000030069.3
OG0000014	ENSACAG00000026224.2	ENSPTRG00000043737.1
OG0000015	ENSACAG00000011968.3, ENSACAG00000006471.3, ENSACAG00000024638.2, ENSACAG00000029516.1, ENSACAG00000006498.3, ENSACAG00000000468.2, ENSACAG00000006674.2, ENSACAG00000017226.3, ENSACAG00000000562.3, ENSACAG00000011070.2, ENSACAG00000006478.3, ENSACAG00000024528.1, ENSACAG00000023667.1, ENSACAG00000022634.1, ENSACAG00000027871.1, ENSACAG00000022657.2, ENSACAG00000025947.1, ENSACAG00000024081.2, ENSACAG00000024309.2, ENSACAG00000003088.2, ENSACAG00000024337.1, ENSACAG00000013947.2, ENSACAG00000026915.2, ENSACAG00000024939.1, ENSACAG00000025539.1	ENSPTRG00000048595.1, ENSPTRG00000001746.7
OG0000018	ENSACAG00000021103.2, ENSACAG00000023217.1, ENSACAG00000015480.1	ENSPTRG00000001238.5
OG0000018	ENSACAG00000024530.1	ENSPTRG00000051784.1, ENSPTRG00000046786.1, ENSPTRG00000043887.1, ENSPTRG00000047281.1
OG0000020	ENSACAG00000025737.1	ENSPTRG00000043968.1, ENSPTRG00000049305.1, ENSPTRG00000043025.1, ENSPTRG00000048451.1, ENSPTRG00000050973.1, ENSPTRG00000049108.1, ENSPTRG00000050824.1, ENSPTRG00000052394.1, ENSPTRG00000030364.3, ENSPTRG00000044278.1, ENSPTRG00000048433.1, ENSPTRG00000043657.1, ENSPTRG00000044994.1, ENSPTRG00000046655.1
OG0000021	ENSACAG00000017332.3, ENSACAG00000017003.3	ENSPTRG00000008769.4, ENSPTRG00000008770.5, ENSPTRG00000008771.7, ENSPTRG00000008768.6
OG0000021	ENSACAG00000017325.2	ENSPTRG00000008766.6
OG0000021	ENSACAG00000007497.3	ENSPTRG00000013428.6
OG0000021	ENSACAG00000006610.3	ENSPTRG00000015191.4
OG0000021	ENSACAG00000006296.3, ENSACAG00000029475.1	ENSPTRG00000006175.6
OG0000023	ENSACAG00000002843.2	ENSPTRG00000047914.1
OG0000023	ENSACAG00000022276.1, ENSACAG00000010915.2	ENSPTRG00000004413.3, ENSPTRG00000003695.4, ENSPTRG00000047267.1, ENSPTRG00000043210.1, ENSPTRG00000043163.1, ENSPTRG00000003692.4, ENSPTRG00000030829.4
OG0000023	ENSACAG00000025829.1	ENSPTRG00000006083.2
OG0000025	ENSACAG00000006391.2	ENSPTRG00000023404.6, ENSPTRG00000018018.7, ENSPTRG00000023735.6, ENSPTRG00000051243.1, ENSPTRG00000018001.7
OG0000026	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1	ENSPTRG00000017330.3, ENSPTRG00000045415.1, ENSPTRG00000032485.2, ENSPTRG00000028558.3, ENSPTRG00000017341.4, ENSPTRG00000017338.5, ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1, ENSPTRG00000017334.5, ENSPTRG00000032486.2, ENSPTRG00000017335.4, ENSPTRG00000017343.3, ENSPTRG00000050672.1
OG0000027	ENSACAG00000002559.3	ENSPTRG00000004900.5
OG0000027	ENSACAG00000015652.2	ENSPTRG00000004901.5
OG0000027	ENSACAG00000013417.3	ENSPTRG00000045808.1
OG0000027	ENSACAG00000017598.3	ENSPTRG00000002253.4
OG0000027	ENSACAG00000012426.3, ENSACAG00000012411.3	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	ENSACAG00000013342.3, ENSACAG00000028051.2	ENSPTRG00000012949.6
OG0000027	ENSACAG00000013414.3	ENSPTRG00000048544.1
OG0000028	ENSACAG00000027060.2	ENSPTRG00000046222.1, ENSPTRG00000011468.6, ENSPTRG00000011452.6, ENSPTRG00000011451.7, ENSPTRG00000043706.1, ENSPTRG00000046872.1, ENSPTRG00000047045.1, ENSPTRG00000048836.1, ENSPTRG00000011466.6, ENSPTRG00000011465.7, ENSPTRG00000045259.1, ENSPTRG00000050080.1, ENSPTRG00000046197.1, ENSPTRG00000011467.6, ENSPTRG00000011453.7, ENSPTRG00000011455.5, ENSPTRG00000011456.3, ENSPTRG00000028888.5, ENSPTRG00000045348.1
OG0000029	ENSACAG00000007370.3	ENSPTRG00000043894.1, ENSPTRG00000051265.1, ENSPTRG00000004979.4, ENSPTRG00000020404.6
OG0000029	ENSACAG00000029684.1	ENSPTRG00000004987.6, ENSPTRG00000046630.1
OG0000029	ENSACAG00000028764.1, ENSACAG00000029007.1	ENSPTRG00000004984.3, ENSPTRG00000004982.5, ENSPTRG00000004985.4, ENSPTRG00000004991.5, ENSPTRG00000004990.3
OG0000029	ENSACAG00000011658.3	ENSPTRG00000046526.1, ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1, ENSPTRG00000044210.1
OG0000029	ENSACAG00000007961.3	ENSPTRG00000004969.4
OG0000031	ENSACAG00000002646.2, ENSACAG00000008145.3, ENSACAG00000004881.2	ENSPTRG00000011016.6
OG0000032	ENSACAG00000002989.2	ENSPTRG00000029745.2, ENSPTRG00000005050.4, ENSPTRG00000005052.4, ENSPTRG00000029744.2, ENSPTRG00000048341.1, ENSPTRG00000047388.1, ENSPTRG00000050576.1, ENSPTRG00000045202.1
OG0000034	ENSACAG00000017201.3	ENSPTRG00000017675.6
OG0000034	ENSACAG00000012869.2	ENSPTRG00000023373.3
OG0000034	ENSACAG00000015226.3	ENSPTRG00000010369.4
OG0000034	ENSACAG00000001102.2	ENSPTRG00000013680.2
OG0000039	ENSACAG00000021090.2, ENSACAG00000021058.2	ENSPTRG00000050321.1, ENSPTRG00000019779.6, ENSPTRG00000004682.4, ENSPTRG00000004684.4, ENSPTRG00000004683.4, ENSPTRG00000047242.1, ENSPTRG00000045940.1, ENSPTRG00000046845.1, ENSPTRG00000032530.3, ENSPTRG00000046810.1, ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1, ENSPTRG00000049303.1, ENSPTRG00000004685.6
