Orthogroup	X_tropicalis.pep	P_troglodytes.pep
OG0000000	ENSXETG00000010742.1, ENSXETG00000007576.1, ENSXETG00000001438.1, ENSXETG00000010406.1, ENSXETG00000014348.1, ENSXETG00000002378.1, ENSXETG00000005740.1, ENSXETG00000017962.1, ENSXETG00000017931.1	ENSPTRG00000050482.1, ENSPTRG00000049812.1, ENSPTRG00000051774.1, ENSPTRG00000052814.1, ENSPTRG00000045463.1, ENSPTRG00000042770.1, ENSPTRG00000052366.1, ENSPTRG00000051272.1, ENSPTRG00000052596.1, ENSPTRG00000046661.1, ENSPTRG00000048435.1, ENSPTRG00000048756.1, ENSPTRG00000051987.1, ENSPTRG00000049055.1, ENSPTRG00000045526.1, ENSPTRG00000044831.1, ENSPTRG00000047700.1, ENSPTRG00000044953.1
OG0000002	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1	ENSPTRG00000040254.2, ENSPTRG00000046594.1, ENSPTRG00000045458.1, ENSPTRG00000044687.1, ENSPTRG00000049648.1, ENSPTRG00000046198.1, ENSPTRG00000051631.1, ENSPTRG00000047436.1, ENSPTRG00000046374.1, ENSPTRG00000051386.1, ENSPTRG00000044425.1, ENSPTRG00000042853.1, ENSPTRG00000052778.1, ENSPTRG00000050534.1, ENSPTRG00000050506.1, ENSPTRG00000045804.1, ENSPTRG00000051498.1, ENSPTRG00000045574.1, ENSPTRG00000042773.1, ENSPTRG00000051095.1, ENSPTRG00000042561.2, ENSPTRG00000049279.1, ENSPTRG00000046634.1, ENSPTRG00000046669.1, ENSPTRG00000051561.1, ENSPTRG00000051773.1, ENSPTRG00000050166.1, ENSPTRG00000044091.1, ENSPTRG00000046896.1
OG0000003	ENSXETG00000012682.1, ENSXETG00000012582.1, ENSXETG00000012658.1, ENSXETG00000012562.1, ENSXETG00000012761.1, ENSXETG00000012711.1, ENSXETG00000012610.1, ENSXETG00000012735.1, ENSXETG00000012785.1, ENSXETG00000008783.1, ENSXETG00000012616.1, ENSXETG00000012720.1, ENSXETG00000012773.1, ENSXETG00000012593.1, ENSXETG00000012629.1, ENSXETG00000008792.1, ENSXETG00000008825.1, ENSXETG00000009855.1, ENSXETG00000012634.1, ENSXETG00000008836.1, ENSXETG00000012752.1, ENSXETG00000001696.1, ENSXETG00000012765.1, ENSXETG00000012565.1, ENSXETG00000009874.1	ENSPTRG00000043451.1
OG0000003	ENSXETG00000012731.1	ENSPTRG00000046612.1
OG0000004	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1
OG0000004	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1, ENSPTRG00000051891.1, ENSPTRG00000051783.1, ENSPTRG00000052542.1, ENSPTRG00000050807.1, ENSPTRG00000043596.1, ENSPTRG00000046832.1, ENSPTRG00000049990.1, ENSPTRG00000043052.1, ENSPTRG00000048142.1, ENSPTRG00000051542.1, ENSPTRG00000046255.1, ENSPTRG00000051793.1, ENSPTRG00000045803.1, ENSPTRG00000046633.1, ENSPTRG00000043164.1, ENSPTRG00000049497.1, ENSPTRG00000043119.1, ENSPTRG00000047226.1
OG0000004	ENSXETG00000008294.1, ENSXETG00000008335.1, ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1	ENSPTRG00000051256.1, ENSPTRG00000049144.1, ENSPTRG00000052875.1, ENSPTRG00000014125.2
OG0000006	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1	ENSPTRG00000047697.1, ENSPTRG00000011558.5, ENSPTRG00000011592.6
OG0000006	ENSXETG00000006700.1	ENSPTRG00000039931.2
OG0000006	ENSXETG00000009141.1	ENSPTRG00000008322.3
