Orthogroup	P_Mucros.pep	X_tropicalis.pep
OG0000002	XP_015685264.1, XP_029141702.1, XP_029142661.1, XP_029141924.1, XP_029141923.1	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1
OG0000006	XP_015685540.1, XP_029142004.1	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1, ENSXETG00000006700.1
OG0000006	XP_029140115.1	ENSXETG00000009141.1
OG0000007	XP_029141355.1, XP_015677920.1, XP_029139616.1, XP_029139619.1, XP_029139607.1, XP_015669706.1, XP_029141191.1, XP_015669740.1, XP_029139635.1, XP_029139609.1, XP_029139608.1, XP_015669676.2, XP_029139614.1, XP_029139631.1, XP_029139638.1, XP_029139622.1	ENSXETG00000017041.1
OG0000007	XP_029139471.1, XP_015673670.1, XP_015673671.1, XP_015677998.1, XP_015677997.1, XP_029139482.1, XP_015673669.1, XP_015673668.1, XP_015668966.1, XP_015668965.1, XP_015678003.1, XP_015678002.1, XP_015668967.1, XP_029141222.1, XP_015668968.1, XP_029140244.1, XP_029140245.1, XP_015679667.1, XP_029140003.1, XP_029140241.1, XP_029140242.1, XP_029140238.1, XP_015679668.1, XP_015679669.1, XP_029140243.1, XP_029140513.1, XP_015674426.1, XP_029139651.1, XP_015669832.2, XP_029139650.1, XP_015684351.1, XP_029139648.1, XP_029142846.1, XP_029139646.1, XP_029139649.1, XP_029139645.1, XP_029140512.1, XP_029139647.1, XP_015674425.1, XP_029140516.1, XP_029140515.1, XP_015674421.1, XP_029140517.1, XP_029140514.1, XP_029141570.1, XP_029138827.1, XP_029138828.1, XP_029138826.1, XP_029138829.1, XP_029141572.1, XP_015684906.2, XP_029141571.1, XP_015678001.1, XP_015669834.2, XP_029141221.1, XP_029140389.1, XP_015673779.1, XP_015677424.1, XP_015670490.2, XP_029139796.1, XP_029139795.1, XP_015670488.1, XP_015670489.1, XP_015673776.1, XP_015673777.1, XP_029140383.1, XP_015673766.1, XP_029140382.1, XP_015666729.1, XP_029142090.1, XP_029141922.1, XP_029142143.1, XP_015682276.2, XP_029139023.1, XP_029142932.1, XP_029138837.1, XP_015665623.1, XP_015673667.1, XP_015670498.1, XP_015673672.1, XP_029140746.1, XP_029140366.1, XP_015675790.1, XP_015673663.1, XP_029140364.1, XP_015673661.1, XP_029140365.1, XP_015673660.1, XP_015673664.2, XP_015673665.1, XP_029140438.1, XP_029141950.1, XP_029140051.1, XP_029140440.1, XP_029140444.1, XP_029140052.1, XP_029140437.1, XP_015671879.1, XP_029141949.1, XP_029141902.1, XP_029141903.1	ENSXETG00000009627.1
OG0000008	XP_015678749.1	ENSXETG00000000565.1, ENSXETG00000000652.1, ENSXETG00000019718.1, ENSXETG00000000619.1, ENSXETG00000000587.1, ENSXETG00000000557.1
OG0000008	XP_015677647.1	ENSXETG00000001158.1
OG0000008	XP_015668418.1	ENSXETG00000017971.1, ENSXETG00000001657.1, ENSXETG00000001664.1, ENSXETG00000004749.1
OG0000008	XP_015678750.1	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1
OG0000009	XP_015684501.1, XP_015673238.1	ENSXETG00000002126.1
