Orthogroup	P_troglodytes.pep	P_Mucros.pep
OG0000002	ENSPTRG00000052778.1	XP_015685264.1, XP_029141702.1, XP_029142661.1, XP_029141924.1, XP_029141923.1
OG0000004	ENSPTRG00000050549.1, ENSPTRG00000046529.1	XP_029142696.1
OG0000006	ENSPTRG00000047697.1, ENSPTRG00000011558.5, ENSPTRG00000011592.6, ENSPTRG00000039931.2	XP_015685540.1, XP_029142004.1
OG0000006	ENSPTRG00000010249.6	XP_029139985.1, XP_029141493.1
OG0000006	ENSPTRG00000010599.6, ENSPTRG00000050695.1, ENSPTRG00000030267.3, ENSPTRG00000045846.1, ENSPTRG00000017606.5, ENSPTRG00000017609.5, ENSPTRG00000008322.3, ENSPTRG00000047228.1, ENSPTRG00000047693.1, ENSPTRG00000042406.2, ENSPTRG00000020717.6	XP_029140115.1
OG0000008	ENSPTRG00000004723.4, ENSPTRG00000052021.1	XP_015678743.1
OG0000008	ENSPTRG00000045799.1, ENSPTRG00000004369.4	XP_015668418.1
OG0000008	ENSPTRG00000046303.1, ENSPTRG00000043682.1, ENSPTRG00000047640.1, ENSPTRG00000049137.1, ENSPTRG00000045582.1, ENSPTRG00000043908.1, ENSPTRG00000029801.2, ENSPTRG00000042706.1, ENSPTRG00000044259.1, ENSPTRG00000044636.1, ENSPTRG00000045889.1, ENSPTRG00000044548.1, ENSPTRG00000017789.3	XP_015678750.1
OG0000009	ENSPTRG00000003691.3	XP_015677980.2
OG0000009	ENSPTRG00000003646.4	XP_015684501.1, XP_015673238.1
OG0000009	ENSPTRG00000003626.2	XP_015677985.1
OG0000009	ENSPTRG00000029960.3	XP_015683726.1
OG0000009	ENSPTRG00000029785.4	XP_015672562.1, XP_015672559.1, XP_015672561.1
OG0000009	ENSPTRG00000003619.3	XP_015677981.1, XP_015677982.2
OG0000010	ENSPTRG00000051324.1, ENSPTRG00000047357.1, ENSPTRG00000050958.1	XP_015672062.1, XP_015681933.1, XP_015681932.1
OG0000010	ENSPTRG00000047237.1, ENSPTRG00000046524.1	XP_015675791.1
