M_musculus.pep,P_Mucros.pep
ENSMUSG00000060081,XP_015678749.1
ENSMUSG00000049932,XP_015668418.1
ENSMUSG00000067522,XP_015677980.2
ENSMUSG00000075208,XP_015683726.1
ENSMUSG00000051392,XP_015673205.2
ENSMUSG00000075155,XP_015673239.1
ENSMUSG00000016559,XP_015680070.1
ENSMUSG00000099583,XP_015678752.1
ENSMUSG00000060743,XP_015674626.1
ENSMUSG00000060678,XP_015686319.1
ENSMUSG00000074652,XP_015669261.1
ENSMUSG00000040752,XP_015677713.1
ENSMUSG00000045306,XP_015677304.1
ENSMUSG00000023004,XP_015672184.1
ENSMUSG00000043091,XP_015670229.1
ENSMUSG00000046834,XP_015683489.1
ENSMUSG00000061397,XP_015683491.1
ENSMUSG00000049382,XP_015672252.1
ENSMUSG00000023039,XP_015677400.1
ENSMUSG00000001525,XP_015681155.1
ENSMUSG00000036752,XP_015687129.1
ENSMUSG00000058672,XP_015669671.1
ENSMUSG00000062591,XP_015678223.1
ENSMUSG00000001473,XP_015672240.1
ENSMUSG00000016255,XP_015679451.1
ENSMUSG00000051965,XP_029142106.1
ENSMUSG00000068037,XP_029142247.1
ENSMUSG00000075318,XP_029141524.1
ENSMUSG00000064329,XP_015679123.1
ENSMUSG00000057182,XP_029141610.1
ENSMUSG00000075316,XP_015679120.1
ENSMUSG00000001027,XP_029143052.1
ENSMUSG00000022818,XP_015675899.1
ENSMUSG00000062825,XP_015670662.1
ENSMUSG00000029580,XP_015682953.1
ENSMUSG00000025350,XP_015679681.1
ENSMUSG00000067144,XP_015671903.1
ENSMUSG00000015656,XP_015676898.1
ENSMUSG00000059970,XP_015668814.1
ENSMUSG00000044737,XP_015672094.1
ENSMUSG00000062478,XP_015675839.1
ENSMUSG00000031502,XP_029139245.1
ENSMUSG00000031274,XP_029138764.1
ENSMUSG00000031503,XP_029139244.1
ENSMUSG00000067158,XP_029139815.1
ENSMUSG00000079465,XP_029140039.1
ENSMUSG00000016349,XP_015685683.1
ENSMUSG00000028464,XP_015671316.1
ENSMUSG00000030302,XP_029143067.1
ENSMUSG00000026235,XP_015673346.1
ENSMUSG00000028289,XP_029140096.1
ENSMUSG00000052504,XP_015675447.2
ENSMUSG00000028661,XP_029139330.1
ENSMUSG00000055540,XP_015679762.1
ENSMUSG00000039824,XP_015678396.1
ENSMUSG00000061086,XP_015687734.1
ENSMUSG00000059741,XP_015669788.1
ENSMUSG00000030246,XP_015682701.1
ENSMUSG00000046434,XP_015673749.1
ENSMUSG00000066392,XP_015674238.1
ENSMUSG00000058013,XP_015671863.1
ENSMUSG00000018398,XP_015682442.1
ENSMUSG00000037242,XP_015675783.1
ENSMUSG00000007041,XP_015678738.1
ENSMUSG00000024642,XP_015672138.1
ENSMUSG00000025821,XP_015684744.1
ENSMUSG00000045466,XP_029142411.1
ENSMUSG00000053141,XP_015677033.1
ENSMUSG00000033278,XP_015669757.1
ENSMUSG00000028909,XP_029139363.1
ENSMUSG00000019889,XP_029140019.1
ENSMUSG00000032297,XP_029141364.1
ENSMUSG00000001120,XP_015680915.1
ENSMUSG00000023809,XP_015673847.1
ENSMUSG00000003644,XP_029140470.1
ENSMUSG00000019577,XP_015667066.1
ENSMUSG00000038967,XP_015665901.1
ENSMUSG00000006494,XP_015676018.1
ENSMUSG00000048206,XP_015681515.1
ENSMUSG00000026203,XP_015672185.1
ENSMUSG00000039661,XP_015676537.1
ENSMUSG00000063821,XP_015671939.1
ENSMUSG00000029121,XP_015682850.1
ENSMUSG00000024501,XP_015676540.1
ENSMUSG00000054808,XP_015680285.1
ENSMUSG00000052374,XP_015674515.1
ENSMUSG00000006457,XP_015687228.1
ENSMUSG00000030972,XP_015681761.1
ENSMUSG00000047026,XP_015681941.1
ENSMUSG00000061099,XP_015677236.2
ENSMUSG00000011171,XP_015666971.1
ENSMUSG00000026387,XP_015681070.1
ENSMUSG00000032528,XP_015667884.1
ENSMUSG00000004654,XP_029139258.1
ENSMUSG00000030236,XP_029141321.1
ENSMUSG00000091043,XP_015676189.1
ENSMUSG00000026837,XP_015680736.1
ENSMUSG00000026509,XP_015672503.1
ENSMUSG00000058626,XP_015679176.1
ENSMUSG00000024942,XP_015679096.1
ENSMUSG00000011257,XP_015667139.1
ENSMUSG00000054582,XP_015671850.1
ENSMUSG00000030084,XP_029140806.1
ENSMUSG00000026640,XP_015672473.1
ENSMUSG00000029765,XP_015684318.1
ENSMUSG00000031398,XP_015670606.2
ENSMUSG00000026773,XP_015683273.2
ENSMUSG00000025648,XP_015677824.1
ENSMUSG00000056078,XP_015687365.1
ENSMUSG00000024781,XP_015678517.1
ENSMUSG00000040037,XP_029141374.1
ENSMUSG00000062257,XP_015674112.1
ENSMUSG00000021730,XP_015675393.1
ENSMUSG00000032338,XP_029141385.1
ENSMUSG00000028051,XP_015681863.1
ENSMUSG00000020331,XP_015680940.1
ENSMUSG00000048076,XP_015683210.1
ENSMUSG00000051853,XP_015683450.1
ENSMUSG00000029120,XP_015684024.2
ENSMUSG00000024500,XP_015676531.1
ENSMUSG00000041769,XP_015667869.1
ENSMUSG00000022052,XP_015679777.1
