P_Mucros.pep,P_bivittatus_protein
XP_015671879.1,XP_025032292.1
XP_015669834.2,XP_007442433.1
XP_029139647.1,XP_025028697.1
XP_029139649.1,XP_025030124.1
XP_029141570.1,XP_015745478.1
XP_029140514.1,XP_025032592.1
XP_029140388.1,XP_025032673.1
XP_015670497.1,XP_025029535.1
XP_029140389.1,XP_025031315.1
XP_029140385.1,XP_007445050.2
XP_029141054.1,XP_025030279.1
XP_029139799.1,XP_025032611.1
XP_029140387.1,XP_025031786.1
XP_015673771.1,XP_015745759.2
XP_029139807.1,XP_025031938.1
XP_015683636.2,XP_025032391.1
XP_015678001.1,XP_015746014.1
XP_015673668.1,XP_007442942.1
XP_029139482.1,XP_025031446.1
XP_015678002.1,XP_015746013.1
XP_015669861.1,XP_025031738.1
XP_015668983.1,XP_007442269.1
XP_029141887.1,XP_015746519.2
XP_015680074.2,XP_015745900.2
XP_015669871.1,XP_007442281.2
XP_029139671.1,XP_025033277.1
XP_029139659.1,XP_025029401.1
XP_015669874.1,XP_007442286.1
XP_029139672.1,XP_025032930.1
XP_029139676.1,XP_025033276.1
XP_029139682.1,XP_007439015.1
XP_029139677.1,XP_025033192.1
XP_029139474.1,XP_007445287.1
XP_015685540.1,XP_025031802.1
XP_029141330.1,XP_015746563.2
XP_015685264.1,XP_025032201.1
XP_015685075.1,XP_007438047.1
XP_015683726.1,XP_007438041.1
XP_015684100.2,XP_007440478.1
XP_015673239.1,XP_007435543.1
XP_015677985.1,XP_015745612.1
XP_015677984.1,XP_007439672.1
XP_015681499.1,XP_007445043.2
XP_015677989.1,XP_025029802.1
XP_015681496.2,XP_007445366.3
XP_015680188.1,XP_007444915.1
XP_015680192.1,XP_007444916.1
XP_029141670.1,XP_007429402.1
XP_015680187.1,XP_007444021.1
XP_015680186.1,XP_007444022.1
XP_015677304.1,XP_007442725.1
XP_015685068.2,XP_025031538.1
XP_029140640.1,XP_025031536.1
XP_015671511.1,XP_025032085.1
XP_029142382.1,XP_007432697.2
XP_015671808.2,XP_007439088.1
XP_029141896.1,XP_025033191.1
XP_015665593.1,XP_015746624.1
XP_015671601.2,XP_025032170.1
XP_029140002.1,XP_007443449.3
XP_015671600.1,XP_015746318.2
XP_015665572.1,XP_025033381.1
XP_015665570.1,XP_007444859.1
XP_015665616.1,XP_015746729.1
XP_015665601.1,XP_007443224.1
XP_029138834.1,XP_015745955.2
XP_029138833.1,XP_007441434.3
XP_015665595.1,XP_007444970.1
XP_015683740.1,XP_007444267.1
XP_015678749.1,XP_007427783.1
XP_015678743.1,XP_007427780.1
XP_015673915.1,XP_007431371.1
XP_015677647.1,XP_007421963.1
XP_015684014.1,XP_025032160.1
XP_029142334.1,XP_025031115.1
XP_029141724.1,XP_015746561.2
XP_015675899.1,XP_007442968.1
XP_029141444.1,XP_025028862.1
XP_029141443.1,XP_025031837.1
XP_029140767.1,XP_015745763.2
XP_029141452.1,XP_025032855.1
XP_015687184.2,XP_007445414.1
XP_015683397.1,XP_007445106.2
XP_015682707.1,XP_025032773.1
XP_015682714.1,XP_007442085.1
XP_015682702.1,XP_007444877.1
XP_015686789.1,XP_007445254.1
XP_015686910.1,XP_007445432.1
XP_015682715.2,XP_007442087.1
XP_015682716.1,XP_007442088.1
XP_015672351.2,XP_007444400.1
XP_029142247.1,XP_025027229.1
XP_015678109.1,XP_025029913.1
XP_015686532.1,XP_025033080.1
XP_029142970.1,XP_007445512.2
XP_015686913.2,XP_025031294.1
XP_015681931.1,XP_007436454.1
XP_015678744.1,XP_025022125.1
XP_015672561.1,XP_015745608.1
XP_015672562.1,XP_015745607.1
XP_015665579.1,XP_007442519.1
XP_015684098.2,XP_007440476.1
XP_015674575.1,XP_025033356.1
XP_015674572.2,XP_007444468.2
XP_015673205.2,XP_015743513.1
XP_015680915.1,XP_007435250.1
XP_015675705.1,XP_007423788.1
XP_015675707.1,XP_007423789.1
XP_015675706.1,XP_025019521.1
XP_015675710.1,XP_025019523.1
XP_015675708.1,XP_025019522.1
XP_015675703.1,XP_025019519.1
XP_015675702.1,XP_025019518.1
XP_015675701.1,XP_025019517.1
XP_015675699.1,XP_025019514.1
XP_015675698.1,XP_007423785.1
XP_015675711.1,XP_007423766.1
XP_015686319.1,XP_007429383.1
XP_015665997.1,XP_007441164.1
XP_015687581.1,XP_025026462.1
XP_015669261.1,XP_007419944.1
XP_015672567.1,XP_015746627.1
XP_015672565.1,XP_007439635.1
XP_015670850.1,XP_015743174.1
XP_015673910.1,XP_007439702.1
XP_015673894.2,XP_025029822.1
XP_029141524.1,XP_025022581.1
XP_015679123.1,XP_025024892.1
XP_015679120.1,XP_025027460.1
XP_015688000.1,XP_025030329.1
XP_015677920.1,XP_025030668.1
XP_015684007.1,XP_007441049.1
XP_015674309.1,XP_007441416.1
XP_015679069.1,XP_025023022.1
XP_015671065.1,XP_007426109.1
XP_015669363.2,XP_007441754.2
XP_015665587.1,XP_015746195.1
XP_015665585.1,XP_007443767.1
XP_015676883.1,XP_025028431.1
XP_029142268.1,XP_007437414.1
XP_029142850.1,XP_007437412.1
XP_015673408.1,XP_007443894.1
XP_015672252.1,XP_007435739.1
XP_015677404.1,XP_025030548.1
XP_015683489.1,XP_007442356.1
XP_015683491.1,XP_007442357.1
XP_029139397.1,XP_007441333.1
XP_015687129.1,XP_007427112.1
XP_015678223.1,XP_007423952.1
XP_015681155.1,XP_007442621.1
XP_015669671.1,XP_025019627.1
XP_015669891.1,XP_007423928.1
XP_015679451.1,XP_007431925.1
XP_015672240.1,XP_007427905.2
XP_029139076.1,XP_025029543.1
XP_015677033.1,XP_025028542.1
XP_029139363.1,XP_007431646.1
XP_015669757.1,XP_007437599.2
XP_015670662.1,XP_007419915.2
XP_015682953.1,XP_007436312.1
XP_015671497.1,XP_007441740.1
XP_015684708.1,XP_007434178.1
XP_015679888.1,XP_007424890.1
XP_015687360.1,XP_007441220.1
XP_015674238.1,XP_007432578.1
XP_029140479.1,XP_025024634.1
XP_029142865.1,XP_015746912.2
XP_029142960.1,XP_025032493.1
XP_015687943.1,XP_007422459.1
XP_015687802.1,XP_007440299.2
XP_015687773.1,XP_007428115.1
XP_015687767.1,XP_025030172.1
XP_015687766.1,XP_007440302.1
XP_029141248.1,XP_007430113.1
XP_015683998.1,XP_025028000.1
XP_015667989.1,XP_007426394.1
XP_015667988.1,XP_007426393.1
XP_015680124.1,XP_007440043.1
XP_029139330.1,XP_025025928.1
XP_015679762.1,XP_025021104.1
XP_015677811.1,XP_007428659.1
XP_015684114.1,XP_025022640.1
XP_029142106.1,XP_025030320.1
XP_015687930.1,XP_025021074.1
XP_015685155.1,XP_007441916.1
XP_029140819.1,XP_007445007.2
XP_015669245.1,XP_007430813.1
XP_015674555.1,XP_025023733.1
XP_015685317.1,XP_007439431.1
XP_015685319.1,XP_007439432.1
XP_015681721.1,XP_007443697.1
XP_015686587.1,XP_007443693.1
XP_015672094.1,XP_025023915.1
XP_015670842.1,XP_007434941.1
XP_015670840.1,XP_007434942.1
XP_029140000.1,XP_007443044.1
XP_015671588.1,XP_007435040.1
XP_015671621.1,XP_007435038.1
XP_015671584.1,XP_015744719.1
XP_015671591.1,XP_007435046.1
XP_015671598.1,XP_015746794.1
XP_029140195.1,XP_025031119.1
XP_029139656.1,XP_025029394.1
XP_015672586.1,XP_007439010.1
XP_029140197.1,XP_025031122.1
XP_029140196.1,XP_025031121.1
XP_015672583.1,XP_015745945.1
XP_015668850.1,XP_007429171.1
XP_015665456.1,XP_007433195.1
XP_015671316.1,XP_007444111.1
XP_015671321.1,XP_007444109.1
XP_015668852.1,XP_007429167.1
XP_015668851.1,XP_007429170.1
XP_015671903.1,XP_007437766.2
XP_029141432.1,XP_007438563.1
XP_029141436.1,XP_015745373.2
XP_029141435.1,XP_007438559.2
XP_015680830.1,XP_025030410.1
XP_015667791.1,XP_007440535.1
XP_015680208.1,XP_007422712.1
XP_015678738.1,XP_007438831.1
XP_029143045.1,XP_007445362.1
XP_029141067.1,XP_025026566.1
XP_015682354.1,XP_007444528.2
XP_015687512.1,XP_025031796.1
XP_015678078.1,XP_007426403.2
XP_029141959.1,XP_025031989.1
XP_029139815.1,XP_025021117.1
XP_029139244.1,XP_007441775.1
XP_029140039.1,XP_025021112.1
XP_029139245.1,XP_025025322.1
XP_015666896.1,XP_007444345.1
XP_015666927.1,XP_007443332.1
XP_015665943.1,XP_015744390.1
XP_015676546.1,XP_015743295.1
XP_015674724.1,XP_007436838.1
XP_015684072.2,XP_007428621.1
XP_015684155.1,XP_025029326.1
XP_015684165.2,XP_025029327.1
XP_015684967.1,XP_007424952.1
XP_015672611.1,XP_007424836.1
XP_015672533.1,XP_007431213.1
XP_015672544.1,XP_025024283.1
XP_015672308.1,XP_025022118.1
XP_029140137.1,XP_025022119.1
XP_029140136.1,XP_025022117.1
XP_015672307.1,XP_007427773.1
XP_015672311.1,XP_025022121.1
XP_015668794.1,XP_025019061.1
XP_015668795.1,XP_025019062.1
XP_015680905.1,XP_007444185.1
XP_015670080.1,XP_007428585.1
XP_015670078.1,XP_007428584.1
XP_015670077.1,XP_007428583.1
XP_029141491.1,XP_025030737.1
XP_029140419.1,XP_025031276.1
XP_029141583.1,XP_025031018.1
XP_015667116.1,XP_025024482.1
XP_015669828.1,XP_025029175.1
XP_015672627.1,XP_007421382.1
XP_015677483.1,XP_007445122.1
XP_029141075.1,XP_007442665.2
XP_015677486.2,XP_025031686.1
XP_015687069.2,XP_007442032.3
XP_015681182.1,XP_007443901.1
XP_015682429.1,XP_007445096.2
XP_015685194.1,XP_007432088.1
XP_015668761.1,XP_007433594.1
XP_015680541.1,XP_007422907.1
XP_015684705.1,XP_007422908.1
XP_029139925.1,XP_025027604.1
XP_015681973.1,XP_025021486.1
XP_015681977.1,XP_025021487.1
XP_029142064.1,XP_025021488.1
XP_015672908.1,XP_007442042.1
XP_015676950.1,XP_007441928.1
XP_015683080.1,XP_025022972.1
XP_015683861.1,XP_025028557.1
XP_015673566.1,XP_007435355.1
XP_015670344.1,XP_025026535.1
XP_015678399.1,XP_007426151.1
XP_015678398.1,XP_007426152.1
XP_015678396.1,XP_007426150.1
XP_015686600.1,XP_007421729.1
XP_015669788.1,XP_007442312.1
XP_015687734.1,XP_007422441.1
XP_029139751.1,XP_025026644.1
XP_029139749.1,XP_007434799.1
XP_015670203.1,XP_007434797.1
XP_015670206.1,XP_025026645.1
XP_015681724.1,XP_007427339.1
XP_015672863.1,XP_025023602.1
XP_015682229.1,XP_025022337.1
XP_015672837.1,XP_007427791.1
XP_015674820.1,XP_025024353.1
XP_015681166.1,XP_007431940.1
XP_015668682.1,XP_007440469.1
XP_015674502.1,XP_007428636.1
XP_015669915.1,XP_007423266.1
XP_015676780.1,XP_007423911.1
XP_015684240.1,XP_025021243.1
XP_015676045.1,XP_025033189.1
XP_015670095.1,XP_007431122.1
XP_029142011.1,XP_025031614.1
XP_015668864.1,XP_025022978.1
XP_015665422.1,XP_025027752.1
XP_015668814.1,XP_007435687.1
XP_015674252.1,XP_015743710.1
XP_015678018.1,XP_007435291.1
XP_015676898.1,XP_007436571.2
XP_015677305.1,XP_007438909.1
XP_015673847.1,XP_007420550.1
XP_029140470.1,XP_025023113.1
XP_029141621.1,XP_025020549.1
XP_015673632.1,XP_007426293.1
XP_015682637.1,XP_007443426.1
XP_015671692.1,XP_025024471.1
XP_029139226.1,XP_025021639.1
XP_015684744.1,XP_007435060.2
XP_029141138.1,XP_015745496.1
XP_015677677.1,XP_007444973.3
XP_029142411.1,XP_025030935.1
XP_015676867.1,XP_025020266.1
XP_015666892.1,XP_007429466.1
XP_015670458.1,XP_007424666.1
XP_015673749.1,XP_007442188.1
XP_015665509.1,XP_007431430.1
XP_029141434.1,XP_007437812.1
XP_029141409.1,XP_025033160.1
XP_029142366.1,XP_025028074.1
XP_015683964.1,XP_007445172.2
XP_029140923.1,XP_025022950.1
XP_015684903.1,XP_007430879.1
XP_029139816.1,XP_025022974.1
XP_015676306.1,XP_007442719.1
XP_015676307.1,XP_007442720.1
XP_015676326.1,XP_007444627.1
XP_015675839.1,XP_007423197.1
XP_015683637.1,XP_025028920.1
XP_015675059.1,XP_007425760.1
XP_015675060.1,XP_007425761.1
XP_015678419.1,XP_007439895.1
XP_015666878.1,XP_007423623.1
XP_015687543.1,XP_025031182.1
XP_015687761.1,XP_007420755.1
XP_029139251.1,XP_025019985.1
XP_015682850.1,XP_025030101.1
XP_015666344.1,XP_025019663.1
XP_015667286.1,XP_025030573.1
XP_029139131.1,XP_025031707.1
XP_015670326.1,XP_007436951.1
XP_015685533.1,XP_025029877.1
XP_015678898.1,XP_025033064.1
XP_015674515.1,XP_007438199.1
XP_015687228.1,XP_007439100.1
XP_015680285.1,XP_025028965.1
XP_029141228.1,XP_007436184.1
XP_015670169.1,XP_007431185.1
XP_015678517.1,XP_015746714.2
XP_015687365.1,XP_007441288.1
XP_015678970.1,XP_025032525.1
XP_029141414.1,XP_025033082.1
XP_015686431.1,XP_007428398.2
XP_015679002.1,XP_025022491.1
XP_015679003.1,XP_007428403.2
XP_015675520.2,XP_007428401.1
XP_029141224.1,XP_007422419.2
XP_015683242.1,XP_025028015.1
XP_015678553.1,XP_007427034.1
XP_015675513.1,XP_007432965.1
XP_015679486.1,XP_007423807.1
XP_015666879.1,XP_007440773.1
XP_029138765.1,XP_015746485.2
XP_015669892.1,XP_007423406.2
XP_015675061.1,XP_007430027.2
XP_015680441.1,XP_007427445.1
XP_015681102.1,XP_007435457.1
XP_015665756.1,XP_015744801.1
XP_015680444.1,XP_007427446.1
XP_015671969.1,XP_025026642.1
XP_029138770.1,XP_015746156.2
XP_029138989.1,XP_025020959.1
XP_015669483.1,XP_007429674.1
XP_029143209.1,XP_025022654.1
XP_015687868.1,XP_007420768.1
XP_015667869.1,XP_007424485.2
XP_015684024.2,XP_007435429.1
XP_029141321.1,XP_025024203.1
XP_029141216.1,XP_007434652.2
XP_015681133.1,XP_007444318.1
XP_015679212.1,XP_007436265.1
XP_015666132.1,XP_007420816.1
XP_029140344.1,XP_025022907.1
XP_029143026.1,XP_025032705.1
XP_029140185.1,XP_007442390.3
XP_015672537.1,XP_007442386.2
XP_015672548.1,XP_007443735.1
XP_015681941.1,XP_025020401.1
XP_029142048.1,XP_015744845.2
XP_015681947.1,XP_015744844.2
XP_015681761.1,XP_025027198.1
XP_015667082.1,XP_007436420.1
XP_029140149.1,XP_007428181.1
XP_015680900.1,XP_007427882.1
XP_015678099.1,XP_007420118.1
XP_015684043.1,XP_007434434.1
XP_015676390.1,XP_025029479.1
XP_029141374.1,XP_025031606.1
XP_015668361.1,XP_007430409.1
XP_015685053.1,XP_007443509.1
XP_015672964.1,XP_007431170.1
XP_015685683.1,XP_007438851.1
XP_015675233.1,XP_007423869.1
XP_015674516.1,XP_007438326.2
XP_015683511.1,XP_025023118.1
XP_015675641.1,XP_007428275.1
XP_029141072.1,XP_025026069.1
XP_015679138.1,XP_007439496.2
XP_015666168.1,XP_025030851.1
XP_029141710.1,XP_025027115.1
XP_015666971.1,XP_007431358.2
XP_015667884.1,XP_007442534.2
XP_029139258.1,XP_007439592.1
XP_015677888.1,XP_007440649.1
XP_015668623.1,XP_007425430.1
XP_015676915.1,XP_007420162.1
XP_015687603.2,XP_007422561.1
XP_015674514.1,XP_025022800.1
XP_015681256.1,XP_007424045.1
XP_015671850.1,XP_007426801.1
XP_015667139.1,XP_007439821.1
XP_015673841.2,XP_025026409.1
XP_015684391.1,XP_015743774.1
XP_015687209.1,XP_025026240.1
XP_015687208.1,XP_025027427.1
XP_015674242.1,XP_007429132.1
XP_015683523.2,XP_007444307.1
