Pm_gene_id,Nn_target_id,Naja_sg_1,Em_sg_1,Em_sg_2,Pg_sg_1,Pg_sg2,Py_sg_1,Py_sg_2
107282159,Nana05063,9.3745,0.381211,0.382342,0.444237,0.16005,0.957928,2.63728
107282163,Nana06017,0.0271036,0.00496119,0.0039807,0.0517047,0,0,0
107282166,Nana06055,47.1857,6.6247,3.85529,0.511242,1.38143,4.33642,4.74144
107282176,Nana06125,0.135674,0.192874,0,0.20133,0.215231,0,0
107282177,Nana06126,0.235125,1.58237,0.272067,0.707997,0.205707,0,0
107282179,Nana06133,0,0,0.0487489,3.42004,3.23271,0,0
107282187,Nana06200,0.056052,0.358067,0.104475,0.0408434,0.0367876,4.09907,0.513878
107282204,Nana05994,8.88393,5.33196,4.01174,5.20125,5.68394,8.42942,13.8461
107282210,Nana06003,24.7267,239.457,283.018,75.8217,53.1663,77.2261,270.706
107282212,Nana06006,24.3544,7.19233,5.39736,8.17212,5.41823,7.62792,12.2969
107282217,Nana06012,9.40804,1.50872,0.733157,3.84832,3.82892,3.76139,8.68932
107282224,Nana06050,10.8079,1.77205,1.67523,2.18336,2.87699,6.83688,12.2463
107282232,Nana06085,16.5693,2.3417,1.15983,2.1681,2.29741,3.78978,5.73852
107282233,Nana06088,0,97.5245,66.51,19.0012,20.4171,13.5402,12.1869
107282234,Nana06093,14.933,28.9418,10.5666,32.6771,14.9136,12.1385,22.9332
107282242,Nana06117,35.3043,13.0737,7.07369,10.6903,5.90149,12.474,14.201
107282245,Nana06128,18.933,2.70593,1.62837,4.01111,5.11079,5.6185,18.8538
107282246,Nana06135,11.0158,2.04054,1.17834,4.87824,3.77715,5.19317,6.48146
107282259,Nana06198,42.7405,8.02806,5.28422,20.4563,28.3651,24.5531,74.482
107282266,Nana06013,4.47636,2.11644,1.34531,1.16215,1.7763,1.92738,8.65986
107282267,Nana06014,33.0856,296.11,343.386,18.7205,22.2266,24.8388,46.6221
107282273,Nana06025,57.856468,3.90739,3.39939,9.78609,8.3736,9.42051,11.0226
107282275,Nana06049,714.358,2503.18,1729.04,2408.97,2093.22,1929.39,5385.88
107282279,Nana06074,109.655,24.9789,16.0146,5.83846,5.74787,0,0
107282280,Nana06076,14.436,70.6621,48.9799,18.4983,22.2912,3.48996,11.476
107282286,Nana06087,43.9856,609.094,559.29,82.6735,51.4984,29.3493,40.4731
107282288,Nana17740,6.87974,0.561231,0.476809,12.6428,11.1141,4.40553,8.66002
107282290,Nana06108,0.182732,0,0,3.4119,2.70199,0,0
107282294,Nana06132,3.26995,0.0594602,0.190841,0.105106,0.189339,0,0.197245
107282298,Nana06178,9.89159,1.58811,1.14357,1.42157,2.11601,4.5563,5.92354
107282300,Nana06181,2.50697,0.257947,0.0591346,0.165168,0.371916,0.451185,0
107282303,Nana06199,22.5159,27.4669,14.7248,10.2703,10.6993,19.8821,36.4671
107282361,Nana17843,5.29914,0.568957,0.391311,0.526266,0.263337,0.414293,1.13109
107282371,Nana23347,0.0961726,0,0,0,0,0,0
107282374,Nana23341,0.204861,3.95215,16.1685,48.1754,6.26441,122.113,4.79033
107282376,Nana23323,3.203,1.63913,1.22758,0.314762,0.131192,3.77792,6.74698
107282377,Nana23316,1.43863,0.791995,0,0,0,0,0
107282379,Nana23297,18.98855626,0.606488,0.231444,1.08298,1.37204,3.38645,2.41977
107282380,Nana23292,0.844738,0.0380555,0.0916049,0.0769405,0,0,0
107282384,Nana26274,0.675236,3.34419,1.70763,2.86635,0.932285,9.05301,0.268168
107282403,Nana09398,54.5409,38.5458,25.6121,14.6808,20.7846,10.3265,43.0727
107282405,Nana23330,14.268,1.36295,1.20175,2.14385,0.95107,0.255831,1.4967
107282409,Nana23319,0,2.03881,1.0442,1.84171,0.342584,12.2384,0.255711
107282413,Nana09402,8.24077,13.9739,9.77375,3.2269,3.65556,5.77094,14.9956
107282432,Nana23345,0.253663,0,0.0794682,0,0,5.15308,0
107282439,Nana23296,15.4109,16.1858,9.83359,3.32638,3.62133,11.04,23.532
107282458,Nana23597,0,4.05714,0,0,0,0,0
107282464,Nana23533,54.71562,2.47361,1.70996,9.2688,6.85563,12.0201,38.5173
107282531,Nana23660,25.9464,30.8513,17.8984,35.9724,19.3934,34.268,53.5976
107282543,Nana23592,2.96361,1.33392,0.25484,2.1612,15.5727,0,0
107282554,Nana23536,0,1.37674,0.184159,0,0,0.331117,0
107282566,Nana23506,0.0880495,0.102833,0,0,0,0,0.542415
107282571,Nana09813,14.2612,1.85308,1.18188,2.50031,1.70031,7.00377,15.2696
107282577,Nana09805,2.30539,1.17799,0.675143,2.25773,1.79893,6.6923,8.54232
107282583,Nana23272,0,0.847649,0.0850207,0.375888,0.150472,0.213772,0
107282585,Nana23249,1.83489,0.0638107,0.153603,1.6303,4.20943,0,0
107282591,Nana23217,0.0436725,0,0,0,0,0,0
107282603,Nana23274,5.91853,10.0155,4.84403,4.32879,2.48325,25.0803,10.1427
107282604,Nana23266,12.4199,1.63839,0.788768,3.11699,0.328188,1.96338,3.06306
107282615,Nana23244,39.0378,13.9759,7.22084,21.8203,22.8015,62.315,190.437
107282625,Nana23221,0,9.2841,1.29562,0,0,0,0.404501
107282630,Nana23194,34.7652,24.3811,17.8129,34.947,25.5875,30.4155,163.066
107282631,Nana23193,0,131.149,152.798,12.5171,9.71911,14.578,55.4032
107282634,Nana23188,2.92165,0.162459,0.217258,0.739311,0.440783,0.195816,0
107282645,Nana23155,7.449,0.600433,0.20648,0.419228,0.188799,0,0
107282649,Nana23151,5.00378,0.876469,0.318139,1.5324,1.04707,0.709799,2.07629
107282662,Nana23240,1.11597,0.503398,0.31888,0.575476,0.310998,0.142354,0.499693
107282663,Nana23231,0,0,0,0.316759,0,0,0
107282664,Nana23229,0.450554,0.028323,0,0.388817,0.0700414,0.345722,0
107282665,Nana31643,5.514,15.0528,9.57595,3.68922,2.23655,5.21654,5.16468
107282670,Nana23212,0,0.0977884,0,0.474312,0,0.268678,0
107282672,Nana23206,0.0545291,0.0515522,0.0827295,0,0,0,0
107282673,Nana23192,15.6133,1.83042,1.40484,1.57811,0.00111321,2.38598,1.66736
107282677,Nana23152,7.83499,0.486428,0.413257,2.78896,1.30252,2.45235,7.00673
107282681,Nana23742,0.0390139,0,0,0,0,0,0
107282686,Nana23792,2.04683,0,0,0,0,0.845196,1.2138
107282707,Nana31653,9.30976,22.5397,20.7561,2.55114,3.09027,5.09281,5.1974
107282720,Nana23747,56.4351,356.522,265.787,58.7098,42.0073,39.1327,100.161
107282749,Nana21800,0,0,0,0.984864,0,0,0
107282756,Nana21773,10.2687,0.81255,0.313912,2.71083,1.64669,0,0
107282761,Nana21779,3.79008,8.82238,15.8851,1.4303,0.366947,0.243883,0.38048
107282767,Nana31654,0.677682,0.425924,0.224578,0.810816,0.601424,0.678051,2.04008
107282781,Nana21766,2.87768,0,0.18709,0,0,0,0
107282782,Nana21767,0.798749,0,0,80.9508,19.8131,245.073,505.767
107282784,Nana21772,4.29172,11.4904,6.88904,3.11346,1.57314,4.74266,8.94045
107282797,Nana35389,7.81386,1.65483,1.2078,1.32263,1.82665,5.57492,9.62925
107282798,Nana21861,10.1368,0,0,0,0,0,0
107282800,Nana21891,2.48481,0.633097,0.390752,1.645,0.58755,3.27195,6.28436
107282851,Nana06286,8.74251,12.3793,7.93617,1.41865,0.63889,0,0.711252
107282852,Nana06284,2.27358,4.40259,2.01863,13.3326,27.6102,5.24096,4.90583
107282857,Nana06272,0,0,0,0,0,0,0.269675
107282861,Nana06253,6.18392,0.556483,0.396903,0.235005,0,3.08265,2.16415
107282871,Nana06269,62.0143,15.0209,9.24678,36.9617,47.3213,33.4406,94.1892
107282876,Nana06319,142.866,342.959,290.459,149.147,63.3828,141.996,169.415
107282878,Nana06307,5.31754,72.6947,65.0813,9.77507,11.2056,107.968,8.89652
107282880,Nana29348,48.685,11.0368,5.93244,51.0436,35.3067,12.691,39.6509
107282882,Nana06296,19.1362,295.669,199.944,35.6993,24.5388,28.5909,50.18
107282890,Nana06252,9.62188,9.50225,7.02505,15.821,17.1,5.21391,13.4214
107282895,Nana21936,1.22227,10.854,25.0208,1.2785,0.150202,0.124125,0
107282896,Nana21930,0.28373,0.028086,0,0,0,0,0
107282907,Nana21907,4.61244,6.58697,5.79538,1.76541,1.12253,2.72789,5.76983
107282916,Nana32058,7.4595,1.96104,1.09095,2.48201,2.9374,0.962636,2.38501
107282918,Nana31957,0,0,1.00763,0,0,0,0
107282920,Nana31963,17.271,19.4372,15.9467,2.61496,4.92912,10.7316,37.0227
107282921,Nana31965,0.428852,1.00495,0.722932,1.10453,0.740246,3.3775,2.78959
107282927,Nana31992,15.1847,14.7084,10.6577,3.94477,5.15765,9.98261,39.7997
107282928,Nana31997,0.735139,0.608313,0.122097,0.964136,0.707109,1.37697,3.06119
107282930,Nana32057,0.652664,1.79144,1.72492,4.20426,1.70405,30.1371,1.22652
107282931,Nana31974,19.6412,2.05157,0.560389,9.33706,19.9568,19.4291,18.2717
107282950,Nana21706,0.439503,6.10602,7.26061,0.228673,0,0,0
107282953,Nana21740,0,0,0,0,0,0,0
107282962,Nana21712,166.322,31.9091,22.172,24.5169,31.4741,103.301,340.633
107282963,Nana21713,1050.26,442.891,471.646,87.7801,58.2573,97.5458,504.437
107282966,Nana21742,5.20536,21.1563,14.38,8.70365,5.16009,5.53938,15.1909
107282969,Nana19409,0.920132,0.323784,0.222685,0.854566,1.01576,0.233344,2.5859
107282974,Nana21748,0.00762335,0.0622024,0,0.0269646,0,0,0
107282984,Nana15816,0,0,0,0,0,0,0
107282986,Nana15777,6.30539,1.15329,0.775314,0.734898,1.27293,4.81107,8.44393
107282992,Nana15804,4.99332,83.9508,65.3615,28.7901,32.4714,12.6166,34.3224
107282993,Nana15803,7.92012,62.3354,41.1877,1.55511,2.67957,2.89762,3.21197
107282996,Nana17858,59.5761,66.4886,32.205,37.5579,74.2621,38.3426,92.0744
107282999,Nana15793,31.7096,130.256,1391.42,549.398,231.951,106.004,61.743
107283006,Nana15785,5.18071,0.728031,0.326438,0.511633,0.806448,1.19547,0
107283007,Nana15781,8.27466,2.8192,2.19353,4.97217,3.22087,3.29075,6.25691
107283009,Nana15778,2.15179,2.81457,1.8067,4.19876,4.56219,2.82844,17.8202
107283011,Nana15828,2.23523,2.799,1.123,0.601542,0.120402,0.150537,0.528416
107283012,Nana15823,1.02488,4.37423,1.87295,0.353934,0.850101,0.142145,0.498958
107283013,Nana15819,0,46.5336,55.8311,3.15123,3.67746,4.80382,5.74712
107283014,Nana15784,0,0.274438,0,0,0.22145,3.5672,0
107283018,Nana14536,0.992122,0.284286,0.171079,0.669148,0.964321,0,0.342572
107283019,Nana14530,0,0.0643997,0,0,0,0,0
107283021,Nana14515,0,0,0,0,0.616117,0,0
107283033,Nana14538,32.1582,4.14799,2.17356,6.92065,6.23342,3.14214,10.1104
107283040,Nana14526,5.98761,0.0541085,0.0144717,0.0914876,0.192353,0,0
107283041,Nana14524,41.6356,90.7481,71.0839,13.1923,12.4764,24.4703,64.4219
107283044,Nana14519,30.5842,28.4236,26.4833,32.3674,53.035,36.961,88.6868
107283050,Nana14511,23.1395,43.5075,34.2734,19.0932,25.6513,10.1096,40.9465
107283056,Nana14863,0,0.968755,0.450024,0.28939,0.104261,0,0
107283064,Nana02813,10.2019,6.61417,5.60189,9.54881,8.98801,4.28809,8.91976
107283068,Nana14516,10.2618,11.2611,10.9185,6.88916,5.19883,7.62346,22.5347
