Orthogroup	X_tropicalis.pep	H_sapiens.pep
OG0000002	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1	ENSG00000277856.1, ENSG00000277836.1, ENSG00000270472.2, ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1, ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1, ENSG00000282150.1, ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1, ENSG00000281962.1, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1, ENSG00000275316.3, ENSG00000211965.4, ENSG00000273539.3, ENSG00000211976.2, ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1, ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2
OG0000003	ENSXETG00000004936.1, ENSXETG00000012624.1, ENSXETG00000012676.1, ENSXETG00000012599.1, ENSXETG00000012578.1, ENSXETG00000012703.1, ENSXETG00000012605.1, ENSXETG00000012603.1, ENSXETG00000012697.1, ENSXETG00000012745.1, ENSXETG00000012590.1, ENSXETG00000012687.1	ENSG00000211626.2, ENSG00000211611.2, ENSG00000282210.1, ENSG00000225523.2
OG0000003	ENSXETG00000012731.1	ENSG00000211598.2
OG0000004	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2
OG0000004	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2, ENSG00000211642.3, ENSG00000211644.3, ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2, ENSG00000211640.4, ENSG00000211658.2, ENSG00000211661.2, ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3, ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2, ENSG00000211673.2, ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3
OG0000004	ENSXETG00000008294.1, ENSXETG00000008335.1, ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1	ENSG00000211643.2, ENSG00000211641.3, ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1, ENSG00000169575.5
OG0000006	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1	ENSG00000268163.1, ENSG00000268107.6, ENSG00000171574.18
OG0000006	ENSXETG00000006700.1	ENSG00000286261.1
OG0000006	ENSXETG00000009141.1	ENSG00000157429.16, ENSG00000261611.6
OG0000008	ENSXETG00000015698.1, ENSXETG00000016218.1, ENSXETG00000016244.1, ENSXETG00000015715.1, ENSXETG00000016286.1, ENSXETG00000016187.1, ENSXETG00000016029.1, ENSXETG00000015725.1, ENSXETG00000004077.1, ENSXETG00000004085.1, ENSXETG00000004783.1, ENSXETG00000002937.1, ENSXETG00000009231.1, ENSXETG00000014480.1, ENSXETG00000000107.1, ENSXETG00000000090.1, ENSXETG00000000610.1, ENSXETG00000015778.1, ENSXETG00000014388.1, ENSXETG00000009239.1, ENSXETG00000002804.1, ENSXETG00000002898.1, ENSXETG00000004726.1	ENSG00000184270.5
OG0000008	ENSXETG00000017971.1	ENSG00000188486.3
OG0000008	ENSXETG00000004749.1	ENSG00000229674.2
OG0000008	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1	ENSG00000196747.4
OG0000009	ENSXETG00000002333.1	ENSG00000172464.3
OG0000009	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1	ENSG00000181785.2
OG0000010	ENSXETG00000020462.1	ENSG00000146047.6, ENSG00000203814.6, ENSG00000196890.4, ENSG00000285449.1
OG0000010	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1	ENSG00000180596.7, ENSG00000274290.2, ENSG00000278588.1, ENSG00000273802.2, ENSG00000233822.4, ENSG00000158373.8, ENSG00000277224.2, ENSG00000184678.10, ENSG00000274641.1, ENSG00000275713.2, ENSG00000274559.3, ENSG00000234289.6, ENSG00000197903.7, ENSG00000124635.8
OG0000014	ENSXETG00000001142.1	ENSG00000163041.12
OG0000014	ENSXETG00000005833.1, ENSXETG00000000591.1, ENSXETG00000016233.1	ENSG00000203811.1
OG0000014	ENSXETG00000020403.1, ENSXETG00000002851.1	ENSG00000273213.3, ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3, ENSG00000287080.1, ENSG00000273983.1, ENSG00000278828.1, ENSG00000275379.1, ENSG00000197409.7, ENSG00000275714.1, ENSG00000197153.4, ENSG00000277775.1
OG0000014	ENSXETG00000015922.1	ENSG00000183598.3
OG0000015	ENSXETG00000008260.1, ENSXETG00000008214.1	ENSG00000153029.14
OG0000018	ENSXETG00000004068.1	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1
OG0000018	ENSXETG00000014569.1	ENSG00000270276.2
OG0000018	ENSXETG00000016155.1	ENSG00000275663.1
OG0000018	ENSXETG00000014595.1	ENSG00000275126.1
OG0000018	ENSXETG00000009538.1	ENSG00000277157.1
OG0000020	ENSXETG00000003671.1, ENSXETG00000003669.1, ENSXETG00000015210.1, ENSXETG00000020653.1, ENSXETG00000017293.1, ENSXETG00000021231.1, ENSXETG00000020942.1	ENSG00000277574.2, ENSG00000211966.2, ENSG00000282401.1, ENSG00000282651.2
OG0000021	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4, ENSG00000006788.14
OG0000021	ENSXETG00000004084.1	ENSG00000109063.15
OG0000021	ENSXETG00000004298.1	ENSG00000078814.16
OG0000021	ENSXETG00000006074.1	ENSG00000144821.10
OG0000021	ENSXETG00000010941.1	ENSG00000092054.13, ENSG00000197616.12
OG0000023	ENSXETG00000015184.1	ENSG00000276240.2, ENSG00000221977.2, ENSG00000182652.3, ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2, ENSG00000182974.3, ENSG00000288469.1, ENSG00000288194.1, ENSG00000278776.1, ENSG00000274102.2, ENSG00000275249.1, ENSG00000176299.5, ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2, ENSG00000176294.6, ENSG00000184394.2
OG0000025	ENSXETG00000008190.1	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5, ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11
OG0000027	ENSXETG00000001944.1	ENSG00000167552.14
OG0000027	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1	ENSG00000123416.15
OG0000027	ENSXETG00000017890.1, ENSXETG00000020471.1	ENSG00000178462.12
OG0000027	ENSXETG00000012204.1, ENSXETG00000008972.1	ENSG00000183785.15
OG0000027	ENSXETG00000003471.1	ENSG00000127824.14
OG0000027	ENSXETG00000001989.1	ENSG00000167553.15
OG0000028	ENSXETG00000011785.1	ENSG00000276452.4, ENSG00000277751.4, ENSG00000275730.4, ENSG00000278555.4, ENSG00000278279.4, ENSG00000186818.12, ENSG00000276042.4, ENSG00000105609.17, ENSG00000278437.4, ENSG00000277414.4, ENSG00000273991.4, ENSG00000274311.4, ENSG00000275019.5, ENSG00000274587.5, ENSG00000277177.4, ENSG00000204577.11, ENSG00000277816.5, ENSG00000275841.4, ENSG00000276175.4, ENSG00000278046.4, ENSG00000273884.4, ENSG00000274935.5, ENSG00000277398.5, ENSG00000104974.12, ENSG00000275525.5, ENSG00000275290.4, ENSG00000239998.6, ENSG00000278634.4, ENSG00000274000.4, ENSG00000275463.4, ENSG00000131042.14, ENSG00000274513.4, ENSG00000276146.4, ENSG00000274669.5, ENSG00000277807.5, ENSG00000277134.5, ENSG00000104972.15, ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4, ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4, ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5
OG0000029	ENSXETG00000002038.1	ENSG00000170454.6, ENSG00000170465.10, ENSG00000205420.11, ENSG00000185479.6, ENSG00000186081.12
OG0000029	ENSXETG00000001917.1	ENSG00000172867.4, ENSG00000167768.4, ENSG00000185640.6, ENSG00000170477.13, ENSG00000170486.11, ENSG00000139648.7, ENSG00000186049.8, ENSG00000186442.7, ENSG00000185069.2
OG0000029	ENSXETG00000003326.1	ENSG00000170421.12
OG0000029	ENSXETG00000002021.1, ENSXETG00000002714.1	ENSG00000135480.16
OG0000032	ENSXETG00000001411.1	ENSG00000205327.3, ENSG00000179695.2, ENSG00000197706.3, ENSG00000188324.4, ENSG00000205328.2, ENSG00000185821.3, ENSG00000187857.4, ENSG00000205330.4, ENSG00000205329.2, ENSG00000179626.4, ENSG00000179615.2
OG0000033	ENSXETG00000015963.1	ENSG00000205495.1, ENSG00000176787.2, ENSG00000180974.4, ENSG00000183269.5, ENSG00000205409.3, ENSG00000181609.5, ENSG00000181616.9, ENSG00000255307.1, ENSG00000187747.2
OG0000034	ENSXETG00000003987.1	ENSG00000229684.10, ENSG00000232421.10, ENSG00000196230.13, ENSG00000235067.10, ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16
OG0000034	ENSXETG00000001110.1	ENSG00000188229.6
OG0000034	ENSXETG00000014970.1	ENSG00000137285.10, ENSG00000137267.6
OG0000034	ENSXETG00000012328.1	ENSG00000104833.12
OG0000034	ENSXETG00000013453.1	ENSG00000176014.13
OG0000034	ENSXETG00000006687.1	ENSG00000198211.8, ENSG00000258947.7
OG0000039	ENSXETG00000011586.1, ENSXETG00000011578.1	ENSG00000127362.2, ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1, ENSG00000273713.2, ENSG00000273086.1, ENSG00000121381.4, ENSG00000277316.2, ENSG00000121314.2, ENSG00000272712.1, ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3, ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2
