Orthogroup	C_familiaris.pep	N_naja.pep
OG0000000	ENSCAFG00000044075.1, ENSCAFG00000047911.1	Nana23384-RA
OG0000002	ENSCAFG00000045674.1	Nana24133-RA, Nana24135-RA
OG0000004	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1	Nana34665-RF
OG0000004	ENSCAFG00000013622.4, ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3	Nana35137-RB
OG0000006	ENSCAFG00000043244.1, ENSCAFG00000049832.1, ENSCAFG00000032123.2, ENSCAFG00000031471.2, ENSCAFG00000029454.2	Nana07874-RA
OG0000006	ENSCAFG00000041809.1, ENSCAFG00000031469.2	Nana07050-RA
OG0000006	ENSCAFG00000030256.2, ENSCAFG00000041414.1, ENSCAFG00000002441.4, ENSCAFG00000030461.2, ENSCAFG00000031000.3, ENSCAFG00000029114.3, ENSCAFG00000029432.2, ENSCAFG00000049733.1, ENSCAFG00000029984.2, ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1, ENSCAFG00000029179.2, ENSCAFG00000049102.1	Nana07308-RA
OG0000008	ENSCAFG00000012332.2, ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1	Nana29034-RA
OG0000008	ENSCAFG00000043458.1, ENSCAFG00000031860.1, ENSCAFG00000029759.1, ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1, ENSCAFG00000024329.2, ENSCAFG00000030507.1, ENSCAFG00000029078.1, ENSCAFG00000049775.1, ENSCAFG00000024315.2	Nana10428-RA
OG0000010	ENSCAFG00000049029.1, ENSCAFG00000010770.3, ENSCAFG00000044235.1	Nana24069-RA
OG0000014	ENSCAFG00000016119.5	Nana30712-RB, Nana09496-RA
OG0000014	ENSCAFG00000040996.1, ENSCAFG00000049134.1, ENSCAFG00000043815.1, ENSCAFG00000048797.1, ENSCAFG00000045512.1, ENSCAFG00000042995.1, ENSCAFG00000045750.1, ENSCAFG00000048378.1	Nana10429-RA
OG0000014	ENSCAFG00000024443.3	Nana24315-RA
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1	Nana10432-RA
OG0000021	ENSCAFG00000017575.4, ENSCAFG00000030337.3, ENSCAFG00000017522.4, ENSCAFG00000042770.1	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	ENSCAFG00000023094.3	Nana09413-RA, Nana09413-RB, Nana09413-RC
OG0000021	ENSCAFG00000007782.4	Nana13832-RA, Nana13832-RB
OG0000021	ENSCAFG00000010154.4	Nana24863-RA
OG0000021	ENSCAFG00000011619.5	Nana24248-RB
OG0000023	ENSCAFG00000011456.3, ENSCAFG00000029808.2, ENSCAFG00000029148.1, ENSCAFG00000031594.1, ENSCAFG00000030249.1, ENSCAFG00000031974.1, ENSCAFG00000031533.1, ENSCAFG00000041125.1, ENSCAFG00000030533.2, ENSCAFG00000045423.1	Nana23400-RA
OG0000026	ENSCAFG00000024617.2, ENSCAFG00000043743.1, ENSCAFG00000041019.1, ENSCAFG00000024614.3, ENSCAFG00000006106.4, ENSCAFG00000030815.2	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA
OG0000027	ENSCAFG00000008661.4	Nana03933-RA
OG0000027	ENSCAFG00000031767.2, ENSCAFG00000015086.4	Nana20181-RA
