Orthogroup	A_carolinensis.pep	X_tropicalis.pep
OG0000002	ENSACAG00000026766.2, ENSACAG00000023814.1, ENSACAG00000002849.3, ENSACAG00000026037.1, ENSACAG00000028352.1, ENSACAG00000002838.3, ENSACAG00000002383.2, ENSACAG00000002854.2, ENSACAG00000025794.1, ENSACAG00000002852.2, ENSACAG00000029654.1, ENSACAG00000029467.1, ENSACAG00000028297.1, ENSACAG00000021119.2, ENSACAG00000028659.1, ENSACAG00000026924.1, ENSACAG00000002831.3, ENSACAG00000028838.1, ENSACAG00000021136.2, ENSACAG00000021075.3, ENSACAG00000029517.1, ENSACAG00000002908.3, ENSACAG00000002907.2, ENSACAG00000002835.2	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1
OG0000003	ENSACAG00000028914.1, ENSACAG00000029605.1, ENSACAG00000002361.2, ENSACAG00000011105.3, ENSACAG00000029284.1, ENSACAG00000028797.1, ENSACAG00000028470.1, ENSACAG00000029588.1, ENSACAG00000002353.3	ENSXETG00000012682.1, ENSXETG00000012582.1, ENSXETG00000012658.1, ENSXETG00000012562.1, ENSXETG00000012761.1, ENSXETG00000012711.1, ENSXETG00000012610.1, ENSXETG00000012735.1, ENSXETG00000012785.1, ENSXETG00000008783.1, ENSXETG00000012616.1, ENSXETG00000012720.1, ENSXETG00000012773.1, ENSXETG00000012593.1, ENSXETG00000012629.1, ENSXETG00000008792.1, ENSXETG00000008825.1, ENSXETG00000009855.1, ENSXETG00000012634.1, ENSXETG00000008836.1, ENSXETG00000012752.1, ENSXETG00000001696.1, ENSXETG00000012765.1, ENSXETG00000012565.1, ENSXETG00000009874.1
OG0000004	ENSACAG00000026467.2	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1
OG0000004	ENSACAG00000002800.3, ENSACAG00000026036.1	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1
OG0000004	ENSACAG00000028714.1, ENSACAG00000029428.1	ENSXETG00000008294.1, ENSXETG00000008335.1
OG0000004	ENSACAG00000023703.2, ENSACAG00000025642.1, ENSACAG00000029178.1, ENSACAG00000022774.2	ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1
OG0000006	ENSACAG00000028936.1	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1, ENSXETG00000006700.1
OG0000007	ENSACAG00000006467.3, ENSACAG00000006477.2, ENSACAG00000007427.2, ENSACAG00000026396.1, ENSACAG00000025081.2, ENSACAG00000010943.2	ENSXETG00000017041.1
OG0000007	ENSACAG00000010874.3, ENSACAG00000005529.2, ENSACAG00000027413.2, ENSACAG00000005533.2, ENSACAG00000005531.3	ENSXETG00000009945.1, ENSXETG00000009973.1, ENSXETG00000009915.1, ENSXETG00000009813.1, ENSXETG00000009860.1, ENSXETG00000009792.1, ENSXETG00000009985.1, ENSXETG00000010034.1
OG0000007	ENSACAG00000022902.1, ENSACAG00000024824.2, ENSACAG00000017528.2, ENSACAG00000008049.2, ENSACAG00000010956.2, ENSACAG00000008025.2, ENSACAG00000017524.3, ENSACAG00000017523.2, ENSACAG00000007113.2, ENSACAG00000011059.2, ENSACAG00000023425.1, ENSACAG00000017518.2, ENSACAG00000009643.2, ENSACAG00000009658.2, ENSACAG00000009650.2, ENSACAG00000009664.3, ENSACAG00000029458.1, ENSACAG00000009676.2, ENSACAG00000017516.2, ENSACAG00000009673.2, ENSACAG00000002917.3, ENSACAG00000002942.2, ENSACAG00000010930.2, ENSACAG00000009626.2, ENSACAG00000017533.2, ENSACAG00000002902.3, ENSACAG00000011016.2, ENSACAG00000010990.2, ENSACAG00000007844.2	ENSXETG00000009627.1
