Orthogroup	N_naja.pep	M_musculus.pep
OG0000002	Nana24150-RA	ENSMUSG00000076661.2, ENSMUSG00000094134.2, ENSMUSG00000095571.2, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000095210.2, ENSMUSG00000095429.1, ENSMUSG00000103033.1, ENSMUSG00000076633.7, ENSMUSG00000094194.2, ENSMUSG00000076655.2, ENSMUSG00000096108.2, ENSMUSG00000094533.1, ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000087582.6, ENSMUSG00000096407.2, ENSMUSG00000076680.1, ENSMUSG00000094174.2, ENSMUSG00000076677.1, ENSMUSG00000076671.5, ENSMUSG00000076653.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076665.4
OG0000004	Nana34665-RF	ENSMUSG00000076934.2, ENSMUSG00000076940.3
OG0000006	Nana07874-RA	ENSMUSG00000055228.8, ENSMUSG00000054519.8, ENSMUSG00000063364.10, ENSMUSG00000074472.10, ENSMUSG00000052446.17, ENSMUSG00000092544.8, ENSMUSG00000043090.18, ENSMUSG00000091764.3, ENSMUSG00000092260.7
OG0000006	Nana07050-RA	ENSMUSG00000096718.2, ENSMUSG00000094622.2
OG0000006	Nana07308-RA	ENSMUSG00000056592.14, ENSMUSG00000002266.17, ENSMUSG00000044807.13, ENSMUSG00000020335.13, ENSMUSG00000020364.14, ENSMUSG00000031374.13, ENSMUSG00000072623.6, ENSMUSG00000033669.8, ENSMUSG00000116024.1
OG0000008	Nana24313-RA	ENSMUSG00000060081.1
OG0000008	Nana29034-RA	ENSMUSG00000049932.3
OG0000008	Nana10428-RA	ENSMUSG00000064220.6, ENSMUSG00000063954.7, ENSMUSG00000078851.4, ENSMUSG00000061991.2, ENSMUSG00000071478.6, ENSMUSG00000069309.2, ENSMUSG00000071516.2, ENSMUSG00000069270.6, ENSMUSG00000094248.1, ENSMUSG00000069272.6, ENSMUSG00000069301.5, ENSMUSG00000094777.2, ENSMUSG00000061615.2, ENSMUSG00000063021.3, ENSMUSG00000069302.5
OG0000009	Nana23397-RA	ENSMUSG00000090894.4, ENSMUSG00000090675.2, ENSMUSG00000070460.7, ENSMUSG00000070459.6, ENSMUSG00000116179.1
OG0000014	Nana09496-RA	ENSMUSG00000016559.14
OG0000014	Nana10429-RA	ENSMUSG00000101972.1, ENSMUSG00000101355.1, ENSMUSG00000099517.2, ENSMUSG00000069265.2
OG0000014	Nana30712-RA	ENSMUSG00000060743.12
OG0000015	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA	ENSMUSG00000026471.14
OG0000018	Nana10432-RA	ENSMUSG00000060678.5
OG0000021	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16
OG0000021	Nana09413-RA, Nana09413-RB, Nana09413-RC	ENSMUSG00000020908.14
OG0000021	Nana13832-RA, Nana13832-RB	ENSMUSG00000074652.3
OG0000021	Nana24863-RA	ENSMUSG00000092009.1
OG0000021	Nana24248-RB	ENSMUSG00000040752.16
OG0000023	Nana23400-RA	ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2
OG0000026	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA	ENSMUSG00000051663.4, ENSMUSG00000044022.5, ENSMUSG00000048347.5, ENSMUSG00000047033.2, ENSMUSG00000051599.4, ENSMUSG00000046191.7, ENSMUSG00000046387.5, ENSMUSG00000047910.6, ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3, ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3, ENSMUSG00000044043.4, ENSMUSG00000047307.2, ENSMUSG00000045498.1, ENSMUSG00000073591.4, ENSMUSG00000043313.6
OG0000027	Nana20181-RA	ENSMUSG00000067702.5, ENSMUSG00000067338.6
OG0000027	Nana03934-RB, Nana03934-RA	ENSMUSG00000023004.8
OG0000027	Nana27836-RA	ENSMUSG00000021216.7
OG0000027	Nana27543-RA	ENSMUSG00000030137.8
OG0000027	Nana03933-RB	ENSMUSG00000026202.13
OG0000027	Nana09911-RA	ENSMUSG00000043091.9
OG0000029	Nana10133-RA	ENSMUSG00000046834.7
OG0000029	Nana10134-RA	ENSMUSG00000061397.8
OG0000029	Nana10130-RA, Nana10131-RA	ENSMUSG00000056605.7, ENSMUSG00000051879.4, ENSMUSG00000063661.6, ENSMUSG00000075402.1
OG0000029	Nana10387-RA	ENSMUSG00000049382.10
OG0000029	Nana10116-RA	ENSMUSG00000023039.17
OG0000031	Nana30920-RB	ENSMUSG00000049685.8
