Orthogroup	H_sapiens.pep	A_carolinensis.pep
OG0000002	ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1, ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1, ENSG00000282150.1, ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1, ENSG00000281962.1, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1, ENSG00000275316.3, ENSG00000211965.4, ENSG00000273539.3, ENSG00000211976.2, ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1, ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2	ENSACAG00000021075.3, ENSACAG00000029517.1, ENSACAG00000002908.3, ENSACAG00000002907.2, ENSACAG00000002835.2
OG0000004	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2	ENSACAG00000026467.2
OG0000004	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2, ENSG00000211642.3, ENSG00000211644.3, ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2, ENSG00000211640.4	ENSACAG00000002800.3
OG0000004	ENSG00000211658.2, ENSG00000211661.2, ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3, ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2, ENSG00000211673.2, ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3	ENSACAG00000026036.1
OG0000004	ENSG00000211643.2, ENSG00000211641.3, ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1, ENSG00000169575.5	ENSACAG00000028714.1, ENSACAG00000029428.1, ENSACAG00000023703.2, ENSACAG00000025642.1, ENSACAG00000029178.1, ENSACAG00000022774.2
OG0000006	ENSG00000268163.1, ENSG00000268107.6, ENSG00000171574.18, ENSG00000286261.1, ENSG00000196418.12, ENSG00000257355.1, ENSG00000213297.8, ENSG00000269755.1, ENSG00000196826.7, ENSG00000242852.7, ENSG00000175691.9	ENSACAG00000028936.1
OG0000006	ENSG00000189420.8, ENSG00000283930.1, ENSG00000175395.16	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1
OG0000008	ENSG00000246705.4, ENSG00000184260.5	ENSACAG00000015302.1
OG0000009	ENSG00000172320.3	ENSACAG00000022740.1, ENSACAG00000023190.1
OG0000009	ENSG00000172459.4	ENSACAG00000007600.2
OG0000009	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6	ENSACAG00000010890.2
