Orthogroup	P_troglodytes.pep	N_naja.pep
OG0000002	ENSPTRG00000052778.1	Nana39702-RA, Nana24133-RA, Nana24135-RA, Nana24143-RA, Nana24132-RA, Nana24136-RD, Nana24137-RA, Nana24145-RA, Nana24144-RA, Nana38721-RA, Nana38722-RA, Nana38264-RA, Nana39072-RA, Nana24128-RA, Nana24149-RA
OG0000002	ENSPTRG00000050534.1, ENSPTRG00000050506.1, ENSPTRG00000045804.1, ENSPTRG00000051498.1, ENSPTRG00000045574.1, ENSPTRG00000042773.1, ENSPTRG00000051095.1, ENSPTRG00000042561.2, ENSPTRG00000049279.1, ENSPTRG00000046634.1, ENSPTRG00000046669.1, ENSPTRG00000051561.1, ENSPTRG00000051773.1, ENSPTRG00000050166.1, ENSPTRG00000044091.1, ENSPTRG00000046896.1	Nana24150-RA
OG0000004	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1	Nana34665-RF
OG0000004	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1, ENSPTRG00000051891.1, ENSPTRG00000051783.1, ENSPTRG00000052542.1, ENSPTRG00000050807.1, ENSPTRG00000043596.1, ENSPTRG00000046832.1, ENSPTRG00000049990.1	Nana35137-RB
OG0000004	ENSPTRG00000050549.1, ENSPTRG00000046529.1	Nana35137-RC, Nana39422-RA
OG0000006	ENSPTRG00000023216.4, ENSPTRG00000052677.1, ENSPTRG00000048805.1, ENSPTRG00000010522.6, ENSPTRG00000050902.1	Nana07874-RA
OG0000006	ENSPTRG00000010249.6	Nana07050-RA
OG0000006	ENSPTRG00000010599.6, ENSPTRG00000050695.1, ENSPTRG00000030267.3, ENSPTRG00000045846.1, ENSPTRG00000017606.5, ENSPTRG00000017609.5, ENSPTRG00000008322.3, ENSPTRG00000047228.1, ENSPTRG00000047693.1, ENSPTRG00000042406.2, ENSPTRG00000020717.6	Nana07308-RA
OG0000008	ENSPTRG00000045799.1, ENSPTRG00000004369.4	Nana29034-RA
OG0000008	ENSPTRG00000046303.1, ENSPTRG00000043682.1, ENSPTRG00000047640.1, ENSPTRG00000049137.1, ENSPTRG00000045582.1, ENSPTRG00000043908.1, ENSPTRG00000029801.2, ENSPTRG00000042706.1, ENSPTRG00000044259.1, ENSPTRG00000044636.1, ENSPTRG00000045889.1, ENSPTRG00000044548.1, ENSPTRG00000017789.3	Nana10428-RA
OG0000009	ENSPTRG00000029785.4	Nana23397-RA
OG0000010	ENSPTRG00000047237.1, ENSPTRG00000046524.1	Nana24069-RA
OG0000010	ENSPTRG00000051195.1	Nana24046-RA
OG0000014	ENSPTRG00000043737.1	Nana30712-RB, Nana09496-RA
OG0000014	ENSPTRG00000044724.1	Nana27150-RA
OG0000014	ENSPTRG00000046297.1, ENSPTRG00000049252.1, ENSPTRG00000047137.1, ENSPTRG00000052362.1, ENSPTRG00000048013.1, ENSPTRG00000043155.1, ENSPTRG00000017824.3, ENSPTRG00000042751.1, ENSPTRG00000044316.1, ENSPTRG00000045132.1, ENSPTRG00000052301.1	Nana10429-RA
OG0000014	ENSPTRG00000002045.6	Nana09496-RB
OG0000015	ENSPTRG00000048595.1, ENSPTRG00000001746.7	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA
OG0000018	ENSPTRG00000001238.5	Nana10432-RA
OG0000018	ENSPTRG00000046932.1	Nana38984-RA
OG0000021	ENSPTRG00000008769.4, ENSPTRG00000008770.5, ENSPTRG00000008771.7, ENSPTRG00000008768.6	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	ENSPTRG00000008773.5	Nana09413-RA, Nana09413-RB, Nana09413-RC
OG0000021	ENSPTRG00000013428.6	Nana13832-RA, Nana13832-RB
OG0000021	ENSPTRG00000015191.4	Nana24863-RA
OG0000021	ENSPTRG00000006175.6	Nana24248-RB
OG0000023	ENSPTRG00000004413.3, ENSPTRG00000003695.4, ENSPTRG00000047267.1, ENSPTRG00000043210.1, ENSPTRG00000043163.1, ENSPTRG00000003692.4, ENSPTRG00000030829.4	Nana23400-RA
OG0000026	ENSPTRG00000017330.3, ENSPTRG00000045415.1, ENSPTRG00000032485.2, ENSPTRG00000028558.3, ENSPTRG00000017341.4, ENSPTRG00000017338.5, ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1, ENSPTRG00000017334.5, ENSPTRG00000032486.2, ENSPTRG00000017335.4, ENSPTRG00000017343.3, ENSPTRG00000050672.1	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA
OG0000027	ENSPTRG00000004900.5, ENSPTRG00000012467.6, ENSPTRG00000043972.1, ENSPTRG00000047687.1, ENSPTRG00000049222.1	Nana20181-RA
OG0000027	ENSPTRG00000045808.1	Nana03934-RB, Nana03934-RA
OG0000027	ENSPTRG00000002253.4	Nana27836-RA
OG0000027	ENSPTRG00000043848.1, ENSPTRG00000043999.1	Nana27543-RA
OG0000027	ENSPTRG00000012949.6	Nana03933-RB
OG0000027	ENSPTRG00000048544.1	Nana09911-RA
OG0000029	ENSPTRG00000004987.6, ENSPTRG00000046630.1	Nana10133-RA
OG0000029	ENSPTRG00000004993.4	Nana10134-RA
OG0000029	ENSPTRG00000004984.3, ENSPTRG00000004982.5, ENSPTRG00000004985.4, ENSPTRG00000004991.5, ENSPTRG00000004990.3	Nana10130-RA, Nana10131-RA
OG0000029	ENSPTRG00000046526.1, ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1, ENSPTRG00000044210.1	Nana10387-RA
OG0000029	ENSPTRG00000004969.4	Nana10116-RA
OG0000031	ENSPTRG00000011016.6	Nana30920-RB
OG0000031	ENSPTRG00000011014.4, ENSPTRG00000011015.7, ENSPTRG00000033800.3	Nana30920-RC
OG0000033	ENSPTRG00000028733.5, ENSPTRG00000003234.2, ENSPTRG00000003268.5, ENSPTRG00000003267.4, ENSPTRG00000028728.3	Nana25617-RA
OG0000033	ENSPTRG00000003252.3, ENSPTRG00000003255.7	Nana25601-RA
OG0000034	ENSPTRG00000044623.1	Nana10821-RA
OG0000034	ENSPTRG00000023373.3	Nana36726-RA
OG0000034	ENSPTRG00000009878.6	Nana16081-RA
OG0000034	ENSPTRG00000013680.2	Nana13527-RA
OG0000039	ENSPTRG00000050321.1, ENSPTRG00000019779.6, ENSPTRG00000004682.4, ENSPTRG00000004684.4, ENSPTRG00000004683.4, ENSPTRG00000047242.1, ENSPTRG00000045940.1, ENSPTRG00000046845.1, ENSPTRG00000032530.3, ENSPTRG00000046810.1, ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1, ENSPTRG00000049303.1, ENSPTRG00000004685.6	Nana25427-RA
OG0000045	ENSPTRG00000011172.2	Nana30791-RA
OG0000047	ENSPTRG00000034329.3, ENSPTRG00000003710.6	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE
OG0000047	ENSPTRG00000003719.4, ENSPTRG00000003718.3, ENSPTRG00000003716.5	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB
OG0000051	ENSPTRG00000012591.6	Nana03481-RA, Nana03471-RA
OG0000051	ENSPTRG00000012597.7	Nana03469-RA
OG0000051	ENSPTRG00000009532.6	Nana22919-RA
OG0000051	ENSPTRG00000014762.7	Nana21196-RA
OG0000051	ENSPTRG00000004959.7	Nana09998-RA
OG0000053	ENSPTRG00000047486.1	Nana07286-RA, Nana07283-RA, Nana07283-RB, Nana05961-RA, Nana37792-RA, Nana23513-RA, Nana07296-RA, Nana07339-RA, Nana07341-RA, Nana07333-RA, Nana07349-RA, Nana07343-RA, Nana07342-RA, Nana07259-RA, Nana07292-RA, Nana07282-RA, Nana07375-RA, Nana07255-RA
OG0000057	ENSPTRG00000048232.1	Nana20799-RA
OG0000059	ENSPTRG00000048969.1	Nana09728-RA
OG0000059	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6	Nana34355-RA
OG0000059	ENSPTRG00000006890.4	Nana05169-RA
OG0000059	ENSPTRG00000048353.1, ENSPTRG00000047394.1	Nana01616-RA
OG0000061	ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA
OG0000062	ENSPTRG00000001180.6	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA
