Orthogroup	X_tropicalis.pep	G_gallus.pep
OG0000002	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1	ENSGALG00000047440.1, ENSGALG00000051617.1, ENSGALG00000048623.1, ENSGALG00000051856.1, ENSGALG00000051327.1, ENSGALG00000049025.1, ENSGALG00000046947.1, ENSGALG00000048162.1, ENSGALG00000048259.1, ENSGALG00000054189.1, ENSGALG00000052804.1, ENSGALG00000048761.1, ENSGALG00000050278.1, ENSGALG00000051234.1, ENSGALG00000051509.1, ENSGALG00000049440.1, ENSGALG00000052651.1, ENSGALG00000046891.1, ENSGALG00000049650.1, ENSGALG00000053620.1, ENSGALG00000049984.1, ENSGALG00000052542.1, ENSGALG00000049115.1, ENSGALG00000051485.1, ENSGALG00000053832.1, ENSGALG00000054121.1, ENSGALG00000050397.1, ENSGALG00000052142.1, ENSGALG00000050095.1, ENSGALG00000053273.1, ENSGALG00000049747.1, ENSGALG00000048302.1, ENSGALG00000054060.1, ENSGALG00000047114.1, ENSGALG00000047960.1, ENSGALG00000049267.1, ENSGALG00000051440.1, ENSGALG00000051883.1, ENSGALG00000051177.1, ENSGALG00000055104.1, ENSGALG00000049061.1, ENSGALG00000047478.1, ENSGALG00000047299.1, ENSGALG00000047679.1, ENSGALG00000054433.1, ENSGALG00000052683.1, ENSGALG00000053392.1, ENSGALG00000054661.1, ENSGALG00000049726.1, ENSGALG00000048531.1, ENSGALG00000047227.1, ENSGALG00000053477.1, ENSGALG00000049676.1, ENSGALG00000054184.1, ENSGALG00000050813.1, ENSGALG00000049118.1, ENSGALG00000049938.1, ENSGALG00000052260.1, ENSGALG00000054437.1, ENSGALG00000047003.1, ENSGALG00000050958.1, ENSGALG00000048666.1, ENSGALG00000053328.1, ENSGALG00000051370.1, ENSGALG00000049823.1, ENSGALG00000047866.1, ENSGALG00000038257.2, ENSGALG00000054075.1, ENSGALG00000048983.1, ENSGALG00000054602.1, ENSGALG00000052269.1, ENSGALG00000054236.1
OG0000004	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1
OG0000004	ENSXETG00000008294.1, ENSXETG00000008335.1, ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1	ENSGALG00000047343.1
OG0000008	ENSXETG00000001158.1	ENSGALG00000026449.3
OG0000008	ENSXETG00000017971.1, ENSXETG00000001657.1, ENSXETG00000001664.1, ENSXETG00000004749.1	ENSGALG00000045705.2
OG0000009	ENSXETG00000008905.1, ENSXETG00000008965.1, ENSXETG00000002126.1	ENSGALG00000043408.2
OG0000009	ENSXETG00000009796.1, ENSXETG00000002349.1, ENSXETG00000002345.1, ENSXETG00000002352.1, ENSXETG00000010384.1, ENSXETG00000010390.1, ENSXETG00000015571.1, ENSXETG00000016181.1, ENSXETG00000016172.1, ENSXETG00000015160.1, ENSXETG00000008980.1, ENSXETG00000008996.1, ENSXETG00000009017.1	ENSGALG00000031739.2
OG0000009	ENSXETG00000002333.1	ENSGALG00000041249.2, ENSGALG00000038269.2
OG0000009	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1	ENSGALG00000043910.2
OG0000010	ENSXETG00000015635.1, ENSXETG00000009477.1, ENSXETG00000004788.1, ENSXETG00000009528.1, ENSXETG00000009291.1, ENSXETG00000014608.1, ENSXETG00000020462.1	ENSGALG00000036908.2
OG0000010	ENSXETG00000016136.1	ENSGALG00000031804.2
OG0000010	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1	ENSGALG00000050350.1, ENSGALG00000051251.1, ENSGALG00000027571.3, ENSGALG00000049751.1, ENSGALG00000050309.1
OG0000014	ENSXETG00000001142.1	ENSGALG00000054599.1, ENSGALG00000020078.6
OG0000014	ENSXETG00000014395.1, ENSXETG00000009426.1	ENSGALG00000038969.2
OG0000014	ENSXETG00000020403.1, ENSXETG00000002851.1, ENSXETG00000009531.1, ENSXETG00000009513.1, ENSXETG00000000648.1, ENSXETG00000009296.1, ENSXETG00000005846.1, ENSXETG00000002916.1, ENSXETG00000000116.1	ENSGALG00000048231.1
OG0000018	ENSXETG00000009276.1, ENSXETG00000004774.1, ENSXETG00000002809.1, ENSXETG00000004068.1, ENSXETG00000014569.1, ENSXETG00000009489.1, ENSXETG00000002840.1, ENSXETG00000000626.1	ENSGALG00000050250.1
OG0000018	ENSXETG00000002924.1, ENSXETG00000014622.1, ENSXETG00000000638.1, ENSXETG00000015951.1, ENSXETG00000000659.1, ENSXETG00000016155.1	ENSGALG00000048097.1
OG0000018	ENSXETG00000005825.1	ENSGALG00000053680.1
OG0000018	ENSXETG00000014595.1	ENSGALG00000047126.1
OG0000018	ENSXETG00000000117.1	ENSGALG00000037322.2
OG0000021	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4, ENSGALG00000029660.2
OG0000021	ENSXETG00000004298.1	ENSGALG00000030985.2
OG0000021	ENSXETG00000006074.1	ENSGALG00000015358.7
OG0000021	ENSXETG00000010941.1	ENSGALG00000035594.2, ENSGALG00000035960.2
OG0000023	ENSXETG00000015184.1	ENSGALG00000054820.1
OG0000025	ENSXETG00000008190.1	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7
OG0000027	ENSXETG00000012120.1	ENSGALG00000006241.5
OG0000027	ENSXETG00000001944.1	ENSGALG00000037953.3
OG0000027	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1	ENSGALG00000052192.1
OG0000027	ENSXETG00000017890.1, ENSXETG00000020471.1	ENSGALG00000008444.6
OG0000027	ENSXETG00000012204.1, ENSXETG00000008972.1	ENSGALG00000013045.6, ENSGALG00000013056.6
OG0000027	ENSXETG00000004361.1	ENSGALG00000040586.3
OG0000027	ENSXETG00000003471.1	ENSGALG00000000433.7, ENSGALG00000011324.6
OG0000027	ENSXETG00000001989.1	ENSGALG00000040260.2
OG0000029	ENSXETG00000002038.1	ENSGALG00000032672.3
OG0000029	ENSXETG00000002021.1, ENSXETG00000002714.1	ENSGALG00000034868.3
OG0000032	ENSXETG00000001411.1	ENSGALG00000037290.2
OG0000033	ENSXETG00000015963.1	ENSGALG00000017341.7, ENSGALG00000017342.5
OG0000034	ENSXETG00000003987.1	ENSGALG00000041471.2
OG0000034	ENSXETG00000001110.1	ENSGALG00000008586.5
OG0000034	ENSXETG00000014970.1	ENSGALG00000012821.7, ENSGALG00000054420.1
OG0000034	ENSXETG00000013453.1	ENSGALG00000031275.3
OG0000034	ENSXETG00000006687.1	ENSGALG00000000059.6
OG0000042	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1	ENSGALG00000028565.3, ENSGALG00000052936.1
