Orthogroup	N_naja.pep	C_familiaris.pep
OG0000000	Nana23384-RA	ENSCAFG00000044075.1, ENSCAFG00000047911.1
OG0000002	Nana24133-RA, Nana24135-RA	ENSCAFG00000045674.1
OG0000004	Nana34665-RF	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1
OG0000004	Nana35137-RB	ENSCAFG00000013622.4, ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3
OG0000006	Nana07874-RA	ENSCAFG00000043244.1, ENSCAFG00000049832.1, ENSCAFG00000032123.2, ENSCAFG00000031471.2, ENSCAFG00000029454.2
OG0000006	Nana07050-RA	ENSCAFG00000041809.1, ENSCAFG00000031469.2
OG0000006	Nana07308-RA	ENSCAFG00000030256.2, ENSCAFG00000041414.1, ENSCAFG00000002441.4, ENSCAFG00000030461.2, ENSCAFG00000031000.3, ENSCAFG00000029114.3, ENSCAFG00000029432.2, ENSCAFG00000049733.1, ENSCAFG00000029984.2, ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1, ENSCAFG00000029179.2, ENSCAFG00000049102.1
OG0000008	Nana29034-RA	ENSCAFG00000012332.2, ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1
OG0000008	Nana10428-RA	ENSCAFG00000043458.1, ENSCAFG00000031860.1, ENSCAFG00000029759.1, ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1, ENSCAFG00000024329.2, ENSCAFG00000030507.1, ENSCAFG00000029078.1, ENSCAFG00000049775.1, ENSCAFG00000024315.2
OG0000010	Nana24069-RA	ENSCAFG00000049029.1, ENSCAFG00000010770.3, ENSCAFG00000044235.1
OG0000014	Nana30712-RB, Nana09496-RA	ENSCAFG00000016119.5
OG0000014	Nana10429-RA	ENSCAFG00000040996.1, ENSCAFG00000049134.1, ENSCAFG00000043815.1, ENSCAFG00000048797.1, ENSCAFG00000045512.1, ENSCAFG00000042995.1, ENSCAFG00000045750.1, ENSCAFG00000048378.1
OG0000014	Nana24315-RA	ENSCAFG00000024443.3
OG0000018	Nana10432-RA	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1
OG0000021	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB	ENSCAFG00000017575.4, ENSCAFG00000030337.3, ENSCAFG00000017522.4, ENSCAFG00000042770.1
OG0000021	Nana09413-RA, Nana09413-RB, Nana09413-RC	ENSCAFG00000023094.3
OG0000021	Nana13832-RA, Nana13832-RB	ENSCAFG00000007782.4
OG0000021	Nana24863-RA	ENSCAFG00000010154.4
OG0000021	Nana24248-RB	ENSCAFG00000011619.5
OG0000023	Nana23400-RA	ENSCAFG00000011456.3, ENSCAFG00000029808.2, ENSCAFG00000029148.1, ENSCAFG00000031594.1, ENSCAFG00000030249.1, ENSCAFG00000031974.1, ENSCAFG00000031533.1, ENSCAFG00000041125.1, ENSCAFG00000030533.2, ENSCAFG00000045423.1
OG0000026	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA	ENSCAFG00000024617.2, ENSCAFG00000043743.1, ENSCAFG00000041019.1, ENSCAFG00000024614.3, ENSCAFG00000006106.4, ENSCAFG00000030815.2
OG0000027	Nana03933-RA	ENSCAFG00000008661.4
OG0000027	Nana20181-RA	ENSCAFG00000031767.2, ENSCAFG00000015086.4
OG0000027	Nana03934-RB, Nana03934-RA	ENSCAFG00000008640.4, ENSCAFG00000015217.3
OG0000027	Nana27836-RA	ENSCAFG00000005248.4
OG0000027	Nana27543-RA	ENSCAFG00000010412.4
OG0000027	Nana03933-RB	ENSCAFG00000015209.4
OG0000029	Nana10387-RA	ENSCAFG00000005908.4
OG0000031	Nana30920-RB	ENSCAFG00000005065.4
OG0000031	Nana30920-RC	ENSCAFG00000032339.2, ENSCAFG00000031823.2
OG0000033	Nana25612-RA	ENSCAFG00000032056.2
OG0000033	Nana25617-RA	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1, ENSCAFG00000031681.2, ENSCAFG00000029703.1, ENSCAFG00000029246.1, ENSCAFG00000047997.1, ENSCAFG00000042183.1, ENSCAFG00000006328.3, ENSCAFG00000024431.2, ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2
OG0000033	Nana25601-RA	ENSCAFG00000031226.2, ENSCAFG00000029020.2, ENSCAFG00000006016.4, ENSCAFG00000029611.1, ENSCAFG00000024586.1, ENSCAFG00000047088.1, ENSCAFG00000049488.1, ENSCAFG00000041929.1, ENSCAFG00000044138.1, ENSCAFG00000041265.1, ENSCAFG00000006366.3, ENSCAFG00000006226.4
OG0000034	Nana36726-RA	ENSCAFG00000019460.4
OG0000034	Nana15763-RA	ENSCAFG00000042390.1
OG0000039	Nana25427-RA	ENSCAFG00000024302.1, ENSCAFG00000024740.3, ENSCAFG00000013384.1, ENSCAFG00000013378.2, ENSCAFG00000048463.1, ENSCAFG00000024377.1, ENSCAFG00000013381.2
OG0000042	Nana15423-RA, Nana15427-RA, Nana15429-RA	ENSCAFG00000049483.1, ENSCAFG00000046241.1
OG0000045	Nana30791-RA	ENSCAFG00000024541.1
OG0000047	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE	ENSCAFG00000010365.4, ENSCAFG00000046787.1, ENSCAFG00000030195.2, ENSCAFG00000016458.4
OG0000051	Nana03481-RA, Nana03471-RA	ENSCAFG00000011130.5
OG0000051	Nana03469-RA	ENSCAFG00000011438.5
OG0000051	Nana22919-RA	ENSCAFG00000012146.5
OG0000051	Nana21196-RA	ENSCAFG00000005051.5
OG0000051	Nana09998-RA	ENSCAFG00000007600.4
OG0000053	Nana07286-RA, Nana07283-RA, Nana07283-RB, Nana05961-RA, Nana37792-RA, Nana23513-RA, Nana07296-RA, Nana07339-RA, Nana07341-RA, Nana07333-RA, Nana07349-RA, Nana07343-RA, Nana07342-RA, Nana07259-RA, Nana07292-RA, Nana07282-RA, Nana07375-RA, Nana07255-RA	ENSCAFG00000048119.1
OG0000056	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA	ENSCAFG00000023033.4, ENSCAFG00000045181.1
OG0000059	Nana09728-RA	ENSCAFG00000005734.5
OG0000059	Nana05169-RA, Nana28043-RB, Nana28043-RA, Nana01616-RA, Nana19300-RA	ENSCAFG00000010442.5
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2
