Orthogroup	H_sapiens.pep	X_tropicalis.pep
OG0000002	ENSG00000277856.1, ENSG00000277836.1, ENSG00000270472.2, ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1, ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1, ENSG00000282150.1, ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1, ENSG00000281962.1, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1, ENSG00000275316.3, ENSG00000211965.4, ENSG00000273539.3, ENSG00000211976.2, ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1, ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1
OG0000003	ENSG00000211626.2, ENSG00000211611.2, ENSG00000282210.1, ENSG00000225523.2	ENSXETG00000004936.1, ENSXETG00000012624.1, ENSXETG00000012676.1, ENSXETG00000012599.1, ENSXETG00000012578.1, ENSXETG00000012703.1, ENSXETG00000012605.1, ENSXETG00000012603.1, ENSXETG00000012697.1, ENSXETG00000012745.1, ENSXETG00000012590.1, ENSXETG00000012687.1
OG0000003	ENSG00000211598.2	ENSXETG00000012731.1
OG0000004	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1
OG0000004	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2, ENSG00000211642.3, ENSG00000211644.3, ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2, ENSG00000211640.4, ENSG00000211658.2, ENSG00000211661.2, ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3, ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2, ENSG00000211673.2, ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1
OG0000004	ENSG00000211643.2, ENSG00000211641.3, ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1, ENSG00000169575.5	ENSXETG00000008294.1, ENSXETG00000008335.1, ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1
OG0000006	ENSG00000268163.1, ENSG00000268107.6, ENSG00000171574.18	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1
OG0000006	ENSG00000286261.1	ENSXETG00000006700.1
OG0000006	ENSG00000157429.16, ENSG00000261611.6	ENSXETG00000009141.1
OG0000008	ENSG00000184270.5	ENSXETG00000015698.1, ENSXETG00000016218.1, ENSXETG00000016244.1, ENSXETG00000015715.1, ENSXETG00000016286.1, ENSXETG00000016187.1, ENSXETG00000016029.1, ENSXETG00000015725.1, ENSXETG00000004077.1, ENSXETG00000004085.1, ENSXETG00000004783.1, ENSXETG00000002937.1, ENSXETG00000009231.1, ENSXETG00000014480.1, ENSXETG00000000107.1, ENSXETG00000000090.1, ENSXETG00000000610.1, ENSXETG00000015778.1, ENSXETG00000014388.1, ENSXETG00000009239.1, ENSXETG00000002804.1, ENSXETG00000002898.1, ENSXETG00000004726.1
