"","X","gene","description","class","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Pm_1_heart","Pm_10_heart","Pm_3_heart","Pm_5_heart","Pm_8_heart","Pm_1_kidney","Pm_10_kidney","Pm_3_kidney","Pm_5_kidney","Pm_8_kidney","Pm_1_liver","Pm_10_liver","Pm_3_liver","Pm_5_liver","Pm_8_liver","sg_1","sg_2","sg_3","sg_4","hrt_1","hr2_2","kidn_1","kidn_2","kidn_3","livr_1","livr_2","livr_3","Naja_vg_1","Naja_vg_2","Naja_vg_3","Naja_vg_4","Naja_vg_5","Naja_vg_6","Naja_liv_1","Naja_liv_2","Naja_kid_1","Naja_kid_2","Naja_pan_1","Naja_pan_2","Naja_sg_1"
"1",2,107282159,"delta-like 4 (Drosophila)",NA,2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1,40,9,12,7,14,48,41,17,17,28,16,5,7,6,23,0.29,0.33,0.5,0.36,3.49,3.35,6.38,6.47,6.25,18.13,16.67,18.5,1.30116,1.35419,3.72084,2.20302,1.7348,1.64466,7.50891,1.99166,3.96514,4.51033,2.7964,0.41546,9.3745
"2",3,107282160,"fibronectin leucine rich transmembrane protein 2",NA,401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03,40,307,74,284,111,348,385,558,257,237,18,16,4,7,12,0,0,0,0.08,2.07,2.04,7.35,7.21,7.58,0.83,0.53,0.65,1.78162,0.278564,2.12866,4.80044,19.3185,0.891976,0.452935,0.39727,17.2049,13.2911,0.317857,0.0520485,9.78483
"3",6,107282165,"peroxisomal biogenesis factor 11 gamma",NA,169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156,68,105,99,96,88,279,210,320,250,224,131,240,143,136,297,0.5,0.68,0.66,0.71,1.37,1.32,6.4,6.84,7.7,3.5,3.84,3.54,4.71779,3.18468,8.05859,6.41496,7.84004,6.26163,10.7617,6.48864,10.3118,10.3704,7.58655,3.36148,10.1957
"4",9,107282168,"phosphodiesterase 4C",NA,10,20,16,6,10,18,7,13,6,13,27,6,14,7,4,12,3,14,8,4,5,14,10,20,46,19,24,2,40,5,15,8,17,19,53,19,9,2,3,10,0,0,0,0,0,0.64,0.73,0.57,0.54,4.19,3.58,5.07,5.35,5.37,2.95,2.49,3.48,3.38516,2.60409,5.25581,5.32196,5.95006,2.12579,0.0759979,0.0962835,0.867524,3.80933,2.1525,0.735853,4.91648
"5",10,107282170,"GTP binding protein 3 (mitochondrial)",NA,1,1,2,0,1,2,3,3,5,1,6,6,3,1,3,3,0,2,1,5,1,7,3,3,2,2,5,5,6,3,2,0,0,0,0,3,2,2,0,0,0,0,0,0,1,9.87,8.2,10.05,8.02,359.54,323.43,262.9,264.44,262.39,72.37,69.65,75.29,1.38957,0.825132,2.20988,1.53689,1.82903,1.40383,2.7255,3.24228,3.06594,3.40319,1.17593,0.549929,3.14477
"6",15,107282178,"microtubule associated protein 7",NA,857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484,9,51,12,54,7,494,317,742,560,682,121,220,118,106,186,0.44,0.72,0.72,0.57,14.82,12.9,47.07,45.22,47.49,0.47,0.4,0.42,13.7141,3.80506,20.1827,21.73,26.8861,14.4029,1.76498,5.07314,16.1013,23.3589,6.22767,7.2838,46.2433
"7",17,107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",NA,154,129,179,106,195,96,163,182,181,179,199,304,117,160,106,138,123,167,160,111,55,146,421,133,398,84,172,263,275,184,34,31,68,151,24,87,41,76,47,45,32,56,48,64,113,1.35,1.47,1.27,0.86,40.18,36.31,43.06,42.32,41.55,14.86,13.21,13.22,1.871,4.81843,2.17342,2.85306,4.31549,0.16667,5.62484,1.91518,6.24666,4.62198,2.89279,0.992001,6.13482
"8",21,107282195,"hyaluronan and proteoglycan link protein 1",NA,19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20,0,22,1,21,21,0,0,2,0,1,0,1,0,0,0,9.26,5.02,5.91,6.51,3.46,3.4,124.25,116.89,124.71,203.9,202.12,199.09,0.156311,0,0.444594,0.0501089,0.164398,1.41679,0,0,0.0438847,0,0,0,0.398765
"9",22,107282203,"zinc finger protein 511",NA,48,47,62,36,40,42,16,38,29,13,45,41,27,22,23,11,15,27,62,21,30,38,98,45,49,34,27,23,45,38,33,23,43,26,34,25,19,14,38,28,7,26,10,14,17,22.98,3.02,1.78,0.17,10.32,9.28,45.85,44.7,45.1,0,0,0,1.29093,1.29288,2.02885,1.99834,4.83676,2.45326,1.99438,2.97061,2.45539,2.95648,2.74801,0.697868,2.69001
"10",23,107282204,"tubulin gamma complex associated protein 2",NA,276,488,527,187,218,387,96,260,295,164,457,352,444,199,205,230,190,212,629,236,168,632,1132,599,419,299,283,158,431,154,305,244,306,177,270,322,222,271,222,203,54,123,56,57,167,48.8,0.52,280.87,0.09,451.77,358.24,453.46,423.18,446.88,0.09,0.28,0.08,1.79828,1.64326,3.81583,3.17063,4.96632,2.04626,3.10067,2.95094,11.8765,10.0742,4.72567,1.4946,8.88393
"11",29,107282217,"solute carrier family 35 member E1",NA,51,34,30,32,23,16,16,24,19,9,31,13,20,16,13,19,22,18,23,12,8,16,69,27,50,22,34,25,29,18,22,19,24,49,13,47,32,60,54,31,12,30,25,31,26,1.29,1.07,1.04,0.96,7.91,8.44,15.2,12.3,13.55,8,9.62,6.34,1.39007,1.52139,2.75564,2.07575,8.09864,0.956559,2.79481,1.73822,5.97149,5.97087,3.48891,1.29496,9.40804
"12",31,107282221,"Rho/Rac guanine nucleotide exchange factor 18",NA,45,42,38,25,11,11,14,24,30,18,36,26,14,14,28,15,47,16,41,27,9,30,48,31,34,26,34,24,32,19,36,21,35,51,32,23,22,24,17,17,4,10,3,12,19,1.04,0.45,0.78,0.83,37.59,36.36,17.74,19.88,20.11,12.73,14.68,14.52,4.23439,1.59483,6.13994,7.44277,10.1767,2.29767,8.01381,5.47656,13.2136,9.94721,6.33157,2.03354,19.2164
"13",32,107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",NA,204,96,74,45,48,28,13,102,34,43,132,158,66,91,52,45,164,72,40,115,66,158,233,49,278,36,43,45,94,14,37,21,63,21,72,99,90,103,72,128,42,61,57,26,77,1.11,5.65,2.56,0.56,1.76,1.62,0.88,1.43,1.17,0.04,0.03,0.02,4.97813,1.89645,11.7872,7.59882,16.5724,7.31422,11.1153,8.87446,44.5897,34.5635,8.78046,4.57038,9.43257
"14",34,107282230,"RAB3A, member RAS oncogene family",NA,124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38,13,10,19,15,15,38,3,17,17,13,4,7,4,4,14,0.3,0.53,0.34,0.25,0.08,0.06,0.05,0.05,0.03,0.02,0.05,0.1,4.19759,6.05036,7.16576,6.74293,7.07223,3.91912,5.01215,2.51894,6.90685,6.9244,5.69822,3.02814,14.0281
