"","gene","description","Pm_1_heart","Pm_10_heart","Pm_3_heart","Pm_5_heart","Pm_8_heart","Mus_hrt_1","Mus_hrt_2","Mus_hrt_3","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Canis_hrt_1","Canis_hrt_2","Canis_hrt_3"
"1",107282159,"delta-like 4 (Drosophila)",40,9,12,7,14,14.5213,16.69682,13.96569,7.227916,8.875269,10.158367,4.48043,11.10609,13.07926
"2",107282160,"fibronectin leucine rich transmembrane protein 2",40,307,74,284,111,1.720919,1.274119,1.314829,1.247886,1.866749,2.086589,0.387382,10.0525,9.14302
"3",107282165,"peroxisomal biogenesis factor 11 gamma",68,105,99,96,88,2.257094,3.447535,3.139654,1.675267,2.5038298,2.347285,0.1102765,0.519115,1.037666
"4",107282168,"phosphodiesterase 4C",15,8,17,19,53,2.333441,3.799099038,3.926824027,3.119596,3.7938399,2.846221046,1.188829,1.348473,5.93578
"5",107282170,"GTP binding protein 3 (mitochondrial)",2,0,0,0,0,7.6396463,10.033507,10.995996,7.842343,8.074224,11.6681545,2.02374,3.939,8.06061
"6",107282178,"microtubule associated protein 7",9,51,12,54,7,3.1342465,5.4315133,6.054225,1.160553001,0.398107,0.9710383,0.057688,0.2689849,0.0299166
"7",107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",34,31,68,151,24,19.8887424,45.221972,42.378719,76.4544783,157.5565657,159.0217696,15.06798,42.56017,56.43976
"8",107282195,"hyaluronan and proteoglycan link protein 1",0,22,1,21,21,0.119818,0.178178,0.14521,0.0300837,1.912431,1.341291,1.49975,1.09727,8.35935
"9",107282203,"zinc finger protein 511",33,23,43,26,34,12.379534,17.0298,17.374058,14.96517,26.62106,23.93123,9.817391,17.37771,15.11983
"10",107282204,"tubulin gamma complex associated protein 2",305,244,306,177,270,10.661298,10.9754531,11.8516207,15.705066,29.158089,30.365111,19.5573,42.47391,47.84152
"11",107282217,"solute carrier family 35 member E1",22,19,24,49,13,42.1065,44.0186,45.1096,10.667769,17.237388,17.68999,3.19287,17.5863,25.3036
"12",107282221,"Rho/Rac guanine nucleotide exchange factor 18",36,21,35,51,32,5.8701121,8.3483985,8.6048394,0.178582,0,0,0.844992,2.03063,2.97416
"13",107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",37,21,63,21,72,44.269713,69.117199,72.130907,34.90578,40.017348,35.46988543,25.410551,21.371887,27.95299
"14",107282230,"RAB3A, member RAS oncogene family",13,10,19,15,15,34.384915,48.486898,48.360591,15.70377041,70.737881,56.68909,22.10483,46.7443,72.66312
"15",107282233,"DET1 and DDB1 associated 1",262,301,252,125,273,20.04593625,28.39111059,28.94286084,27.443545,30.535,28.849104,21.53745,50.43603,103.3936
"16",107282238,"mitogen-activated protein kinase kinase kinase 5",37,35,38,77,66,7.337205,7.3011201,8.2019568,8.05233,5.73137,6.51497,3.08898,10.192934,6.24858
"17",107282258,"adaptor related protein complex 3 delta 1 subunit",91,109,124,271,84,34.482739,41.313551,40.210084,32.5792478,68.17857,58.89649,13.4013,37.634,34.15426
"18",107282273,"phosphoinositide-3-kinase regulatory subunit 2",20,6,15,48,11,6.15069,11.664537,12.521136,18.026021,19.5779452,20.40612001,0.634631,2.97007,3.71334
"19",107282274,"microtubule associated serine/threonine kinase 3",6,9,9,128,14,2.71456848,5.10989256,5.657051,2.417374,4.623571,3.393431,0.4058573,1.360769,1.940952862
"20",107282288,"coiled-coil serine rich protein 1",9,24,17,35,15,0.27971091,0.2597397,0.2358936,1.278865,1.428905,2.260107,0.109841704,0.134821047,0.740536
"21",107282290,"phospholipid phosphatase related 3",0,0,0,2,0,0.879855,1.5942444,1.530239,0.102725,0.0765975,0.305725,0.0064031,0.0661741,0
"22",107282350,"serine/threonine kinase 24",158,113,176,118,150,16.2193203,14.0350043,13.7566567,15.9114839,18.7536145,20.224558,7.984260052,18.8492702,28.58413015
"23",107282361,"dickkopf WNT signaling pathway inhibitor 2",80,61,52,7,93,0.235764,0.0602488,0.149397,0.419647,0.545055,0.1795394,2.59732,5.44488,94.8404
"24",107282362,"solute carrier family 15 (oligopeptide transporter), member 1",2,2,0,8,0,0.0540986,0.107936,0.109748,0.1512271,0.540501,0.3220924,0,0.0279806,0.0217941
"25",107282380,"F-box protein 47",0,17,3,6,0,0.1494911,0.254393,0.1783771,0,0,0,0.0268037,0.0538935,0.0838598
"26",107282413,"tubulin folding cofactor D",422.09,355.45,630.99,367.15,525.06,7.72008,9.981006,8.577864,32.940379,57.806419,63.86914542,7.84427207,22.370591,1.114404
"27",107282421,"plexin domain containing 1",11,161,42,101,59,3.0605537,3.9857727,3.87615,9.964164704,26.44301201,29.726104,3.216433,11.4607,2.458238
"28",107282422,"DEAD-box helicase 42",401,588,785,1041,745,4.744086,3.469009,3.51271,35.05654,32.18392,32.90791,3.6497,10.058,22.1707
"29",107282423,"zinc finger protein 750",10,10,7,65,1,0.0434704,0.121209,0.0882747,0.355597,0.107866,0.2602558,0,0.033621,0
"30",107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",74,102,116,119,103,5.32391,5.387017,4.466832,9.160183,11.69789,7.071636,3.06409,4.674721,10.845348
"31",107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",144,202,140,99,134,9.304415,6.855436,6.222584,1.675927,1.055408,1.229721,1.2589,2.09037,8.90553
"32",107282516,"myocardin",290,90,395,212,572,16.882539,19.967661,20.793548,3.826339,12.79372,13.71748,1.72467,15.182844,15.4123
"33",107282539,"troponin T1, slow skeletal type",275,1205,230,103,254,5.4098836,9.947766,9.335588,9.664506002,51.82506,47.513016,115.11708,123.659507,18.688506
"34",107282560,"SAGA complex associated factor 29",36,18,64,50,55,16.821718,25.918748,27.757286,20.79815,15.63549,17.07519,2.562838,11.09914,4.56681
"35",107282562,"sphingomyelin synthase 2",116,213,81,192,82,0.212325,0.405193,0.283169,3.719591,9.421913,3.84144772,0.4707,1.856677,5.21671
"36",107282570,"regulator of G-protein signaling 9",3,1,1,11,2,0.236543,0.2604638,0.2988959,1.291064,1.2509384,0.7654455,0.2689156,0.471225,0.3363216
"37",107282571,"guanine nucleotide binding protein (G protein), alpha 13",1060,958,1158,659,1089,8.124781,8.02208,8.30239,2.68403,3.16114168,2.977804,0.737719,3.50828,7.8378
