Orthogroup	N_naja.pep	A_carolinensis.pep
OG0000002	Nana39702-RA	ENSACAG00000026766.2, ENSACAG00000023814.1, ENSACAG00000002849.3, ENSACAG00000026037.1
OG0000002	Nana38721-RA	ENSACAG00000028352.1
OG0000002	Nana38722-RA, Nana38264-RA	ENSACAG00000002838.3
OG0000002	Nana39072-RA	ENSACAG00000002383.2
OG0000002	Nana24150-RA	ENSACAG00000021075.3, ENSACAG00000029517.1, ENSACAG00000002908.3, ENSACAG00000002907.2, ENSACAG00000002835.2
OG0000004	Nana34665-RF	ENSACAG00000026467.2
OG0000004	Nana35137-RB	ENSACAG00000002800.3
OG0000004	Nana35122-RA	ENSACAG00000028861.1
OG0000004	Nana35137-RC	ENSACAG00000026066.1, ENSACAG00000002794.2, ENSACAG00000025882.1, ENSACAG00000024510.1, ENSACAG00000024122.1, ENSACAG00000028919.1, ENSACAG00000024102.1, ENSACAG00000026893.2, ENSACAG00000026390.1, ENSACAG00000026712.1, ENSACAG00000022431.1
OG0000004	Nana39422-RA	ENSACAG00000028258.1
OG0000004	Nana35139-RA	ENSACAG00000029225.1
OG0000006	Nana07874-RA, Nana07050-RA	ENSACAG00000028936.1
OG0000006	Nana07308-RA	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1
OG0000007	Nana23478-RA	ENSACAG00000007113.2
OG0000007	Nana38175-RA	ENSACAG00000002917.3, ENSACAG00000002942.2
OG0000008	Nana24313-RA	ENSACAG00000003365.1, ENSACAG00000004700.2, ENSACAG00000004696.1
OG0000008	Nana24068-RA, Nana24074-RA	ENSACAG00000017534.1, ENSACAG00000003381.2
OG0000008	Nana10430-RA	ENSACAG00000015308.2
OG0000008	Nana07832-RA	ENSACAG00000011601.2, ENSACAG00000011596.2
OG0000008	Nana08331-RA	ENSACAG00000006010.3
OG0000009	Nana23397-RA	ENSACAG00000010890.2, ENSACAG00000011030.2, ENSACAG00000007816.2, ENSACAG00000007620.2, ENSACAG00000022960.1, ENSACAG00000007614.2, ENSACAG00000023376.1
OG0000010	Nana10431-RA, Nana10425-RA	ENSACAG00000015297.1, ENSACAG00000015318.1
OG0000010	Nana24069-RA	ENSACAG00000003370.1
OG0000010	Nana38982-RA	ENSACAG00000003373.1, ENSACAG00000004410.1, ENSACAG00000004417.1
OG0000014	Nana09496-RA	ENSACAG00000026224.2
OG0000014	Nana24071-RA	ENSACAG00000021043.1
OG0000014	Nana23739-RA, Nana27153-RA	ENSACAG00000024894.1
OG0000014	Nana24067-RA	ENSACAG00000003388.1
OG0000014	Nana30712-RA	ENSACAG00000007297.3
OG0000014	Nana30712-RC	ENSACAG00000023420.2
OG0000015	Nana07170-RA	ENSACAG00000006471.3
OG0000015	Nana07207-RA, Nana37981-RA	ENSACAG00000006674.2, ENSACAG00000017226.3, ENSACAG00000000562.3, ENSACAG00000011070.2, ENSACAG00000006478.3, ENSACAG00000024528.1, ENSACAG00000023667.1, ENSACAG00000022634.1, ENSACAG00000027871.1, ENSACAG00000022657.2, ENSACAG00000025947.1, ENSACAG00000024081.2, ENSACAG00000024309.2, ENSACAG00000003088.2, ENSACAG00000024337.1, ENSACAG00000013947.2, ENSACAG00000026915.2
OG0000015	Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA	ENSACAG00000024939.1, ENSACAG00000025539.1
OG0000018	Nana10432-RA	ENSACAG00000021103.2, ENSACAG00000023217.1, ENSACAG00000015480.1
OG0000021	Nana09414-RD	ENSACAG00000017003.3
OG0000021	Nana13832-RA, Nana13832-RB	ENSACAG00000007497.3
OG0000021	Nana24863-RA	ENSACAG00000006610.3
OG0000021	Nana24248-RB	ENSACAG00000029475.1
OG0000023	Nana23400-RA	ENSACAG00000022276.1, ENSACAG00000010915.2
OG0000026	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1
OG0000027	Nana03933-RA	ENSACAG00000005101.2
OG0000027	Nana20181-RA	ENSACAG00000002559.3
OG0000027	Nana03934-RB, Nana03934-RA	ENSACAG00000013417.3
OG0000027	Nana27836-RA	ENSACAG00000017598.3
OG0000027	Nana27543-RA	ENSACAG00000012411.3
OG0000027	Nana03933-RB	ENSACAG00000013342.3, ENSACAG00000028051.2
OG0000027	Nana09911-RA	ENSACAG00000013414.3
OG0000029	Nana10133-RA	ENSACAG00000029684.1
OG0000029	Nana10130-RA	ENSACAG00000028764.1
OG0000029	Nana10131-RA	ENSACAG00000029007.1
OG0000029	Nana10387-RA	ENSACAG00000011658.3
OG0000029	Nana10116-RA	ENSACAG00000007961.3
OG0000031	Nana30921-RA	ENSACAG00000005129.2, ENSACAG00000005055.3
OG0000031	Nana30920-RB	ENSACAG00000002646.2, ENSACAG00000008145.3, ENSACAG00000004881.2
OG0000031	Nana30920-RA	ENSACAG00000014804.2, ENSACAG00000013978.2, ENSACAG00000028689.1, ENSACAG00000026849.1, ENSACAG00000025222.1, ENSACAG00000028549.1, ENSACAG00000026831.1, ENSACAG00000028685.1, ENSACAG00000027070.1, ENSACAG00000028069.1, ENSACAG00000022418.1, ENSACAG00000024612.1, ENSACAG00000004347.2, ENSACAG00000028595.1, ENSACAG00000004759.3, ENSACAG00000004682.3
OG0000034	Nana36726-RA	ENSACAG00000012869.2
OG0000034	Nana15765-RA	ENSACAG00000017670.3
OG0000034	Nana15763-RA	ENSACAG00000017677.3
OG0000034	Nana13527-RA	ENSACAG00000001102.2
