gene,description,Pm_1,Pm_10,Pm_11,Pm_12,Pm_13,Pm_14,Pm_15,Pm_16,Pm_17,Pm_18,Pm_19,Pm_2,Pm_20,Pm_21,Pm_22,Pm_23,Pm_24,Pm_25,Pm_26,Pm_27,Pm_28,Pm_29,Pm_3,Pm_30,Pm_4,Pm_5,Pm_6,Pm_7,Pm_8,Pm_9,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Homo_sg_1,Homo_sg_2,Canis_sg_1,Canis_sg_2
107294729,neuropeptide Y receptor Y1,3,22,23,3,1,9,0,2,3,2,9,3,5,0,0,5,0,0,11,3,2,2,19,1,9,6,6,0,6,1,0.221438,0.174284,0.2053059,0.0388227,12.840603,1.39088809,1.0716,0.694988
107297196,hypocretin receptor 2,0,20,72,0,0,1,4,0,8,0,36,57,19,4,3,6,6,0,37,9,2,27,102,25,7,8,2,0,56,0,0.0502534,0,0,0,0.0099747,0,0.120226,0.540588
107286799,high mobility group box 1,16652.99,21189.64,23956.02,14975.84,8699.39,12654.76,3645.98,8711.68,17009.73,5163.79,15721.85,17428.58,14006.49,7712.98,7438.87,6735.59,6350.87,6560.78,22226.82,6276.76,8767.77,16302.72,21846.91,14416.64,16254.49,17228.17,11377.79,6873.9,16722.4,8838.91,18.539788,19.4382059,18.455399,22.085363,103.5118,64.21122,234.6956,270.46937
107292114,telomerase reverse transcriptase,4,51,33,3,25,6,5,25,25,6,22,11,25,9,13,9,6,3,29,7,15,37,49,24,18,26,7,3,26,6,0.0583571,0.251876,0.0870663,0.0487557,0,0.00198719,0.041862101,0.0817449
107283011,endothelin 1,4,5,1,9,0,6,0,4,6,2,6,4,0,4,3,1,2,0,19,1,2,11,7,6,3,4,5,4,5,10,0.525563,0.536945,0.78485,0.819062,5.11331,4.15665,0.550465,0.990064
107286956,cyclin-dependent kinase inhibitor 1B,46,29,37,20,20,24,19,20,30,10,29,29,22,21,19,19,6,16,18,10,24,19,31,20,34,31,9,57,43,28,4.49655,4.084747822,4.134227,3.695403,21.644341,18.645434,138.752,158.467
107283146,annexin A2,4338,16948,26161,4095,4357,9858,1978,4250,11221,3213,10206,15146,11111,4546,3618,4859,1402,1504,24324,6234,4914,14714,34031,10205,7590,8132,3913,2887,8179,3404,23.3127,22.13062,26.796945,25.71386,137.4015,112.6043,1224.902677,1124.519206
107285925,breast cancer 1,16,38,50,246,17,33,0,122,37,21,279,126,134,16,14,20,7,10,58,32,113,304,258,118,27,565,9,1,42,7,0.5158421,0.2836392,0.0172921,0.063144,1.7954619,1.19043821,1.12922,1.23673
107284992,glutamate-ammonia ligase,8917,4217,4124,2307,4694,1175,842,1702,2014,1070,1539,5064,1078,2033,1172,1322,1571,1433,5024,1632,2252,1622,3642,5934,11663,4372,4174,778,1678.99,1849,60.94976,57.31857212,58.695218,60.91187419,73.1907656,45.677238,66.1085,380.865
107295882,synaptosome associated protein 91kDa,0,8,4,1,4,5,1,0,5,0,10,1,1,1,2,0,1,0,1,1,1,4,6,5,6,4,4,1,6,0,0.0998047,0.3692913,0.3817503,0.0194821,0.266129887,0.2232747,0.0841465,0.0668263
107294161,cathepsin C,34,199,270.3,106.1,45,68.04,33,72,87.14,43.15,214.05,112,118,61,47.29,58,42.17,49,84.03,65.11,46.14,221.15,451.06,110.23,197.2,73.08,87.17,36,159,37.12,6.399662,6.69338,8.88659,6.515811,107.563681,49.974608,152.162,118.019
107303226,CD40 ligand,3,9,6,2,1,3,0,4,2,1,14,9,7,9,0,1,2,1,5,1,1,18,10,6,5,3,6,4,4,2,0.0951561,0.0977072,0,0.279114,0.285221,0.134645,2.14412,2.81454
107289136,sterol regulatory element binding transcription factor 1,20,8,23,19,69,16,29,24,19,25,22,10,9,25,11,21,30,18,17,21,21,13,49,17,65,12,15,30,14,27,17.418216,21.365423,21.182573,20.8364462,24.9921923,22.8855084,33.30385,12.61257
107298543,reversion inducing cysteine rich protein with kazal motifs,354,347,306,472,269,379,194,545,372,376,287,277,274,220,279,199,342,551,422,201,330,583,1039,377,386,414,358,68,590,165,0.523553,0.54629,0.415229,0.663399,3.748616,1.9895947,9.9596,3.17709
107284754,"glycoprotein hormones, alpha polypeptide",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302175,0.108519,3.32717,5.60144
107293255,ret proto-oncogene,12,41,15,15,7,16,5,10,14,6,14,23,10,11,8,4,5,7,24,12,2,7,52,14,30,24,10,7,20,2,7.8817,7.83621,8.80264,8.60374,1.969195,1.227201,1.79110531,1.0636436
107284271,collagen type IV alpha 1,62,260,156,115,43,131,51,90,280,66,211,244,203,78,51,87,80,47,202,110,45,320,787,157,192,225,142,61,209,95,6.15857171,9.1279018,11.228044,8.86839818,15.49191,11.25801,25.3641,9.69012
107292577,"rhophilin, Rho GTPase binding protein 2",63,54,42,26,19,28,57,55,14,37,66,39,41,50,57,50,22,26,56,59,45,17,96,45,113,37,44,38,29,39,9.749843,11.96875,11.329729,11.572521,8.78404,9.1225529,134.185,96.8932
107294385,transmembrane protein 132C-like,0,7,5,0,4,8,0,5,4,2,2,1,1,0,0,2,0,0,1,0,0,3,5,5,5,3,2,2,5,1,0.0419072,0.0877144,0.0855212,0.1201641,0.77915,0.56003,0,0.126497
107287797,"troponin T2, cardiac type",5,1,2,1,0,3,0,0,1,0,3,2,0,2,0,0,0,0,10,0,0,1,1,0,8,6,0,0,1,0,0.0700225,0.0334863,0.2097496,0,0.246117,0.4581417,0.0451926,0.461445
107286342,thiopurine S-methyltransferase,385,85,167,250,132,139,188,103,310,190,104,159,148,147,90,123,224,162,198,138,158,182,238,222,172,195,220,357,142,888,1.0038158,1.194408,2.090676,0.906394,7.85242,7.5128,3.93249,3.78397
107292903,myeloid cell leukemia 1,409,379,428,253,188,148,166,182,289,113,412,524,254,194,145,163,364,125,495,87,205,288,412,375,294,410,222,222,260,398,11.7958,12.0221,10.723,13.1157,125.40913,38.501797,98.3704,133.7148
107291936,Rho GTPase activating protein 35,6,16,12,4,18,13,7,4,10,6,7,8,9,10,2,3,8,5,4,1,7,3,7,3,16,4,5,10,7,8,1.58977,2.350791,2.69415,2.326562,6.76334534,5.8535027,19.663814,12.00729033
107298701,tubulin delta 1,123,76,80,57,72,64,64,115,69,85,100,116,112,67,38,135,84,74,192,47,102,288,110,201,139,52,63,48,97,40,0.9388944,1.24263,0.713356,0.725302,5.22136379,2.859086754,0.714485,2.02333
107286959,protein phosphatase 1 catalytic subunit gamma,425,458,585,374,264,234,112,193,515,101,439,461,361,188,206,194,199,132,576,148,167,402,613,489,357,398,264,412,446,431,13.29256105,14.47348,14.9001847,14.445764,61.35387,51.44944,170.1034,143.3147
107298021,protein phosphatase 1 catalytic subunit beta,3132.98,2862.97,3193.03,2471.25,1378.65,2128.97,587,923.99,2453.67,912.99,2118.56,2016.97,1015.43,2460.99,1692.99,1265.43,1349,2407.98,7544.99,1472.01,2799.01,1535.52,2482.02,5965.56,6675.01,2490.97,6764.04,855.99,2258.99,1498,39.04125,39.951724,37.56366,45.69481,99.98742,58.86703,443.4887,220.56248
107290543,"superoxide dismutase 1, soluble",1965,1273,1700,2022,1080,1359,802,1042,1759,956,1137,1691,897,1270,1238,1091,1336,1041,2051,836,1246,1168,1375,1405,2112,1524,1367,4144,1309,1636,54.730925,62.182683,73.457046,66.833223,51.237371,41.50041,251.4521,185.459
