logFC..venom...liver,logFC..venom...kidney,logFC..venom...heart,logCPM,F,PValue,genes,description,MM.turq
1.028225108,-9.368212995,-0.112396657,4.359953436,110.7939704,6.83E-09,107287563,hepsin,0.462703885
-9.619247595,1.121474049,0.564383874,3.918729315,95.313864,1.60E-08,107289905,nuclear receptor subfamily 0 group B member 2,0.172618302
-12.86763214,-8.587291591,-1.577758905,7.146182364,92.65199226,1.88E-08,107286785,cytochrome P450 2C4-like,0.136315925
1.111745303,-4.496091429,3.803855051,6.946845782,82.64241854,3.56E-08,107284760,nicotinamide N-methyltransferase-like,0.575138765
-14.93057401,-4.042654523,-4.116057109,12.94368302,78.50596383,4.69E-08,107290652,fibrinogen gamma chain,0.027712409
-5.247581972,1.368183984,-0.113507522,4.6860303,75.1907711,6.03E-08,107283609,probable acyl-CoA dehydrogenase 6,0.300363594
-11.96716169,0.626067762,2.299863343,5.787088353,108.1936315,8.57E-08,107301411,retinol dehydrogenase 16-like,0.104608227
-4.032757141,-1.513194205,1.572259279,6.710598888,68.7717979,9.60E-08,107291421,microsomal glutathione S-transferase 1,0.311813726
-1.729823246,-2.974818339,-13.96257586,7.037395789,55.49587348,3.22E-07,107301689,myosin heavy chain cardiac muscle isoform-like,0.098219531
1.890967305,1.441621958,-7.287104832,6.949802343,55.00775394,3.38E-07,107283628,nebulette-like,0.847823091
-4.52416424,-1.962813437,2.163496499,8.302441989,54.67484846,3.46E-07,107297930,transmembrane protein 97-like,0.768117565
-6.097066467,-3.96440196,-0.582817036,9.424976627,53.08645366,3.99E-07,107286863,fumarylacetoacetate hydrolase (fumarylacetoacetase),0.813041838
-9.929286934,-8.503035047,-0.252767807,6.743994625,51.24348397,4.98E-07,107293892,solute carrier organic anion transporter family member 1A2-like,0.567165632
-1.60681086,-3.400616798,0.785172845,5.350052957,50.45446861,5.26E-07,107291116,aminoacylase 1,0.510527835
5.868495014,1.467365864,3.807677945,5.855114081,50.13622832,5.61E-07,107294852,solute carrier family 44 member 4,0.338904603
-0.092636395,-3.610809893,0.21873018,6.306569587,49.59957213,5.86E-07,107289997,X-prolyl aminopeptidase (aminopeptidase P) 1 soluble,0.638043106
-0.377927941,-4.635281669,-0.852995206,4.783704067,47.28006431,7.70E-07,107283309,cubilin,0.375464303
-1.09244984,-3.667722403,-0.052649191,4.595645246,47.05928297,7.70E-07,107288127,asparaginase like 1,0.146054611
-10.07808199,0.989571094,-1.29828413,8.655883034,46.58373407,8.34E-07,107287359,inter-alpha-trypsin inhibitor heavy chain H3-like,0.30225467
-0.403043985,-2.799905651,0.480132094,4.593240856,44.49844617,1.04E-06,107303317,xylulokinase homolog (H. influenzae),0.500274252
-3.4882743,-0.342395853,3.148759237,4.238659275,44.52450541,1.06E-06,107302721,tocopherol (alpha) transfer protein,0.596406388
3.311815123,3.480853125,-3.266026113,4.663390087,44.26667666,1.10E-06,107292055,solute carrier family 41 member 3,0.669071538
-0.410208001,-2.944862857,-6.523923305,7.717071069,44.05935533,1.13E-06,107302661,sorbin and SH3 domain containing 2,0.674391382
-5.197559771,-8.481072742,-0.384506447,7.681404117,43.85789225,1.15E-06,107284786,nicotinamide N-methyltransferase-like,0.323141883
-4.625481929,-3.387528076,2.040393915,4.809658051,43.06350477,1.27E-06,107282553,protein ADP-ribosylarginine hydrolase-like,0.648442013
-4.267818059,-0.869415086,0.28169647,5.491872324,42.47218106,1.37E-06,107292512,sterol 26-hydroxylase mitochondrial,0.563745243
0.744623177,1.675253606,-4.221574036,3.425912494,41.71459329,1.51E-06,107299114,endoglin-like,0.231850972
-5.00377407,-8.183043847,-2.944576897,6.444203349,40.62607254,1.74E-06,107283317,ATP binding cassette subfamily B member 1,0.20349624
-2.918560738,-2.241372761,0.735268331,5.014656913,39.83739414,1.88E-06,107290746,fucosidase alpha-L- 1 tissue,0.614179581
-4.079705728,-1.933353702,-0.443196833,5.228253526,38.99239912,2.16E-06,107284371,acetyl-CoA acyltransferase 1,0.489304325
-2.281317392,-7.904976964,1.859434649,7.029408347,38.09219697,2.44E-06,107291835,solute carrier family 2 facilitated glucose transporter member 11-like,0.567715588
-7.183303646,-8.059877776,-1.703315865,2.518584993,37.27620204,2.74E-06,107285661,cytochrome P450 2F3-like,0.365532912
-4.542334708,-0.199364346,1.620136586,5.308581374,37.16017267,2.79E-06,107283544,5-hydroxyisourate hydrolase-like,0.698169566
2.747542696,9.279295089,6.974619878,4.306500493,37.12155397,2.80E-06,107282478,EPS8 like 1,0.467290401
-0.059370594,-7.168390575,0.149077581,1.211061441,36.61678344,3.01E-06,107286637,barttin CLCNK type accessory beta subunit,0.660302253
7.768138855,8.051943319,8.234301067,4.303741568,36.43917023,3.09E-06,107292027,SAM pointed domain containing ETS transcription factor,0.743526089
-6.837196983,-3.026613854,0.885373746,5.709518496,36.41082052,3.10E-06,107289603,glycosylphosphatidylinositol specific phospholipase D1,0.823679593
-5.010329599,-2.384025658,-0.159459412,7.789379808,36.14416985,3.23E-06,107295057,phytanoyl-CoA 2-hydroxylase,0.595928905
-1.435803835,3.149286963,3.553884451,3.159529256,35.54540481,3.52E-06,107297676,transmembrane protein 62-like,0.668412646
-2.667299158,-3.686399944,0.145787401,5.258724838,35.50722594,3.54E-06,107299441,transmembrane 7 superfamily member 3,0.547341858
-15.04291801,-9.311262004,-3.451241156,8.070517723,35.28183423,3.66E-06,107292408,apolipoprotein A-II-like,0.07754366
-4.838383987,-2.315287536,0.40546958,7.735744286,33.83327816,4.56E-06,107290593,3-hydroxyacyl-CoA dehydratase 3,0.456635674
-3.903970608,-0.393601946,0.879140697,3.861170742,32.64997586,5.49E-06,107292971,solute carrier family 25 (mitochondrial carrier; citrate transporter) member 1,0.411170974
-4.004039767,-1.466444772,0.273842746,8.583152541,32.42049932,5.63E-06,107294455,selenoprotein T,0.711076469
12.52766887,7.936187627,12.52766887,4.072693099,69.44959197,5.93E-06,107291156,glycoprotein A33,0.709852467
-4.749346546,-1.098870553,2.440972107,3.625226368,31.50666692,6.61E-06,107293099,phosphoenolpyruvate carboxykinase 2 mitochondrial,0.770535351
-2.338328402,2.643754204,3.87802968,4.048509182,31.42139578,6.70E-06,107296136,solute carrier family 17 member 9,0.58068307
0.37121967,-2.282427705,0.428810933,6.654618838,31.253679,6.74E-06,107294341,adenylate kinase 4,0.292635769
2.958935855,-3.030941332,0.524021382,5.271140956,31.10303242,7.06E-06,107295779,Rho GTPase activating protein 40,0.516388323
8.364645417,4.781101772,2.700256181,2.602142878,31.08490069,7.09E-06,107288965,E3 ubiquitin-protein ligase TRIM58-like,0.254834659
5.689414652,1.131325716,-2.12984032,5.356186167,31.05454394,7.12E-06,107286690,ankyrin 2 neuronal,0.660771435
-10.30071172,-10.0762732,0,2.7428661,65.44650809,7.40E-06,107292208,carboxymethylenebutenolidase homolog,0.295593152
-1.659286263,-2.332204311,0.10454846,5.315608241,30.41184029,7.76E-06,107290181,programmed cell death 2,0.65823936
-2.535934832,-1.38764062,2.471259941,6.414285113,29.97650983,8.55E-06,107294417,24-dehydrocholesterol reductase,0.614498901
-11.78592843,-9.246477171,-2.99253543,8.714944099,29.95842388,8.57E-06,107286781,cytochrome P450 2C5-like,0.192089954
3.791208824,-0.050883488,-1.641532921,5.219102085,29.91349059,8.64E-06,107295926,3-oxoacid CoA-transferase 1,0.211725929
4.566702141,2.990167543,1.233077142,3.253913816,29.71232629,8.84E-06,107286421,SERTA domain containing 4,0.665411824
-1.111960805,-3.926776847,-1.260168252,3.311288048,29.65607306,8.92E-06,107299414,rho GTPase-activating protein 42-like,0.401532216
4.237543761,2.087315466,3.009204783,2.698211802,29.49494359,9.09E-06,107289844,anoctamin 7,0.59055265
-4.846161807,-3.396303861,-0.446344141,4.324031008,29.57623462,9.16E-06,107297539,progesterone receptor membrane component 1,0.518239859
7.481167895,3.804912215,3.27265389,5.218775381,29.44663721,9.37E-06,107290944,heparan sulfate-glucosamine 3-sulfotransferase 1,0.855312726
5.142113043,-3.148186875,1.242826629,2.509358766,29.17908726,9.82E-06,107302768,sushi domain containing 4,0.433486784
-3.642930879,-2.142801786,0.061667534,6.590195828,29.08054474,9.99E-06,107288677,aminomethyltransferase,0.80161229
3.920426463,5.265621354,3.445530246,1.902523417,28.88176401,1.03E-05,107293422,YdjC homolog (bacterial),0.825510472
-5.534566832,-0.094133124,0.214770462,8.16403743,28.85373354,1.04E-05,107290750,3-hydroxymethyl-3-methylglutaryl-CoA lyase,0.417595493
5.300046568,3.57622997,3.851859774,3.482084934,28.45170262,1.12E-05,107285358,myelin basic protein,0.086966354
4.335647667,-0.771966158,3.129553042,4.468308875,27.93117112,1.23E-05,107284575,SH3 and SYLF domain containing 1,0.627062694
-3.460986054,-0.514143251,0.829706246,4.422364303,27.89749699,1.24E-05,107295083,peptidase M20 domain containing 1,0.70832702
1.566496993,-6.598077842,-0.547573669,2.219885647,27.86236526,1.24E-05,107291095,ovochymase-2-like,0.342503707
2.098859319,-7.399873348,-0.630216984,5.821806685,27.71088249,1.28E-05,107284959,ATPase H+ transporting V0 subunit d2,0.884877053
-4.958106519,-3.853669656,-0.773829745,3.113076676,27.44986895,1.34E-05,107295635,enoyl-CoA hydratase domain containing 3,0.346184517
3.540050588,-0.438531854,-4.077031971,4.304666818,27.30277091,1.38E-05,107288664,FERM and PDZ domain containing 1,0.586651867
0.371704455,-0.303176292,2.829588935,5.89087843,26.87568074,1.46E-05,107283276,vesicle associated membrane protein 8,0.628502581
-4.011995858,-3.546685402,0.501322871,6.589902225,26.82261614,1.51E-05,107300218,solute carrier family 38 member 5,0.871310275
2.771322101,-0.072815932,2.342577132,5.776762182,26.73427585,1.52E-05,107292011,myosin VI,0.392681381
4.856097512,1.635265991,-4.220397517,7.113541427,26.58551293,1.58E-05,107283629,LIM zinc-binding domain-containing Nebulette,0.888127605
-2.52099888,-1.827474333,-0.303657684,5.421179681,26.22142708,1.66E-05,107289973,glutathione S-transferase kappa 1-like,0.479105204
2.454971061,-0.370383325,1.151981718,4.75367248,25.9723687,1.74E-05,107287630,ArfGAP with SH3 domain ankyrin repeat and PH domain 2,0.441379913
-3.811589088,-3.401925208,-1.322844512,4.145225193,26.08735456,1.74E-05,107298742,mitochondrial amidoxime-reducing component 1-like,0.347397021
-6.901421977,-10.53257556,4.541256639,6.707860515,34.01593983,1.75E-05,107301495,solute carrier family 13 member 3-like,0.303197698
5.287729959,-1.58770902,3.404140827,7.736400483,25.84247015,1.82E-05,107282962,tetraspanin 13,0.838303034
3.906959035,0.709557898,0.591874446,5.308370094,25.4972006,1.94E-05,107303070,erb-b2 receptor tyrosine kinase 2,0.505741327
4.283177625,2.864651366,3.901487871,3.793373412,25.46042606,1.96E-05,107283970,calcium release activated channel regulator 2B,0.775610926
5.770609938,4.729372563,4.277656028,4.908522398,25.40564882,1.99E-05,107287632,membrane bound O-acyltransferase domain containing 2,0.934738767
-2.055433388,-2.17748334,-0.255853586,4.23255806,25.27004351,2.00E-05,107286987,cAMP responsive element binding protein-like 2,0.442390092
-2.097835446,-1.737405842,0.450349523,4.991953873,24.97917618,2.12E-05,107294822,makorin ring finger protein 1,0.574467152
9.739061466,-0.017339098,7.307573567,5.555036404,24.90581368,2.19E-05,107289610,E74 like ETS transcription factor 5,0.839181162
-3.636354404,-4.099355703,0.695612878,12.15285205,24.760792,2.22E-05,107292610,glutathione S-transferase Mu 1-like,0.434327508
-5.580825672,-2.38229857,-1.741561472,6.934943868,24.7777346,2.25E-05,107293840,pantothenate kinase 1,0.821897445
-2.731572586,-1.300454054,1.521433624,7.259884417,24.68379323,2.30E-05,107282909,biotinidase,0.724102529
3.952605751,0.748181393,2.180382679,2.733003449,24.44524996,2.36E-05,107285145,RAB3D member RAS oncogene family,0.589988256
5.137357484,-0.804576312,5.689261448,4.565993863,24.43708917,2.41E-05,107288147,chromosome unknown open reading frame human C2orf54,0.676226834
-4.328630603,-2.693499182,-0.323749393,9.375577009,24.18862379,2.52E-05,107290848,5'-nucleotidase cytosolic II,0.602580403
-2.631740996,-2.586236838,1.175884594,4.407355341,24.12821427,2.57E-05,107297505,dimethylaniline monooxygenase [N-oxide-forming] 5-like,0.472269077
-2.351271307,0.489548745,2.031132612,6.634055784,24.05567758,2.61E-05,107297467,surfeit 4,0.879596319
0.401229004,4.133820846,-4.801381102,5.489084503,23.99139332,2.65E-05,107299624,ATP binding cassette subfamily C member 8,0.171763566
-4.034831419,-3.645461931,0.421005407,7.010129506,23.85520907,2.72E-05,107285887,enoyl-CoA hydratase/3-hydroxyacyl CoA dehydrogenase,0.472608565
5.774033671,4.38902125,3.323671551,2.746354761,23.73576895,2.79E-05,107293219,multiple C2 domains transmembrane 2,0.756029998
-5.362369264,1.742017382,-4.875398769,6.915055281,23.72605662,2.80E-05,107283466,selenoprotein Pb-like,0.464869134
-0.790681385,-3.716262281,-0.663130687,2.490368394,23.57639515,2.86E-05,107300512,rho GTPase-activating protein 42-like,0.105793624
-3.120265013,-1.447548691,1.546675749,5.779123446,23.56887318,2.89E-05,107289602,aldehyde dehydrogenase 5 family member A1,0.880278058
2.490617407,4.196796446,3.186478368,4.402923649,23.57481595,2.89E-05,107293465,methionyl-tRNA synthetase,0.870267457
-4.075706995,-2.488702695,-0.58455387,3.029359611,23.54815574,2.91E-05,107292069,solute carrier family 22 member 3,0.329356535
-9.168213041,-5.61979127,-0.727100563,2.304252353,23.32353822,3.05E-05,107301836,phosphatidylinositol-glycan-specific phospholipase D-like,0.440174004
3.950336551,3.072533895,4.543446318,6.04406211,23.3033484,3.06E-05,107290745,UDP-galactose-4-epimerase,0.864674979
-1.690175828,1.219263094,1.223842718,5.344276049,23.29301519,3.07E-05,107288201,interleukin-1 receptor type 1-like,0.879855222
-1.416568808,-1.339040792,-4.655353167,4.536186998,23.2428224,3.10E-05,107295502,coiled-coil domain containing 69,0.660831977
0.205305403,-0.420423821,-3.123057985,2.936698476,23.17819436,3.12E-05,107290276,heart development protein with EGF like domains 1,0.379957992
-3.141774276,-1.918394724,-1.081973907,4.739212217,23.08982526,3.16E-05,107288407,alpha-methylacyl-CoA racemase,0.62322488
3.122412475,0.524545513,-1.12343598,2.633128739,23.07189271,3.16E-05,107294109,uncharacterized LOC107294109,0.32442867
6.543597523,2.493464333,7.677784044,3.974721251,23.07844084,3.21E-05,107285273,NIPA like domain containing 2,0.493968831
-4.11595452,-1.392207327,1.311828096,8.953555646,22.97023492,3.29E-05,107284527,phosphoserine aminotransferase 1,0.894967401
9.177481034,2.431230118,7.317681586,5.176867284,22.77227395,3.43E-05,107292463,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1-like,0.88813392
3.63437515,3.501595713,1.702292551,3.955483116,22.51259504,3.63E-05,107290682,matrix metallopeptidase 23B,0.537754004
-3.559312436,-3.280128063,-0.243224926,4.885658125,22.45605862,3.68E-05,107287995,phospholipid phosphatase 3-like,0.644234575
-2.917527496,-2.035845203,-0.992493399,4.010600768,22.306965,3.73E-05,107293565,zinc-binding protein A33-like,0.563425336
-3.510279499,-3.294017203,0.54335698,6.37914076,22.16824624,3.92E-05,107284548,glutathione S-transferase zeta 1,0.795174839
7.365345096,2.259391799,4.080094661,1.757320481,22.07202162,4.00E-05,107290020,Rho guanine nucleotide exchange factor 16,0.757785118
-7.981316135,1.159643106,1.1001463,9.255425571,22.02210589,4.05E-05,107285841,retinol dehydrogenase 12-like,0.777471267
2.363412181,2.904250332,4.236503906,5.526733035,21.96375943,4.10E-05,107302793,vacuole membrane protein 1,0.956765962
-7.090322573,-3.898629896,1.487785498,7.337943189,21.8653023,4.19E-05,107293732,17-beta-hydroxysteroid dehydrogenase type 6-like,0.760186948
4.261117716,3.882302963,5.930486122,4.647572184,21.7786372,4.28E-05,107282697,ATPase secretory pathway Ca2+ transporting 2,0.602586277
-3.673505336,0.62369328,2.731988528,3.218689951,21.58719487,4.47E-05,107302588,cytochrome P450 2J2-like,0.501808806
3.942343422,1.276954113,0.304313741,4.806791338,21.57545624,4.48E-05,107298128,protein jagged-2-like,0.601350399
8.247485184,0.703655967,6.268511664,3.772584177,21.56179982,4.49E-05,107283103,transmembrane protein 238,0.470846509
-2.412209279,-1.161981091,-2.119043865,3.866234543,21.4535132,4.53E-05,107298556,phosphatase and actin regulator 2,0.407948218
2.856007377,1.25908303,0.128078935,4.88317982,21.2868005,4.70E-05,107290589,insulin like growth factor 1 receptor,0.758123748
4.14420227,-1.446490078,5.86450065,7.222385443,21.35082367,4.71E-05,107285839,arginase 2,0.916868386
-6.483496963,0.837122186,-1.632755437,3.422174616,21.33597052,4.73E-05,107284348,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase-like,0.164821022
1.91176819,2.655253419,1.904928472,5.270410045,21.20270579,4.81E-05,107291089,fatty acyl-CoA reductase 1,0.842940115
3.272878454,-1.02702355,4.213824662,3.25366007,21.21443555,4.87E-05,107290265,solute carrier family 12 member 8,0.469626785
2.715289045,2.18402324,-1.249586824,5.279531777,21.1077433,4.99E-05,107288595,BCL2 associated athanogene 3,0.227281298
1.599836285,-4.115647292,-1.553277205,3.176954865,20.73323139,5.44E-05,107293505,adrenomedullin,0.202234482
4.02273175,2.213305938,1.563955768,4.596681411,20.71524635,5.47E-05,107287061,inositol 145-trisphosphate receptor type 3,0.519523174
1.982309783,-7.131740313,0.436264772,3.117936257,20.69808373,5.49E-05,107286782,TBC1 domain family member 24-like,0.738722829
-2.873411193,-1.822783567,-0.315865354,6.614164944,20.628358,5.55E-05,107284205,selenide water dikinase 2,0.651458931
-3.295849818,-4.008038606,1.574779425,1.033494475,20.57261049,5.57E-05,107295651,alanine aminotransferase 2-like,0.232419181
-2.623520014,-0.299913623,-0.203515054,5.19632727,20.60225464,5.61E-05,107285827,LDL receptor related protein 5,0.811931888
-5.304335397,-0.061443735,3.063030329,7.722394187,20.58115426,5.64E-05,107286756,follistatin,0.39742864
6.982694696,-1.360894434,7.67526131,6.417239809,20.4938288,5.76E-05,107289045,KIAA1324 ortholog,0.943244915
8.898421868,1.584891509,2.62996249,1.147323326,25.69604289,5.81E-05,107284252,phosphatidylinositol specific phospholipase C X domain containing 1,0.888362419
