Orthogroup	N_naja.pep	H_sapiens.pep
OG0000002	Nana24150-RA	ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1, ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1, ENSG00000282150.1, ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1, ENSG00000281962.1, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1, ENSG00000275316.3, ENSG00000211965.4, ENSG00000273539.3, ENSG00000211976.2, ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1, ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2
OG0000004	Nana34665-RF	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2
OG0000004	Nana35137-RB	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2, ENSG00000211642.3, ENSG00000211644.3, ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2, ENSG00000211640.4
OG0000006	Nana07874-RA	ENSG00000196418.12, ENSG00000257355.1, ENSG00000213297.8, ENSG00000269755.1, ENSG00000196826.7, ENSG00000242852.7
OG0000006	Nana07050-RA	ENSG00000175691.9
OG0000006	Nana07308-RA	ENSG00000160961.12, ENSG00000273291.5, ENSG00000240747.7, ENSG00000177932.7, ENSG00000169131.13, ENSG00000178338.11, ENSG00000285978.1, ENSG00000157429.16, ENSG00000261611.6, ENSG00000189420.8, ENSG00000283930.1, ENSG00000175395.16, ENSG00000147789.15
OG0000008	Nana29034-RA	ENSG00000188486.3, ENSG00000229674.2
OG0000008	Nana10428-RA	ENSG00000272196.2, ENSG00000203812.2, ENSG00000180573.9, ENSG00000284841.1, ENSG00000181218.5, ENSG00000278463.1, ENSG00000277075.2, ENSG00000276903.1, ENSG00000196787.3, ENSG00000278677.1, ENSG00000196747.4, ENSG00000275221.1, ENSG00000196866.2, ENSG00000274997.1, ENSG00000276368.1, ENSG00000164508.4
OG0000009	Nana23397-RA	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6
OG0000010	Nana24069-RA	ENSG00000285480.1
OG0000010	Nana24046-RA	ENSG00000273703.1
OG0000014	Nana30712-RB, Nana09496-RA	ENSG00000163041.12
OG0000014	Nana10429-RA	ENSG00000273213.3, ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3, ENSG00000287080.1, ENSG00000273983.1, ENSG00000278828.1, ENSG00000275379.1, ENSG00000197409.7, ENSG00000275714.1, ENSG00000197153.4, ENSG00000277775.1
OG0000014	Nana24307-RA	ENSG00000203852.3
OG0000015	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA	ENSG00000153029.14
OG0000018	Nana10432-RA	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1
OG0000018	Nana24072-RA	ENSG00000278637.1
OG0000021	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4
OG0000021	Nana09413-RA, Nana09413-RB, Nana09413-RC	ENSG00000109063.15
OG0000021	Nana13832-RA, Nana13832-RB	ENSG00000078814.16
OG0000021	Nana24863-RA	ENSG00000144821.10
OG0000021	Nana24248-RB	ENSG00000197616.12
OG0000023	Nana23400-RA	ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2
OG0000026	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA	ENSG00000171815.5, ENSG00000120324.9, ENSG00000177839.7, ENSG00000113212.7, ENSG00000112852.7, ENSG00000120327.6, ENSG00000272674.3, ENSG00000187372.11, ENSG00000120322.4, ENSG00000081818.4, ENSG00000113209.9, ENSG00000113211.5, ENSG00000113205.5, ENSG00000113248.6, ENSG00000120328.6, ENSG00000197479.7
OG0000027	Nana20181-RA	ENSG00000075886.11, ENSG00000198033.12, ENSG00000152086.9
OG0000027	Nana03934-RB, Nana03934-RA	ENSG00000123416.15
OG0000027	Nana27836-RA	ENSG00000178462.12
OG0000027	Nana27543-RA	ENSG00000183785.15
OG0000027	Nana03933-RB	ENSG00000127824.14
OG0000027	Nana09911-RA	ENSG00000167553.15
OG0000029	Nana10133-RA	ENSG00000172867.4, ENSG00000167768.4
OG0000029	Nana10134-RA	ENSG00000185640.6
OG0000029	Nana10130-RA, Nana10131-RA	ENSG00000170486.11, ENSG00000139648.7, ENSG00000186049.8, ENSG00000186442.7, ENSG00000185069.2
OG0000029	Nana10387-RA	ENSG00000170421.12
OG0000029	Nana10116-RA	ENSG00000135480.16
OG0000031	Nana30920-RC	ENSG00000197838.5, ENSG00000255974.8, ENSG00000198077.10
OG0000033	Nana25617-RA	ENSG00000205495.1, ENSG00000176787.2, ENSG00000180974.4, ENSG00000183269.5, ENSG00000205409.3
OG0000033	Nana25601-RA	ENSG00000181609.5, ENSG00000181616.9, ENSG00000255307.1, ENSG00000187747.2
OG0000034	Nana36726-RA	ENSG00000188229.6
OG0000034	Nana15763-RA	ENSG00000137267.6
OG0000034	Nana16081-RA	ENSG00000176014.13
OG0000034	Nana13527-RA	ENSG00000101162.4
OG0000039	Nana25427-RA	ENSG00000127362.2, ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1, ENSG00000273713.2, ENSG00000273086.1, ENSG00000121381.4, ENSG00000277316.2, ENSG00000121314.2, ENSG00000272712.1, ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3, ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2
OG0000042	Nana15423-RA, Nana15427-RA, Nana15429-RA	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2
OG0000045	Nana30791-RA	ENSG00000188425.4
OG0000047	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE	ENSG00000214787.10, ENSG00000110079.18
OG0000047	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB	ENSG00000166961.15, ENSG00000166959.8, ENSG00000071203.9
OG0000051	Nana03481-RA, Nana03471-RA	ENSG00000136531.17
OG0000051	Nana03469-RA	ENSG00000169432.17
OG0000051	Nana22919-RA	ENSG00000007314.12
OG0000051	Nana21196-RA	ENSG00000183873.16
OG0000051	Nana09998-RA	ENSG00000196876.17
OG0000056	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9
OG0000059	Nana09728-RA	ENSG00000184009.12
OG0000059	Nana34355-RA	ENSG00000075624.16
OG0000059	Nana28043-RB, Nana28043-RA	ENSG00000163017.14
OG0000059	Nana01616-RA, Nana19300-RA	ENSG00000107796.13
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15
OG0000062	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA	ENSG00000134193.15
OG0000063	Nana12777-RA	ENSG00000184995.7, ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7, ENSG00000177047.6
OG0000065	Nana05575-RB, Nana05575-RA, Nana05574-RA	ENSG00000165953.9
OG0000069	Nana09934-RA	ENSG00000135437.9
OG0000069	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA	ENSG00000139547.7, ENSG00000025423.11
OG0000071	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA	ENSG00000267881.2, ENSG00000007129.18, ENSG00000278565.4, ENSG00000007306.15, ENSG00000221878.13, ENSG00000124467.19, ENSG00000231924.9, ENSG00000221826.10, ENSG00000183668.18, ENSG00000170848.15, ENSG00000204941.14, ENSG00000243137.8, ENSG00000243130.8, ENSG00000242221.9, ENSG00000086548.9, ENSG00000124469.12, ENSG00000105388.16, ENSG00000079385.22, ENSG00000170956.17, ENSG00000274131.3, ENSG00000105352.10
OG0000072	Nana35916-RA	ENSG00000197901.11, ENSG00000149452.16
OG0000072	Nana00984-RA	ENSG00000137204.14
