Orthogroup	P_Mucros.pep	M_musculus.pep
OG0000006	XP_015685540.1, XP_029142004.1	ENSMUSG00000050844.5, ENSMUSG00000063535.7, ENSMUSG00000067942.6, ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1, ENSMUSG00000050855.16
OG0000006	XP_029139985.1, XP_029141493.1	ENSMUSG00000096718.2, ENSMUSG00000094622.2
OG0000006	XP_029140115.1	ENSMUSG00000056592.14, ENSMUSG00000002266.17, ENSMUSG00000044807.13, ENSMUSG00000020335.13, ENSMUSG00000020364.14, ENSMUSG00000031374.13, ENSMUSG00000072623.6, ENSMUSG00000033669.8, ENSMUSG00000116024.1
OG0000008	XP_015678749.1	ENSMUSG00000060081.1
OG0000008	XP_015678743.1	ENSMUSG00000060032.6, ENSMUSG00000068855.3
OG0000008	XP_015668418.1	ENSMUSG00000049932.3
OG0000008	XP_015678750.1	ENSMUSG00000064220.6, ENSMUSG00000063954.7, ENSMUSG00000078851.4, ENSMUSG00000061991.2, ENSMUSG00000071478.6, ENSMUSG00000069309.2, ENSMUSG00000071516.2, ENSMUSG00000069270.6, ENSMUSG00000094248.1, ENSMUSG00000069272.6, ENSMUSG00000069301.5, ENSMUSG00000094777.2, ENSMUSG00000061615.2, ENSMUSG00000063021.3, ENSMUSG00000069302.5
OG0000009	XP_015677980.2	ENSMUSG00000067522.3
OG0000009	XP_015684501.1, XP_015673238.1	ENSMUSG00000043226.5, ENSMUSG00000075212.5, ENSMUSG00000075214.3, ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1
OG0000009	XP_015677985.1	ENSMUSG00000047149.5, ENSMUSG00000075164.2
OG0000009	XP_015677984.1	ENSMUSG00000075161.3, ENSMUSG00000075163.5, ENSMUSG00000075159.5, ENSMUSG00000075160.3
OG0000009	XP_015683726.1	ENSMUSG00000075208.6
OG0000009	XP_015673205.2	ENSMUSG00000051392.5
OG0000009	XP_015672562.1, XP_015672559.1, XP_015672561.1	ENSMUSG00000090894.4, ENSMUSG00000090675.2
OG0000009	XP_015674575.1, XP_015674572.2, XP_015684098.2, XP_015684478.1, XP_015684097.1, XP_015684481.1, XP_015684482.1, XP_015684103.1	ENSMUSG00000070460.7, ENSMUSG00000070459.6, ENSMUSG00000116179.1
OG0000009	XP_015677981.1, XP_015677982.2	ENSMUSG00000075158.5
OG0000009	XP_015673239.1	ENSMUSG00000075155.2
OG0000010	XP_015672062.1, XP_015681933.1, XP_015681932.1	ENSMUSG00000050799.3, ENSMUSG00000105827.1, ENSMUSG00000056895.4
OG0000010	XP_015683800.1	ENSMUSG00000018102.5, ENSMUSG00000069307.6, ENSMUSG00000069303.6, ENSMUSG00000058385.8, ENSMUSG00000047246.7, ENSMUSG00000114279.1, ENSMUSG00000114456.1
OG0000013	XP_029141885.1, XP_029139675.1, XP_015669877.1, XP_015669871.1, XP_029139676.1, XP_015669872.1, XP_029139682.1, XP_015669863.1, XP_015669864.1, XP_029139677.1, XP_015669887.1, XP_015669873.1, XP_015668983.1, XP_015669884.2, XP_029139679.1	ENSMUSG00000109212.3, ENSMUSG00000058114.3, ENSMUSG00000059030.5, ENSMUSG00000109376.1, ENSMUSG00000062629.4, ENSMUSG00000092292.3, ENSMUSG00000061336.3, ENSMUSG00000051611.9, ENSMUSG00000092413.5, ENSMUSG00000050613.5, ENSMUSG00000108426.2
OG0000014	XP_015680070.1	ENSMUSG00000016559.14
OG0000014	XP_015678752.1	ENSMUSG00000099583.2
OG0000014	XP_015674626.1	ENSMUSG00000060743.12
OG0000015	XP_029141494.1, XP_029142842.1, XP_029142300.1, XP_015681564.2, XP_029141960.1, XP_015681563.1, XP_029142070.1, XP_029142071.1, XP_029142618.1, XP_015683643.1, XP_029142096.1, XP_029142472.1, XP_029142644.1, XP_015681576.1, XP_015684078.2, XP_015686359.1, XP_029142551.1, XP_015682087.2, XP_015682091.1, XP_015682088.2, XP_015682092.1, XP_015681575.1, XP_015683644.1, XP_015684435.1, XP_029142095.1, XP_015680096.1, XP_015683740.1, XP_029142552.1, XP_015684387.1, XP_015684316.1, XP_015684388.1, XP_029142094.1, XP_015684314.1, XP_029142617.1	ENSMUSG00000026471.14
OG0000018	XP_015686319.1	ENSMUSG00000060678.5
OG0000018	XP_015665997.1	ENSMUSG00000091405.2, ENSMUSG00000064288.4, ENSMUSG00000069266.5, ENSMUSG00000060981.7, ENSMUSG00000060093.6, ENSMUSG00000069305.3, ENSMUSG00000069306.5, ENSMUSG00000067455.5, ENSMUSG00000096010.2, ENSMUSG00000069274.3
OG0000021	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16
OG0000021	XP_015665771.1, XP_015665778.1	ENSMUSG00000020908.14
OG0000021	XP_015669261.1	ENSMUSG00000074652.3
OG0000021	XP_015677905.1, XP_015677906.1, XP_015677907.1	ENSMUSG00000092009.1
OG0000021	XP_015677713.1	ENSMUSG00000040752.16
OG0000023	XP_015680186.1, XP_015680187.1	ENSMUSG00000059887.7, ENSMUSG00000057564.6
OG0000023	XP_015680192.1, XP_015680188.1, XP_029141670.1	ENSMUSG00000035626.4
OG0000023	XP_015677478.2, XP_029141074.1	ENSMUSG00000046210.7
OG0000023	XP_029140194.1, XP_015672569.2	ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2
OG0000023	XP_015677304.1	ENSMUSG00000045306.3
OG0000023	XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1	ENSMUSG00000090874.2, ENSMUSG00000091873.2, ENSMUSG00000048933.8
