Orthogroup	X_tropicalis.pep	N_naja.pep
OG0000000	ENSXETG00000000667.1	Nana23384-RA
OG0000002	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1	Nana39702-RA, Nana24133-RA, Nana24135-RA, Nana24143-RA, Nana24132-RA, Nana24136-RD, Nana24137-RA, Nana24145-RA, Nana24144-RA, Nana38721-RA, Nana38722-RA, Nana38264-RA, Nana39072-RA, Nana24128-RA, Nana24149-RA, Nana24150-RA
OG0000004	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1	Nana34665-RF
OG0000004	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1	Nana35137-RB
OG0000006	ENSXETG00000009141.1	Nana07308-RA
OG0000007	ENSXETG00000009627.1	Nana23478-RA, Nana38175-RA
OG0000008	ENSXETG00000000565.1, ENSXETG00000000652.1, ENSXETG00000019718.1, ENSXETG00000000619.1, ENSXETG00000000587.1, ENSXETG00000000557.1	Nana24313-RA
OG0000008	ENSXETG00000001158.1	Nana08331-RA
OG0000008	ENSXETG00000017971.1, ENSXETG00000001657.1, ENSXETG00000001664.1, ENSXETG00000004749.1	Nana29034-RA
OG0000008	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1	Nana10428-RA
OG0000009	ENSXETG00000015160.1	Nana23397-RA
OG0000010	ENSXETG00000016136.1	Nana24069-RA
OG0000010	ENSXETG00000002946.1, ENSXETG00000017467.1, ENSXETG00000015942.1, ENSXETG00000014585.1, ENSXETG00000002797.1, ENSXETG00000004730.1, ENSXETG00000015228.1, ENSXETG00000016166.1, ENSXETG00000014659.1, ENSXETG00000016210.1, ENSXETG00000009411.1, ENSXETG00000009551.1, ENSXETG00000004096.1, ENSXETG00000009494.1	Nana38982-RA
OG0000014	ENSXETG00000001142.1	Nana30712-RB, Nana09496-RA
OG0000014	ENSXETG00000004793.1	Nana27150-RA
OG0000014	ENSXETG00000014395.1, ENSXETG00000009426.1	Nana24071-RA
OG0000014	ENSXETG00000020403.1, ENSXETG00000002851.1	Nana10429-RA
OG0000014	ENSXETG00000005846.1	Nana23739-RA
OG0000014	ENSXETG00000002916.1	Nana27153-RA
OG0000014	ENSXETG00000020261.1	Nana30712-RA
OG0000014	ENSXETG00000014446.1	Nana09496-RB
OG0000015	ENSXETG00000008260.1, ENSXETG00000008214.1	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA
OG0000018	ENSXETG00000004068.1	Nana10432-RA
OG0000018	ENSXETG00000016254.1	Nana38984-RA
OG0000021	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	ENSXETG00000004084.1	Nana09413-RA, Nana09413-RB, Nana09413-RC
OG0000021	ENSXETG00000004298.1	Nana13832-RA, Nana13832-RB
OG0000021	ENSXETG00000006074.1	Nana24863-RA
OG0000021	ENSXETG00000010941.1	Nana24248-RB
OG0000023	ENSXETG00000015184.1	Nana23400-RA
OG0000027	ENSXETG00000012120.1	Nana03933-RA
OG0000027	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1	Nana03934-RB, Nana03934-RA
OG0000027	ENSXETG00000017890.1, ENSXETG00000020471.1	Nana27836-RA
OG0000027	ENSXETG00000012204.1, ENSXETG00000008972.1	Nana27543-RA
OG0000027	ENSXETG00000004361.1	Nana13883-RA
OG0000027	ENSXETG00000003471.1	Nana03933-RB
OG0000027	ENSXETG00000001989.1	Nana09911-RA
OG0000029	ENSXETG00000001917.1	Nana10133-RA, Nana10134-RA, Nana10130-RA, Nana10131-RA
OG0000029	ENSXETG00000003326.1	Nana10387-RA
OG0000029	ENSXETG00000002021.1, ENSXETG00000002714.1	Nana10116-RA
OG0000031	ENSXETG00000005307.1, ENSXETG00000005319.1, ENSXETG00000005342.1, ENSXETG00000005293.1, ENSXETG00000005399.1, ENSXETG00000005407.1, ENSXETG00000005410.1	Nana30921-RA
OG0000033	ENSXETG00000015963.1	Nana25612-RA, Nana25617-RA, Nana25601-RA
OG0000034	ENSXETG00000001110.1	Nana36726-RA
OG0000034	ENSXETG00000014970.1	Nana15765-RA, Nana15763-RA
OG0000034	ENSXETG00000013453.1	Nana16081-RA
OG0000039	ENSXETG00000011586.1, ENSXETG00000011578.1	Nana25427-RA
OG0000042	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1	Nana15423-RA, Nana15427-RA, Nana15429-RA
OG0000045	ENSXETG00000005669.1, ENSXETG00000005928.1	Nana30791-RA
OG0000050	ENSXETG00000021048.1	Nana16983-RA, Nana16985-RA, Nana39960-RA, Nana16988-RA, Nana16986-RA, Nana17000-RA, Nana16988-RB, Nana16990-RA, Nana38885-RA, Nana16995-RA, Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA
OG0000051	ENSXETG00000019147.1, ENSXETG00000018833.1	Nana03481-RA, Nana03471-RA
OG0000051	ENSXETG00000002390.1	Nana22919-RA
OG0000051	ENSXETG00000001983.1	Nana21196-RA
OG0000051	ENSXETG00000019242.1	Nana09998-RA
OG0000056	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA
OG0000057	ENSXETG00000016809.1	Nana20821-RA, Nana20799-RA, Nana20825-RA, Nana20824-RA, Nana20776-RA, Nana20777-RA, Nana20786-RA, Nana20771-RA, Nana20773-RA, Nana20784-RA, Nana20793-RA, Nana20777-RB
OG0000059	ENSXETG00000002612.1	Nana09728-RA
OG0000059	ENSXETG00000003222.1	Nana34355-RA
OG0000059	ENSXETG00000018409.1	Nana05169-RA
OG0000059	ENSXETG00000016356.1	Nana28043-RB, Nana28043-RA, Nana01616-RA, Nana19300-RA
OG0000061	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA
OG0000062	ENSXETG00000020477.1, ENSXETG00000021248.1	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA
OG0000065	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000066	ENSXETG00000003520.1	Nana07879-RA
OG0000067	ENSXETG00000015118.1, ENSXETG00000006186.1, ENSXETG00000009067.1, ENSXETG00000015105.1, ENSXETG00000000987.1	Nana07313-RA, Nana07307-RA, Nana07305-RA, Nana07304-RA, Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA, Nana07271-RA, Nana07322-RC, Nana07279-RA, Nana07312-RA, Nana07274-RA, Nana07322-RA, Nana07258-RA
OG0000069	ENSXETG00000010603.1	Nana09934-RA
OG0000072	ENSXETG00000016641.1	Nana35916-RA
OG0000072	ENSXETG00000016735.1	Nana00984-RA
OG0000073	ENSXETG00000013236.1, ENSXETG00000014295.1	Nana36370-RA
OG0000073	ENSXETG00000008614.1	Nana30547-RA, Nana30547-RB
OG0000073	ENSXETG00000000353.1	Nana05770-RA
OG0000074	ENSXETG00000005506.1	Nana11137-RA, Nana11138-RA
OG0000080	ENSXETG00000007284.1	Nana38637-RA, Nana38740-RA, Nana39575-RA, Nana06848-RA, Nana06812-RA, Nana13283-RB, Nana13283-RC, Nana13283-RA, Nana37840-RA, Nana06904-RA, Nana13282-RA, Nana38043-RA, Nana24359-RA, Nana06873-RA, Nana06835-RA, Nana06839-RA, Nana38056-RA, Nana38276-RC, Nana24361-RA, Nana06859-RA, Nana06841-RB, Nana06841-RA, Nana06870-RA, Nana06870-RB, Nana39573-RA, Nana06506-RA, Nana06869-RA, Nana06832-RB, Nana06832-RC, Nana38875-RA, Nana38875-RB, Nana38053-RA, Nana38048-RA, Nana38050-RA, Nana38411-RA, Nana38704-RA, Nana39847-RA, Nana27798-RA, Nana38738-RA, Nana39897-RA, Nana06945-RA, Nana06852-RA, Nana06938-RA, Nana06857-RA, Nana38276-RB, Nana06865-RB, Nana06849-RA, Nana06855-RA, Nana38041-RA, Nana38291-RA
OG0000081	ENSXETG00000004100.1	Nana37639-RA
OG0000081	ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1	Nana37247-RA
OG0000082	ENSXETG00000011436.1	Nana14207-RA
OG0000083	ENSXETG00000012891.1	Nana06622-RA, Nana06624-RA
OG0000083	ENSXETG00000006371.1, ENSXETG00000006376.1	Nana00630-RA
OG0000085	ENSXETG00000001562.1	Nana02961-RA
OG0000085	ENSXETG00000009001.1	Nana32101-RD
OG0000085	ENSXETG00000001486.1	Nana02958-RA
OG0000086	ENSXETG00000020194.1, ENSXETG00000001876.1	Nana13407-RA
OG0000086	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1	Nana02319-RA
OG0000087	ENSXETG00000005882.1	Nana09343-RA, Nana09343-RB
OG0000087	ENSXETG00000019782.1	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	ENSXETG00000011830.1	Nana27331-RA
OG0000087	ENSXETG00000015761.1	Nana23710-RA
OG0000090	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1	Nana31033-RB, Nana31033-RA, Nana31033-RC, Nana31027-RA
OG0000091	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1	Nana30970-RA
OG0000092	ENSXETG00000018099.1	Nana32804-RA, Nana32804-RB
OG0000093	ENSXETG00000021066.1	Nana27045-RA
OG0000093	ENSXETG00000012846.1	Nana14174-RA
OG0000093	ENSXETG00000005871.1	Nana10674-RA
OG0000094	ENSXETG00000000896.1	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA
OG0000095	ENSXETG00000005045.1, ENSXETG00000015661.1	Nana09550-RA, Nana09552-RA
OG0000099	ENSXETG00000001208.1	Nana20229-RA
OG0000099	ENSXETG00000013697.1	Nana02215-RA
OG0000099	ENSXETG00000004436.1	Nana24836-RA
OG0000100	ENSXETG00000019033.1, ENSXETG00000018055.1	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA
OG0000101	ENSXETG00000020222.1	Nana10097-RA, Nana10097-RB, Nana10097-RC
OG0000101	ENSXETG00000002189.1	Nana03073-RA, Nana03073-RB
OG0000101	ENSXETG00000008691.1, ENSXETG00000007676.1	Nana21110-RA
OG0000102	ENSXETG00000004528.1	Nana04405-RA, Nana27661-RA
OG0000106	ENSXETG00000004466.1	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	ENSXETG00000017121.1	Nana03353-RD, Nana03353-RC, Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG
OG0000108	ENSXETG00000004931.1, ENSXETG00000005033.1	Nana34378-RB, Nana34378-RA
OG0000108	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1	Nana34377-RA, Nana34376-RA
OG0000109	ENSXETG00000007832.1	Nana22436-RA, Nana06305-RA, Nana21461-RA
OG0000110	ENSXETG00000002348.1	Nana35843-RA, Nana05423-RA
OG0000110	ENSXETG00000013548.1	Nana05425-RA, Nana00887-RA
OG0000111	ENSXETG00000007548.1	Nana17605-RA, Nana17605-RB
OG0000111	ENSXETG00000000914.1	Nana32413-RA, Nana26179-RA
OG0000111	ENSXETG00000017510.1	Nana08966-RA
OG0000112	ENSXETG00000008621.1	Nana22728-RA
OG0000113	ENSXETG00000021352.1	Nana02416-RA, Nana02420-RA, Nana02419-RA
OG0000115	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1	Nana24320-RA, Nana24321-RA, Nana24323-RA
OG0000115	ENSXETG00000002691.1	Nana15378-RA
OG0000116	ENSXETG00000003024.1	Nana23099-RA
OG0000116	ENSXETG00000002922.1	Nana23092-RA, Nana23093-RA, Nana23093-RB
OG0000118	ENSXETG00000000892.1	Nana30571-RA
OG0000118	ENSXETG00000000902.1	Nana30570-RA, Nana30515-RA
OG0000119	ENSXETG00000008731.1	Nana30054-RA
OG0000119	ENSXETG00000012191.1	Nana07708-RA
OG0000119	ENSXETG00000001974.1	Nana24627-RA, Nana02918-RA
OG0000120	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1	Nana23740-RA, Nana23738-RA, Nana24316-RA, Nana24308-RA, Nana27152-RA
OG0000126	ENSXETG00000018540.1	Nana11693-RA, Nana11693-RB
